Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 40057
14.163512, 176.688, 0.441091, 161.024, 15.664, 39880.3
23.250911, 198.416, 0.495334, 179.664, 18.752, 39858.6
54.258695, 315.776, 0.788317, 287.744, 28.032, 39741.2
81.645375, 444.392, 1.1094, 406.864, 37.528, 39612.6
114.076321, 570.712, 1.42475, 519.368, 51.344, 39486.3
140.205471, 687.064, 1.71522, 627.032, 60.032, 39369.9
179.002902, 811.512, 2.02589, 743.68, 67.832, 39245.5
212.881921, 934.064, 2.33184, 861.344, 72.72, 39122.9
249.239299, 1094.01, 2.73113, 1018.74, 75.272, 38963
279.831757, 1245.55, 3.10945, 1168.68, 76.872, 38811.4
308.319125, 1373.86, 3.42977, 1293.71, 80.152, 38683.1
347.328719, 1517.24, 3.7877, 1436.73, 80.512, 38539.8
382.142380, 1583.57, 3.95329, 1501.3, 82.264, 38473.4
419.934231, 1658.94, 4.14144, 1568.46, 90.472, 38398.1
451.140314, 1703.44, 4.25254, 1601.88, 101.56, 38353.6
482.471625, 1754.57, 4.38018, 1650.7, 103.872, 38302.4
513.189121, 1817.7, 4.53777, 1712.78, 104.912, 38239.3
552.101388, 1883.21, 4.70132, 1764.85, 118.36, 38173.8
1038.254287, 2210, 5.51714, 2078.2, 131.8, 37847
1056.956907, 2277.46, 5.68554, 2134.42, 143.032, 37779.5
1085.011783, 2315.98, 5.7817, 2165.3, 150.672, 37741
1118.880692, 2394.19, 5.97696, 2234.04, 160.152, 37662.8
1151.954769, 2410.62, 6.01796, 2248.47, 162.144, 37646.4
1204.643880, 2427.4, 6.05986, 2263.73, 163.672, 37629.6
1216.591677, 2428.38, 6.06232, 2262.37, 166.016, 37628.6
1233.865351, 2445.72, 6.1056, 2277.37, 168.352, 37611.3
1253.747178, 2448.14, 6.11165, 2280.84, 167.304, 37608.9
1303.018617, 2524.05, 6.30114, 2345.54, 178.512, 37533
1331.562772, 2538.38, 6.33693, 2357.85, 180.536, 37518.6
1373.434971, 2581.48, 6.44452, 2389.54, 191.936, 37475.5
1402.271073, 2646.7, 6.60734, 2446.1, 200.6, 37410.3
1455.429654, 2698.66, 6.73704, 2492.22, 206.432, 37358.3
1490.019766, 2771.77, 6.91956, 2556.76, 215.008, 37285.2
2117.258204, 3697.81, 9.23137, 3395.78, 302.024, 36359.2
2153.086195, 3710.14, 9.26216, 3402.44, 307.704, 36346.9
2171.929656, 3710.95, 9.26418, 3402.49, 308.464, 36346
2209.375865, 3715.97, 9.2767, 3405.26, 310.704, 36341
2316.119931, 3793.73, 9.47082, 3477.66, 316.072, 36263.3
2352.827431, 3887.32, 9.70447, 3564.88, 322.44, 36169.7
2390.102977, 4009.29, 10.009, 3673, 336.288, 36047.7
2431.650180, 4132.2, 10.3158, 3783.68, 348.52, 35924.8
2472.655355, 4269.65, 10.6589, 3904.9, 364.752, 35787.4
2520.181079, 4406.82, 11.0014, 4019.86, 386.952, 35650.2
6348.833959, 6776.62, 16.9175, 6316.94, 459.688, 33280.4
6387.157359, 6846.02, 17.0907, 6386.33, 459.688, 33211
6467.960873, 7036.56, 17.5664, 6576.87, 459.688, 33020.4
6522.608580, 7144.16, 17.835, 6683.59, 460.568, 32912.8
6584.868170, 7259.49, 18.1229, 6786.74, 472.752, 32797.5
6639.064468, 7362.12, 18.3791, 6879.46, 482.664, 32694.9
6728.914848, 7496.76, 18.7152, 7001.22, 495.544, 32560.2
6783.198511, 7638.28, 19.0685, 7141.38, 496.904, 32418.7
6844.478819, 7707.19, 19.2406, 7207.26, 499.936, 32349.8
6890.947977, 7770, 19.3974, 7270.05, 499.952, 32287
6946.614182, 7816.02, 19.5123, 7316.07, 499.952, 32241
7001.012214, 7870.88, 19.6492, 7370.27, 500.608, 32186.1
7066.966938, 7992.82, 19.9536, 7490.95, 501.872, 32064.2
7132.364845, 8083.47, 20.1799, 7580.41, 503.064, 31973.5
7204.015361, 8154.54, 20.3574, 7644.32, 510.224, 31902.5
