Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
4.390000000, 100.336, 6.16504, 86.8, 13.536, 1527.16
10.380000000, 116.568, 7.1624, 98.36, 18.208, 1510.93
16.940000000, 123.544, 7.59103, 103.008, 20.536, 1503.96
21.180000000, 127.496, 7.83386, 107.672, 19.824, 1500
25.810000000, 143.88, 8.84055, 123.824, 20.056, 1483.62
29.160000000, 156.136, 9.59361, 134.488, 21.648, 1471.36
32.770000000, 170.224, 10.4592, 145.88, 24.344, 1457.28
36.235000000, 177.224, 10.8893, 156.496, 20.728, 1450.28
39.960000000, 189.72, 11.6571, 166.888, 22.832, 1437.78
44.335000000, 206.888, 12.712, 182.8, 24.088, 1420.61
47.845000000, 227.624, 13.9861, 202.256, 25.368, 1399.88
58.030000000, 251.968, 15.4819, 218.664, 33.304, 1375.53
61.995000000, 264.656, 16.2615, 229.72, 34.936, 1362.84
65.590000000, 278.472, 17.1104, 241.168, 37.304, 1349.03
70.240000000, 292.568, 17.9765, 252.144, 40.424, 1334.93
75.235000000, 303.272, 18.6342, 266.728, 36.544, 1324.23
78.755000000, 314.768, 19.3406, 271.848, 42.92, 1312.73
82.220000000, 330.472, 20.3055, 286.256, 44.216, 1297.03
87.235000000, 356.24, 21.8888, 313.48, 42.76, 1271.26
90.835000000, 371.072, 22.8001, 324.272, 46.8, 1256.43
95.365000000, 378.696, 23.2686, 329.096, 49.6, 1248.8
100.080000000, 387.44, 23.8058, 337.224, 50.216, 1240.06
103.605000000, 401.168, 24.6493, 349.144, 52.024, 1226.33
108.685000000, 402.76, 24.7472, 350.912, 51.848, 1224.74
114.195000000, 410.248, 25.2073, 355.248, 55, 1217.25
118.710000000, 414.808, 25.4874, 362.64, 52.168, 1212.69
122.370000000, 419.048, 25.748, 363.144, 55.904, 1208.45
127.385000000, 429.112, 26.3663, 371.608, 57.504, 1198.39
131.485000000, 439.136, 26.9822, 378.688, 60.448, 1188.36
134.910000000, 441.568, 27.1317, 379.064, 62.504, 1185.93
140.260000000, 444.648, 27.3209, 381.08, 63.568, 1182.85
144.105000000, 448.152, 27.5362, 383.264, 64.888, 1179.35
147.705000000, 449.432, 27.6149, 383.336, 66.096, 1178.07
151.030000000, 451.664, 27.752, 385.16, 66.504, 1175.84
156.960000000, 453.432, 27.8606, 383.136, 70.296, 1174.07
161.370000000, 455.976, 28.017, 384.624, 71.352, 1171.52
166.840000000, 461.784, 28.3738, 390.272, 71.512, 1165.72
170.140000000, 462.936, 28.4446, 392.832, 70.104, 1164.56
174.360000000, 463.784, 28.4967, 391.736, 72.048, 1163.72
180.480000000, 464.08, 28.5149, 388.808, 75.272, 1163.42
186.740000000, 466.752, 28.6791, 392.448, 74.304, 1160.75
191.720000000, 470.872, 28.9322, 394.088, 76.784, 1156.63
195.380000000, 475.24, 29.2006, 397.56, 77.68, 1152.26
205.180000000, 478.712, 29.4139, 398.416, 80.296, 1148.79
251.885000000, 494.248, 30.3685, 412.504, 81.744, 1133.25
255.330000000, 499.304, 30.6792, 418.424, 80.88, 1128.2
259.320000000, 516.48, 31.7346, 433.856, 82.624, 1111.02
263.410000000, 541.208, 33.2539, 458.832, 82.376, 1086.29
267.305000000, 556.952, 34.2213, 468.376, 88.576, 1070.55
272.620000000, 580.16, 35.6473, 488.136, 92.024, 1047.34
276.515000000, 589.168, 36.2008, 495.384, 93.784, 1038.33
280.555000000, 596.608, 36.6579, 501.608, 95, 1030.89
285.860000000, 599.144, 36.8138, 504.024, 95.12, 1028.36
291.715000000, 614.536, 37.7595, 516.544, 97.992, 1012.96
295.785000000, 631.56, 38.8055, 531.416, 100.144, 995.94
299.770000000, 644.656, 39.6102, 542.68, 101.976, 982.844
303.640000000, 650.576, 39.9739, 546.48, 104.096, 976.924
308.590000000, 653.256, 40.1386, 545.632, 107.624, 974.244
312.630000000, 659.728, 40.5363, 549.088, 110.64, 967.772
316.645000000, 664.952, 40.8573, 555.272, 109.68, 962.548
321.080000000, 673.312, 41.3709, 560.4, 112.912, 954.188
325.385000000, 677.664, 41.6383, 563.736, 113.928, 949.836
328.730000000, 677.712, 41.6413, 563.92, 113.792, 949.788
333.700000000, 684.072, 42.0321, 567.632, 116.44, 943.428
347.725000000, 687.32, 42.2316, 567.072, 120.248, 940.18
352.625000000, 730.768, 44.9013, 606.744, 124.024, 896.732
356.470000000, 749.32, 46.0412, 622.296, 127.024, 878.18
360.100000000, 760.976, 46.7574, 630.216, 130.76, 866.524
364.415000000, 772.032, 47.4367, 639, 133.032, 855.468
369.975000000, 779.2, 47.8771, 646.544, 132.656, 848.3
373.930000000, 786.592, 48.3313, 650.92, 135.672, 840.908
379.490000000, 790.184, 48.552, 649.912, 140.272, 837.316
385.245000000, 796.84, 48.961, 655.08, 141.76, 830.66
388.820000000, 801, 49.2166, 657.64, 143.36, 826.5
392.750000000, 813.04, 49.9564, 666.632, 146.408, 814.46
398.810000000, 826.904, 50.8082, 676.096, 150.808, 800.596
420.440000000, 865.384, 53.1726, 700.872, 164.512, 762.116
426.795000000, 869.736, 53.44, 701.016, 168.72, 757.764
431.120000000, 874.2, 53.7143, 705.76, 168.44, 753.3
435.235000000, 876.624, 53.8632, 706.496, 170.128, 750.876
440.265000000, 878.056, 53.9512, 709.36, 168.696, 749.444
446.155000000, 893.136, 54.8778, 720.616, 172.52, 734.364
451.560000000, 894.792, 54.9795, 721.088, 173.704, 732.708
456.645000000, 905.992, 55.6677, 731.72, 174.272, 721.508
462.365000000, 933.296, 57.3454, 754.368, 178.928, 694.204
466.195000000, 954.008, 58.618, 772.992, 181.016, 673.492
470.350000000, 967.4, 59.4409, 785.936, 181.464, 660.1
474.365000000, 987.568, 60.6801, 806.744, 180.824, 639.932
479.665000000, 1002.1, 61.5732, 820.36, 181.744, 625.396
483.160000000, 1015.98, 62.4261, 831.272, 184.712, 611.516
486.645000000, 1030.12, 63.2946, 844.28, 185.84, 597.38
490.420000000, 1042.07, 64.029, 853.264, 188.808, 585.428
494.890000000, 1060.79, 65.1792, 869.536, 191.256, 566.708
498.375000000, 1074.54, 66.0237, 881.76, 192.776, 552.964
501.935000000, 1087.88, 66.8436, 898.328, 189.552, 539.62
505.495000000, 1099.82, 67.5775, 908.12, 191.704, 527.676
509.220000000, 1118.39, 68.7184, 924.72, 193.672, 509.108
