Goal x, Goal y, Goal z, Planner
-11.8484, 2.27768, 1.49546, aep
-11.069, 1.65276, 1.53977, aep
-10.4716, 1.28535, 0.826961, aep
-10.4787, 2.14867, 0.322341, aep
-10.5761, 3.44309, 0.820061, aep
-10.9713, 4.32885, 0.576574, aep
-10.8426, 5.286, 0.317109, aep
-11.6095, 5.78649, 0.71881, aep
-11.5443, 6.40312, 1.50336, aep
-10.7129, 6.92435, 1.69571, aep
-9.86372, 7.44024, 1.80872, aep
-9.16212, 6.89159, 1.35403, aep
-8.45961, 6.96903, 0.646584, aep
-7.52955, 7.15984, 0.332604, aep
-6.74418, 6.56376, 0.49955, aep
-6.30585, 5.86536, 1.06534, aep
-5.34116, 5.6525, 0.910216, aep
-4.79733, 6.46163, 1.13287, aep
-4.00038, 7.57076, 1.74803, aep
-3.28276, 7.45179, 1.06182, aep
-2.65318, 6.67588, 1.02209, aep
-1.99947, 6.05897, 0.5838, aep
-1.00032, 6.06775, 0.543456, aep
-0.684824, 5.66771, 1.40394, aep
0.212484, 5.22631, 1.40133, aep
0.693308, 4.96553, 2.23847, aep
1.50726, 5.54499, 2.19712, aep
1.81317, 6.49645, 2.23098, aep
1.97548, 7.48237, 2.19093, aep
1.72891, 8.44103, 2.04885, aep
1.40356, 9.36974, 1.87096, aep
1.3722, 9.90436, 1.02645, aep
0.749772, 10.4772, 0.493119, aep
-0.187769, 10.8184, 0.560923, aep
-1.03991, 11.1876, 0.931818, aep
-1.89948, 10.6818, 0.85912, aep
-2.59465, 10.6208, 1.57538, aep
-3.20105, 10.1506, 1.87523, rrt
-3.64779, 9.39466, 2.35371, aep
-4.58293, 9.09755, 2.1607, aep
-5.55298, 9.33635, 2.11628, aep
-6.83962, 9.88973, 1.72426, aep
-7.66655, 10.3894, 1.98223, aep
-8.22815, 9.58483, 1.78899, rrt
-8.94233, 10.2782, 1.88504, rrt
-8.01106, 9.91745, 1.83387, rrt
-7.18641, 9.35186, 1.84102, rrt
-7.40703, 8.37669, 1.86056, rrt
-7.79836, 7.45949, 1.78577, rrt
-7.76581, 6.46759, 1.66294, rrt
-8.17733, 5.55888, 1.59307, rrt
-8.68726, 4.71201, 1.4421, rrt
-8.42522, 3.75143, 1.34926, rrt
-8.6535, 2.77891, 1.30367, rrt
-8.48443, 1.80085, 1.18194, rrt
-8.44323, 0.801868, 1.20045, rrt
-9.27071, 0.246986, 1.28632, rrt
-10.0829, 0.186976, 0.706057, aep
-10.4338, -0.743404, 0.599726, aep
-10.1517, -1.60413, 1.02351, aep
-9.55473, -2.39676, 1.14742, aep
-9.68008, -3.25781, 0.65459, aep
-10.6546, -3.47176, 0.587273, aep
-9.892, -4.08627, 0.789295, aep
-9.53303, -3.58962, 1.57953, aep
-8.3968, -4.29388, 1.90186, aep
-7.87678, -3.52946, 1.52076, aep
-7.07014, -3.68709, 0.95113, aep
-7.11615, -2.84264, 0.417473, aep
-6.84296, -1.98421, 0.851598, aep
-6.0995, -1.41669, 0.497777, aep
-5.27297, -1.7585, 0.944992, aep
-4.28651, -1.90866, 1.01104, aep
-4.54118, -1.36944, 1.81378, aep
-4.32676, -0.497331, 2.25361, aep
-3.34386, -0.336066, 2.16476, aep
-2.54208, -0.922819, 2.05129, rrt
-2.92573, -1.82961, 1.87655, rrt
-2.88482, -2.74381, 1.47333, rrt
-2.18773, -3.45489, 1.56512, aep
-1.40687, -3.82985, 1.06547, aep
-0.987634, -3.10882, 0.513784, aep
0.235083, -2.42977, 0.457129, aep
1.28395, -2.11674, 1.41488, aep
1.56749, -1.25942, 1.84455, aep
2.11127, -0.482763, 2.16253, aep
1.85664, 0.481639, 2.09114, aep
1.34278, 1.10167, 1.49827, aep
