Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
3.154000000, 87.16, 10.9223, 67.6, 19.56, 710.84
6.803000000, 99.168, 12.4271, 77.512, 21.656, 698.832
9.687000000, 104.952, 13.1519, 82.352, 22.6, 693.048
12.788000000, 109.12, 13.6742, 85.784, 23.336, 688.88
15.816000000, 111.368, 13.9559, 88.52, 22.848, 686.632
18.729000000, 119.024, 14.9153, 94.824, 24.2, 678.976
21.462000000, 129.824, 16.2687, 105.24, 24.584, 668.176
24.341000000, 142.28, 17.8296, 116.736, 25.544, 655.72
28.023000000, 155.696, 19.5108, 128.344, 27.352, 642.304
31.604000000, 162.784, 20.399, 134.936, 27.848, 635.216
34.768000000, 172.552, 21.6231, 142.592, 29.96, 625.448
37.999000000, 195.224, 24.4642, 161.48, 33.744, 602.776
43.078000000, 220.832, 27.6732, 184.92, 35.912, 577.168
47.868000000, 249.032, 31.207, 208.584, 40.448, 548.968
52.543000000, 260.68, 32.6667, 218.096, 42.584, 537.32
55.450000000, 266.848, 33.4396, 224.608, 42.24, 531.152
58.716000000, 279.744, 35.0556, 235.536, 44.208, 518.256
61.647000000, 296.48, 37.1529, 249.04, 47.44, 501.52
64.496000000, 309.48, 38.782, 258.848, 50.632, 488.52
67.768000000, 320.688, 40.1865, 267.568, 53.12, 477.312
71.092000000, 332.4, 41.6541, 276.904, 55.496, 465.6
73.960000000, 345.048, 43.2391, 287.888, 57.16, 452.952
77.005000000, 355.968, 44.6075, 297.344, 58.624, 442.032
80.910000000, 372.72, 46.7068, 311.456, 61.264, 425.28
83.645000000, 388.096, 48.6336, 323.2, 64.896, 409.904
86.720000000, 399.96, 50.1203, 332.584, 67.376, 398.04
91.472000000, 406.216, 50.9043, 337.608, 68.608, 391.784
94.976000000, 406.616, 50.9544, 339.496, 67.12, 391.384
99.044000000, 410.24, 51.4085, 342.264, 67.976, 387.76
103.485000000, 414.504, 51.9429, 345.928, 68.576, 383.496
107.009000000, 419.48, 52.5664, 351.008, 68.472, 378.52
111.668000000, 421.856, 52.8642, 353.048, 68.808, 376.144
115.733000000, 424.304, 53.1709, 354.536, 69.768, 373.696
119.784000000, 425.528, 53.3243, 355.6, 69.928, 372.472
123.704000000, 425.752, 53.3524, 355.84, 69.912, 372.248
127.765000000, 426.488, 53.4446, 355.4, 71.088, 371.512
133.599000000, 427.816, 53.611, 355.888, 71.928, 370.184
136.318000000, 429.48, 53.8195, 357.68, 71.8, 368.52
140.218000000, 435.656, 54.5935, 361.992, 73.664, 362.344
143.104000000, 449.4, 56.3158, 373.064, 76.336, 348.6
146.144000000, 460.536, 57.7113, 382.976, 77.56, 337.464
149.055000000, 471.696, 59.1098, 391.792, 79.904, 326.304
151.728000000, 475.6, 59.599, 393.752, 81.848, 322.4
155.255000000, 484.168, 60.6727, 400.24, 83.928, 313.832
158.364000000, 493.296, 61.8165, 407.624, 85.672, 304.704
161.064000000, 505.984, 63.4065, 418.056, 87.928, 292.016
163.690000000, 518.32, 64.9524, 428.408, 89.912, 279.68
167.538000000, 528.024, 66.1684, 436.808, 91.216, 269.976
172.692000000, 548.728, 68.7629, 453.272, 95.456, 249.272
176.510000000, 558.672, 70.009, 458.52, 100.152, 239.328
179.408000000, 564.488, 70.7378, 462.528, 101.96, 233.512
182.981000000, 569.776, 71.4005, 465.504, 104.272, 228.224
188.934000000, 584.312, 73.2221, 477.176, 107.136, 213.688
192.091000000, 590.48, 73.995, 481.624, 108.856, 207.52
194.910000000, 596.704, 74.7749, 486.28, 110.424, 201.296
198.644000000, 610.864, 76.5494, 498.616, 112.248, 187.136
202.923000000, 615.552, 77.1368, 502.584, 112.968, 182.448
208.048000000, 624.72, 78.2857, 508.992, 115.728, 173.28
211.290000000, 632.488, 79.2591, 516.92, 115.568, 165.512
214.424000000, 637.056, 79.8316, 520.248, 116.808, 160.944
220.095000000, 640.856, 80.3078, 524.88, 115.976, 157.144
225.715000000, 642.28, 80.4862, 525.128, 117.152, 155.72
228.985000000, 658.008, 82.4571, 538.128, 119.88, 139.992
232.330000000, 659.608, 82.6576, 539.512, 120.096, 138.392
236.022000000, 660.064, 82.7148, 540.744, 119.32, 137.936
236.421000000, 660.088, 82.7178, 540.816, 119.272, 137.912
236.812000000, 660.088, 82.7178, 541.072, 119.016, 137.912
237.186000000, 660.088, 82.7178, 541.072, 119.016, 137.912
237.641000000, 660.088, 82.7178, 541.072, 119.016, 137.912
238.064000000, 660.088, 82.7178, 541.072, 119.016, 137.912
286.589000000, 673.248, 84.3669, 546.976, 126.272, 124.752
293.709000000, 673.696, 84.4231, 547.52, 126.176, 124.304
293.709000000, 673.696, 84.4231, 547.552, 126.144, 124.304
