Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
3.042000000, 146.304, 28.6871, 126.216, 20.088, 363.696
6.330000000, 162.176, 31.7992, 138.672, 23.504, 347.824
9.777000000, 180.208, 35.3349, 154.104, 26.104, 329.792
14.247000000, 197.36, 38.698, 170.312, 27.048, 312.64
18.846000000, 206.152, 40.422, 178.288, 27.864, 303.848
23.349000000, 216.792, 42.5082, 187.688, 29.104, 293.208
26.477000000, 225.76, 44.2667, 195.824, 29.936, 284.24
29.152000000, 243.808, 47.8055, 212.496, 31.312, 266.192
34.027000000, 246.72, 48.3765, 212.544, 34.176, 263.28
38.688000000, 260.224, 51.0243, 225.888, 34.336, 249.776
41.881000000, 272.056, 53.3443, 236.656, 35.4, 237.944
44.946000000, 278.128, 54.5349, 241.472, 36.656, 231.872
49.307000000, 286.672, 56.2102, 249.28, 37.392, 223.328
53.252000000, 290.368, 56.9349, 252.376, 37.992, 219.632
57.589000000, 305.912, 59.9827, 266.176, 39.736, 204.088
60.731000000, 320.496, 62.8424, 279.08, 41.416, 189.504
63.472000000, 334.488, 65.5859, 291.392, 43.096, 175.512
66.411000000, 345.592, 67.7631, 300.816, 44.776, 164.408
69.536000000, 365.016, 71.5718, 318.392, 46.624, 144.984
73.597000000, 376.168, 73.7584, 327.232, 48.936, 133.832
77.090000000, 377.224, 73.9655, 325.944, 51.28, 132.776
80.414000000, 379.48, 74.4078, 330.088, 49.392, 130.52
83.529000000, 387, 75.8824, 336.256, 50.744, 123
92.297000000, 409.672, 80.3278, 355.56, 54.112, 100.328
95.166000000, 414.512, 81.2769, 359.616, 54.896, 95.488
98.630000000, 422.656, 82.8737, 364.88, 57.776, 87.344
101.438000000, 431.76, 84.6588, 369.544, 62.216, 78.24
105.739000000, 436.472, 85.5827, 370.536, 65.936, 73.528
110.415000000, 445.76, 87.4039, 375.608, 70.152, 64.24
110.415000000, 445.776, 87.4071, 375.312, 70.464, 64.224
