Iteration, Path length, Time, Planning, Flying, 
0, 0, 0, 0, 0
1, 1, 3.042000000, 0.175, 2.867
2, 2, 6.330000000, 0.395, 5.934
3, 3, 9.777000000, 0.64, 9.135
4, 4, 14.247000000, 1.042, 13.202
5, 5, 18.846000000, 1.306, 17.536
6, 6, 23.349000000, 1.807, 21.537
7, 7, 26.477000000, 2.267, 24.204
8, 8, 29.152000000, 2.541, 26.605
9, 9, 34.027000000, 2.948, 31.072
10, 10, 38.688000000, 3.207, 35.473
11, 11, 41.881000000, 3.598, 38.274
12, 12, 44.946000000, 3.927, 41.008
13, 13.4241, 49.307000000, 4.352, 44.943
14, 14.4241, 53.252000000, 4.629, 48.61
15, 15.4241, 57.589000000, 4.898, 52.677
16, 16.4241, 60.731000000, 5.173, 55.544
17, 17.4241, 63.472000000, 5.446, 58.011
18, 18.4241, 66.411000000, 5.717, 60.678
19, 19.4241, 69.536000000, 5.971, 63.545
20, 20.7531, 73.597000000, 6.229, 67.347
21, 21.7531, 77.090000000, 6.655, 70.414
22, 22.7531, 80.414000000, 6.911, 73.481
23, 23.7531, 83.529000000, 7.158, 76.348
24, 26.7531, 92.297000000, 7.589, 84.684
25, 27.7531, 95.166000000, 7.79, 87.351
26, 28.7531, 98.630000000, 8.052, 90.552
27, 29.7531, 101.438000000, 8.247, 93.154
28, 30.7531, 105.739000000, 8.48, 97.221
29, 31.7531, 110.415000000, 8.889, 101.488
29, 31.7531, 110.415000000, 8.889, 101.488
