Goal x, Goal y, Goal z, Planner
-2.37096, 4.54875, 1.54496, aep
-1.52207, 4.25428, 1.98391, aep
-1.59512, 3.26064, 1.89821, aep
-1.4374, 2.68628, 1.09495, aep
-1.10728, 1.74234, 1.09697, aep
-1.00165, 0.78398, 1.36226, aep
-0.893773, -0.0473859, 1.90741, aep
-0.0359974, -0.293677, 2.35859, aep
0.808156, -0.376255, 1.82889, aep
1.28019, -1.25114, 1.72048, aep
1.76954, -1.74317, 1.00045, aep
1.72119, -2.74036, 1.0578, aep
2.16574, -4.05401, 1.2881, aep
1.50948, -4.8084, 1.27321, aep
0.683195, -5.04162, 1.78591, aep
-0.259499, -4.70846, 1.76777, aep
-1.10886, -5.07, 1.38323, aep
-1.96859, -4.67407, 1.70589, aep
-2.36456, -5.45148, 2.19461, aep
-3.19807, -6.00319, 2.22431, aep
-4.14126, -5.96923, 1.8938, aep
-4.22276, -6.93226, 1.63702, aep
-4.42156, -7.23463, 0.70479, aep
-4.25362, -8.14018, 0.315214, aep
-3.98269, -9.05496, 0.614845, aep
-3.99531, -9.6273, 1.43477, aep
-2.78857, -10.4024, 1.50196, aep
-1.79565, -10.4424, 1.39012, aep
-1.31181, -9.56909, 1.33379, rrt
-1.18498, -8.57719, 1.34129, rrt
-1.10667, -7.58049, 1.36267, rrt
-1.24856, -6.59246, 1.30214, rrt
-0.507647, -5.92087, 1.30018, rrt
-0.340972, -5.49515, 1.79508, rrt
0.00617545, -4.62047, 1.45682, rrt
0.454888, -3.74413, 1.28166, rrt
0.399512, -2.4459, 1.50261, rrt
0.203554, -1.4653, 1.50719, rrt
0.699512, -0.610261, 1.65863, rrt
0.624105, 0.287752, 1.29496, rrt
0.426867, 1.0695, 1.18985, rrt
0.503746, 2.05947, 1.30835, rrt
0.377001, 3.00011, 0.993493, rrt
0.44471, 3.99682, 1.03796, rrt
1.02324, 4.7999, 0.895257, rrt
0.243532, 5.42147, 0.819724, rrt
0.832272, 5.23429, 1.60608, aep
1.71762, 4.90391, 1.27896, aep
2.29404, 5.18473, 2.04635, aep
2.68701, 6.08552, 2.23114, aep
1.73053, 6.27031, 2.45696, aep
0.789441, 6.60501, 2.40865, aep
0.962557, 7.58759, 2.47618, aep
0.969693, 6.60727, 2.2789, rrt
