Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
5.870000000, 133.304, 9.25722, 115.888, 17.416, 1306.7
10.135000000, 145.288, 10.0894, 126.888, 18.4, 1294.71
16.620000000, 148.672, 10.3244, 129.824, 18.848, 1291.33
23.065000000, 148.816, 10.3344, 129.552, 19.264, 1291.18
29.745000000, 166.368, 11.5533, 145.744, 20.624, 1273.63
33.800000000, 182.56, 12.6778, 161.272, 21.288, 1257.44
38.905000000, 203.776, 14.1511, 180.848, 22.928, 1236.22
45.805000000, 211.952, 14.7189, 187.52, 24.432, 1228.05
52.015000000, 238.232, 16.5439, 211.336, 26.896, 1201.77
56.430000000, 253.952, 17.6356, 226.208, 27.744, 1186.05
62.570000000, 277.296, 19.2567, 247.584, 29.712, 1162.7
67.075000000, 285.216, 19.8067, 255.632, 29.584, 1154.78
71.125000000, 295.696, 20.5344, 265.328, 30.368, 1144.3
75.575000000, 300.456, 20.865, 269.848, 30.608, 1139.54
81.025000000, 313.96, 21.8028, 281.088, 32.872, 1126.04
84.945000000, 325.12, 22.5778, 291.672, 33.448, 1114.88
89.200000000, 336.576, 23.3733, 301.568, 35.008, 1103.42
93.535000000, 350.936, 24.3706, 314.776, 36.16, 1089.06
97.515000000, 366.256, 25.4344, 333.28, 32.976, 1073.74
102.365000000, 389.144, 27.0239, 351.512, 37.632, 1050.86
107.345000000, 405.264, 28.1433, 366.16, 39.104, 1034.74
111.400000000, 417.784, 29.0128, 378.704, 39.08, 1022.22
115.640000000, 429.072, 29.7967, 388.512, 40.56, 1010.93
119.545000000, 442.16, 30.7056, 400.312, 41.848, 997.84
124.480000000, 450.888, 31.3117, 408.488, 42.4, 989.112
128.555000000, 458.424, 31.835, 415.12, 43.304, 981.576
132.435000000, 464.752, 32.2744, 420.864, 43.888, 975.248
136.730000000, 469.68, 32.6167, 425.832, 43.848, 970.32
141.190000000, 478.84, 33.2528, 436.032, 42.808, 961.16
148.065000000, 490.36, 34.0528, 444.72, 45.64, 949.64
154.080000000, 490.84, 34.0861, 443.024, 47.816, 949.16
162.900000000, 490.88, 34.0889, 442.464, 48.416, 949.12
166.975000000, 490.88, 34.0889, 442.816, 48.064, 949.12
171.385000000, 495.6, 34.4167, 447.2, 48.4, 944.4
175.580000000, 504.832, 35.0578, 460.888, 43.944, 935.168
180.185000000, 512.744, 35.6072, 461.68, 51.064, 927.256
185.435000000, 519.472, 36.0744, 466.264, 53.208, 920.528
189.565000000, 524.272, 36.4078, 471.008, 53.264, 915.728
193.290000000, 530.784, 36.86, 477.544, 53.24, 909.216
197.005000000, 538.128, 37.37, 484.696, 53.432, 901.872
200.690000000, 544.32, 37.8, 490.216, 54.104, 895.68
204.470000000, 553.256, 38.4206, 498.56, 54.696, 886.744
208.205000000, 560.032, 38.8911, 504.496, 55.536, 879.968
212.310000000, 567.688, 39.4228, 516.312, 51.376, 872.312
217.250000000, 579.176, 40.2206, 524.624, 54.552, 860.824
221.990000000, 597.88, 41.5194, 541.664, 56.216, 842.12
226.165000000, 606.88, 42.1444, 549.568, 57.312, 833.12
230.625000000, 618.144, 42.9267, 558.376, 59.768, 821.856
236.655000000, 623.024, 43.2656, 561.2, 61.824, 816.976
241.085000000, 629.656, 43.7261, 572.104, 57.552, 810.344
245.145000000, 637.72, 44.2861, 574.296, 63.424, 802.28
248.970000000, 642.072, 44.5883, 581.344, 60.728, 797.928
254.865000000, 645.824, 44.8489, 583.968, 61.856, 794.176
259.520000000, 647.464, 44.9628, 584.072, 63.392, 792.536
265.640000000, 651.504, 45.2433, 586.648, 64.856, 788.496
270.065000000, 662.808, 46.0283, 596.816, 65.992, 777.192
274.430000000, 668.912, 46.4522, 603.424, 65.488, 771.088
278.495000000, 676.488, 46.9783, 609.528, 66.96, 763.512
283.075000000, 678.928, 47.1478, 610.752, 68.176, 761.072
287.310000000, 679.984, 47.2211, 616.72, 63.264, 760.016
291.050000000, 681.48, 47.325, 614.216, 67.264, 758.52
295.525000000, 681.64, 47.3361, 614.816, 66.824, 758.36
300.755000000, 688.656, 47.8233, 620.88, 67.776, 751.344
305.025000000, 696.216, 48.3483, 627.456, 68.76, 743.784
309.170000000, 707.576, 49.1372, 637.52, 70.056, 732.424
313.270000000, 719.944, 49.9961, 649.52, 70.424, 720.056
317.175000000, 737.416, 51.2094, 666.936, 70.48, 702.584
321.180000000, 751.152, 52.1633, 678.816, 72.336, 688.848
325.400000000, 764.464, 53.0878, 690.232, 74.232, 675.536
329.810000000, 779.504, 54.1322, 704.6, 74.904, 660.496
333.875000000, 794.064, 55.1433, 718.408, 75.656, 645.936
338.815000000, 805.952, 55.9689, 729.08, 76.872, 634.048
342.880000000, 812.168, 56.4006, 731.976, 80.192, 627.832
347.210000000, 817.648, 56.7811, 737.856, 79.792, 622.352
351.400000000, 831.512, 57.7439, 750.736, 80.776, 608.488
354.945000000, 841.984, 58.4711, 760.616, 81.368, 598.016
358.805000000, 847.936, 58.8844, 767.248, 80.688, 592.064
362.715000000, 856.744, 59.4961, 775.048, 81.696, 583.256
366.725000000, 868.56, 60.3167, 786.048, 82.512, 571.44
370.985000000, 874.08, 60.7, 791.08, 83, 565.92
374.945000000, 883.264, 61.3378, 799.408, 83.856, 556.736
378.915000000, 890.584, 61.8461, 804.408, 86.176, 549.416
382.620000000, 897.2, 62.3056, 809.84, 87.36, 542.8
386.685000000, 897.872, 62.3522, 810.52, 87.352, 542.128
391.060000000, 902.168, 62.6506, 815.352, 86.816, 537.832
395.185000000, 910.176, 63.2067, 822.344, 87.832, 529.824
399.135000000, 921.144, 63.9683, 834.936, 86.208, 518.856
403.240000000, 938.2, 65.1528, 849.6, 88.6, 501.8
407.290000000, 951.24, 66.0583, 861.384, 89.856, 488.76
411.770000000, 961.64, 66.7806, 870.336, 91.304, 478.36
415.690000000, 972.384, 67.5267, 880.04, 92.344, 467.616
420.425000000, 988.248, 68.6283, 894.704, 93.544, 451.752
424.900000000, 1005.54, 69.8289, 911.112, 94.424, 434.464
430.180000000, 1016.33, 70.5783, 921.192, 95.136, 423.672
435.340000000, 1033.43, 71.7661, 935.272, 98.16, 406.568
441.190000000, 1044.9, 72.5622, 947.272, 97.624, 395.104
447.575000000, 1046.81, 72.695, 946.224, 100.584, 393.192
451.920000000, 1052.94, 73.1206, 951.992, 100.944, 387.064
455.605000000, 1060.06, 73.615, 959.6, 100.456, 379.944
461.130000000, 1070.25, 74.3228, 970.168, 100.08, 369.752
466.865000000, 1076.65, 74.7672, 976.584, 100.064, 363.352
473.080000000, 1076.92, 74.7861, 975.184, 101.736, 363.08
476.845000000, 1076.92, 74.7861, 975.6, 101.32, 363.08
480.915000000, 1076.92, 74.7861, 981.024, 95.896, 363.08
486.045000000, 1081.18, 75.0817, 982.056, 99.12, 358.824
491.185000000, 1082.3, 75.16, 982.512, 99.792, 357.696
495.310000000, 1082.3, 75.16, 982.624, 99.68, 357.696
499.445000000, 1082.3, 75.16, 982.128, 100.176, 357.696
503.600000000, 1082.3, 75.16, 982.672, 99.632, 357.696
507.925000000, 1082.3, 75.16, 982.856, 99.448, 357.696
512.145000000, 1082.3, 75.16, 982.608, 99.696, 357.696
519.530000000, 1085.62, 75.39, 985.088, 100.528, 354.384
524.720000000, 1085.62, 75.3906, 984.664, 100.96, 354.376
531.045000000, 1087.11, 75.4939, 986.16, 100.952, 352.888
535.650000000, 1087.11, 75.4939, 988.768, 98.344, 352.888
540.245000000, 1087.11, 75.4939, 987.304, 99.808, 352.888
544.110000000, 1087.3, 75.5067, 990.992, 96.304, 352.704
549.485000000, 1087.78, 75.5406, 987.888, 99.896, 352.216
554.250000000, 1087.86, 75.5456, 987.656, 100.2, 352.144
558.500000000, 1087.98, 75.5539, 987.688, 100.288, 352.024
562.645000000, 1090.57, 75.7339, 989.168, 101.4, 349.432
568.850000000, 1099.61, 76.3617, 1003.04, 96.568, 340.392
575.405000000, 1100.39, 76.4161, 997.896, 102.496, 339.608
579.745000000, 1103.78, 76.6511, 1005.26, 98.512, 336.224
584.750000000, 1114.63, 77.405, 1013.9, 100.736, 325.368
590.280000000, 1116.43, 77.53, 1016.62, 99.808, 323.568
594.420000000, 1116.74, 77.5511, 1015.95, 100.784, 323.264
600.425000000, 1116.74, 77.5511, 1016.66, 100.08, 323.264
617.585000000, 1118.63, 77.6828, 1020.36, 98.272, 321.368
625.515000000, 1120.63, 77.8217, 1020.45, 100.184, 319.368
629.960000000, 1121.06, 77.8517, 1021.93, 99.136, 318.936
636.360000000, 1121.6, 77.8889, 1022, 99.6, 318.4
642.795000000, 1122.12, 77.925, 1022.96, 99.16, 317.88
647.675000000, 1122.41, 77.945, 1023.02, 99.384, 317.592
655.260000000, 1122.41, 77.945, 1020.22, 102.184, 317.592
661.275000000, 1122.81, 77.9728, 1022.74, 100.064, 317.192
665.180000000, 1124.64, 78.1, 1023.46, 101.176, 315.36
669.215000000, 1125.94, 78.19, 1025.47, 100.464, 314.064
672.970000000, 1132.15, 78.6217, 1032.5, 99.656, 307.848
677.535000000, 1137.94, 79.0233, 1039.27, 98.664, 302.064
682.595000000, 1142.86, 79.365, 1043.51, 99.344, 297.144
687.525000000, 1143.84, 79.4333, 1044.64, 99.2, 296.16
691.650000000, 1146.22, 79.5983, 1047.62, 98.6, 293.784
696.255000000, 1150.26, 79.8789, 1052.25, 98.008, 289.744
700.375000000, 1153.03, 80.0717, 1055.54, 97.496, 286.968
704.390000000, 1154.42, 80.1683, 1057.02, 97.408, 285.576
709.325000000, 1154.72, 80.1889, 1056.8, 97.92, 285.28
715.570000000, 1154.75, 80.1911, 1055.54, 99.216, 285.248
721.025000000, 1154.75, 80.1911, 1060.61, 94.144, 285.248
726.865000000, 1154.95, 80.205, 1057.79, 97.16, 285.048
730.480000000, 1154.99, 80.2078, 1057.6, 97.392, 285.008
735.155000000, 1154.99, 80.2078, 1057.22, 97.768, 285.008
741.110000000, 1155.06, 80.2128, 1059.07, 95.992, 284.936
745.265000000, 1155.62, 80.2511, 1060.25, 95.368, 284.384
749.680000000, 1157.99, 80.4161, 1063.51, 94.48, 282.008
755.485000000, 1159.02, 80.4872, 1063.98, 95.032, 280.984
759.895000000, 1159.02, 80.4872, 1063.66, 95.352, 280.984
764.080000000, 1159.02, 80.4872, 1068.34, 90.672, 280.984
770.060000000, 1163.95, 80.83, 1067.33, 96.624, 276.048
776.505000000, 1167.18, 81.0539, 1070.82, 96.36, 272.824
781.810000000, 1167.18, 81.0539, 1070.7, 96.48, 272.824
785.865000000, 1167.18, 81.0539, 1070.77, 96.408, 272.824
790.525000000, 1167.18, 81.0539, 1069.45, 97.728, 272.824
794.515000000, 1167.18, 81.0539, 1072.94, 94.232, 272.824
798.830000000, 1167.18, 81.0539, 1068.15, 99.024, 272.824
806.775000000, 1167.18, 81.0539, 1065.82, 101.36, 272.824
813.135000000, 1167.18, 81.0539, 1065.54, 101.632, 272.824
817.460000000, 1167.26, 81.06, 1069.74, 97.528, 272.736
822.900000000, 1170.26, 81.2683, 1070.76, 99.504, 269.736
827.855000000, 1170.38, 81.2767, 1069.79, 100.592, 269.616
832.430000000, 1170.38, 81.2767, 1069.53, 100.856, 269.616
836.340000000, 1170.38, 81.2767, 1069.81, 100.576, 269.616
840.005000000, 1170.39, 81.2772, 1069.61, 100.784, 269.608
844.350000000, 1170.54, 81.2872, 1070.33, 100.208, 269.464
849.520000000, 1172.27, 81.4078, 1070.63, 101.64, 267.728
854.810000000, 1172.46, 81.4211, 1071.06, 101.4, 267.536
859.745000000, 1172.99, 81.4578, 1072.3, 100.688, 267.008
865.435000000, 1177.98, 81.8039, 1078.83, 99.144, 262.024
872.140000000, 1184.11, 82.23, 1084.37, 99.744, 255.888
877.880000000, 1185.34, 82.3156, 1085.18, 100.16, 254.656
884.315000000, 1185.34, 82.3156, 1084.22, 101.128, 254.656
890.395000000, 1185.82, 82.3489, 1082.5, 103.32, 254.176
894.420000000, 1185.84, 82.35, 1082.12, 103.72, 254.16
898.115000000, 1185.9, 82.3544, 1083.02, 102.88, 254.096
902.485000000, 1186.07, 82.3661, 1087.03, 99.04, 253.928
906.905000000, 1191.27, 82.7272, 1094.42, 96.848, 248.728
911.485000000, 1196.48, 83.0889, 1096.46, 100.016, 243.52
917.035000000, 1204.23, 83.6272, 1104, 100.232, 235.768
921.790000000, 1209.73, 84.0089, 1108.38, 101.352, 230.272
925.750000000, 1215.4, 84.4028, 1111.72, 103.68, 224.6
930.645000000, 1217.98, 84.5817, 1114.66, 103.32, 222.024
