Goal x, Goal y, Goal z, Planner
11.2956, -12.976, 1.19622, aep
11.1442, -12.0982, 1.65056, aep
10.4369, -11.5488, 1.20565, aep
9.73769, -11.6246, 1.91653, aep
8.76845, -11.4243, 1.77343, aep
8.50207, -12.102, 1.08805, aep
7.76766, -12.7127, 1.38428, aep
6.46077, -12.5326, 1.74494, aep
5.32869, -11.6498, 2.15908, aep
4.44629, -11.1832, 2.21937, aep
4.45032, -10.1989, 2.39625, aep
4.45759, -9.45671, 1.72613, aep
5.67849, -8.94577, 2.3922, aep
6.48052, -8.51346, 1.98005, aep
7.43945, -8.75841, 2.12307, aep
8.29846, -9.17928, 2.41457, aep
8.72114, -10.0336, 2.11218, aep
9.20799, -9.75454, 1.28448, aep
9.9974, -9.14914, 1.38605, aep
11.0905, -8.362, 1.58826, aep
10.4975, -7.89676, 2.24548, aep
9.58558, -7.55321, 2.02098, aep
9.43489, -7.24742, 1.08088, aep
8.82444, -6.52706, 0.75159, aep
9.38329, -5.70976, 0.892007, aep
8.82225, -4.89942, 1.06106, aep
8.28076, -4.55698, 1.82887, aep
7.42655, -4.92844, 2.19266, aep
8.23863, -4.49803, 1.79861, aep
7.52369, -3.9854, 1.32314, aep
6.59287, -3.82967, 1.65378, aep
7.08127, -3.00069, 1.92627, aep
8.0022, -3.28802, 1.66297, aep
8.83975, -3.73863, 1.97196, aep
9.7394, -4.16432, 2.06895, aep
10.7067, -4.11559, 2.31779, aep
10.225, -4.16728, 2.23771, rrt
8.76791, -3.91354, 2.00527, rrt
7.76952, -3.85852, 2.01853, rrt
7.25452, -4.17711, 1.95203, rrt
6.25976, -4.78149, 1.68016, rrt
5.46366, -5.38258, 1.75031, rrt
4.92715, -5.16473, 0.964015, rrt
4.00407, -5.51961, 1.11228, rrt
3.92416, -6.27578, 0.462807, aep
3.27143, -7.02633, 0.565854, aep
2.62707, -7.41964, 1.22168, aep
2.88727, -8.31597, 1.58069, aep
2.65139, -9.0506, 2.21683, aep
2.17381, -9.64345, 1.56841, aep
1.24118, -9.48154, 1.89088, aep
0.369803, -9.50781, 2.38078, aep
-0.418322, -9.37328, 1.78015, aep
-1.66452, -10.0082, 1.43684, aep
-3.02285, -9.79985, 1.06134, aep
-4.32662, -9.49342, 0.66615, aep
-4.84398, -8.7479, 1.08631, aep
-5.48824, -8.43785, 1.78545, aep
-5.26681, -7.46377, 1.83168, aep
-4.6208, -6.80847, 1.4402, aep
-3.62839, -6.87454, 1.54389, aep
-2.78134, -7.02461, 2.05378, aep
-1.97128, -6.51545, 1.76296, aep
-1.09581, -6.55637, 2.24449, aep
-0.82612, -6.41092, 0.889138, aep
0.44717, -7.12359, 1.23565, aep
0.927742, -7.00028, 2.10389, aep
1.65927, -6.36442, 2.34993, aep
1.52361, -5.38074, 2.46817, aep
1.97044, -5.05112, 1.63649, aep
1.71193, -5.01908, 0.671008, aep
0.621961, -4.14151, 0.407896, aep
-0.251025, -3.86265, 0.808064, aep
-1.10645, -3.72801, 1.30818, aep
-1.80865, -3.89833, 1.99949, aep
-2.74852, -3.64869, 2.23257, aep
-3.58989, -4.0797, 1.9065, aep
-4.13486, -4.16524, 1.07242, aep
-5.07985, -4.49233, 1.07431, aep
-5.48379, -3.95116, 0.336765, aep
-5.68272, -2.98265, 0.486493, aep
-5.56108, -1.99582, 0.379875, aep
-4.7412, -1.4237, 0.357832, aep
-4.3829, -0.77024, 1.02462, aep
-3.39039, -0.684553, 1.11172, aep
-1.96686, -0.769463, 1.50675, aep
-1.341, -0.136159, 1.96197, aep
-0.494287, 0.374251, 1.81175, aep
0.62708, -0.23776, 1.05684, aep
0.965583, -1.17371, 0.959767, aep
1.76121, -1.48447, 1.47978, aep
2.98578, -1.04075, 1.90438, aep
3.49205, -0.306667, 2.35694, aep
4.42869, -0.398557, 2.01891, aep
4.76997, -0.0936847, 1.12976, aep
5.84693, -0.387013, 0.384003, aep
6.58557, -0.941466, 0.767392, aep
7.78244, -0.159332, 1.13975, aep
7.92952, -0.33492, 1.13223, rrt
7.82445, -0.689544, 0.76357, rrt
