Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
3.820000000, 33.696, 3.89549, 26.272, 7.424, 831.304
8.442000000, 43.088, 4.98127, 32.832, 10.256, 821.912
12.371000000, 63.928, 7.39052, 51.8, 12.128, 801.072
16.378000000, 67.072, 7.75399, 51.752, 15.32, 797.928
21.087000000, 72.224, 8.3496, 56.976, 15.248, 792.776
23.783000000, 75.496, 8.72786, 58.928, 16.568, 789.504
27.881000000, 86.576, 10.0088, 70.248, 16.328, 778.424
31.838000000, 91.552, 10.584, 74.648, 16.904, 773.448
36.536000000, 93.4, 10.7977, 74.4, 19, 771.6
43.339000000, 95.032, 10.9864, 75.544, 19.488, 769.968
48.096000000, 107.184, 12.3912, 84.552, 22.632, 757.816
52.213000000, 125.512, 14.5101, 98.232, 27.28, 739.488
55.109000000, 131.776, 15.2342, 101.28, 30.496, 733.224
58.106000000, 137.664, 15.9149, 106.304, 31.36, 727.336
62.386000000, 143.712, 16.6141, 110.456, 33.256, 721.288
65.260000000, 147.152, 17.0118, 112.864, 34.288, 717.848
68.156000000, 151.48, 17.5121, 117.464, 34.016, 713.52
72.820000000, 158.76, 18.3538, 122.632, 36.128, 706.24
77.401000000, 167.976, 19.4192, 130.272, 37.704, 697.024
80.848000000, 171.84, 19.8659, 133.664, 38.176, 693.16
85.858000000, 172.52, 19.9445, 130.232, 42.288, 692.48
90.805000000, 186.048, 21.5084, 141.168, 44.88, 678.952
93.675000000, 191.688, 22.1605, 145.984, 45.704, 673.312
97.096000000, 196.464, 22.7126, 148.968, 47.496, 668.536
101.038000000, 202.328, 23.3905, 152.272, 50.056, 662.672
105.588000000, 218.544, 25.2652, 163.704, 54.84, 646.456
108.693000000, 222.008, 25.6657, 165.44, 56.568, 642.992
112.535000000, 223.248, 25.809, 165.808, 57.44, 641.752
116.336000000, 233.624, 27.0086, 174.888, 58.736, 631.376
119.017000000, 237.8, 27.4913, 177.432, 60.368, 627.2
123.370000000, 240.808, 27.8391, 178.736, 62.072, 624.192
