Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
3.125000000, 196.544, 17.8676, 179.824, 16.72, 903.456
6.467000000, 231.664, 21.0604, 213.776, 17.888, 868.336
12.482000000, 260.968, 23.7244, 236.856, 24.112, 839.032
17.729000000, 322.016, 29.2742, 294.2, 27.816, 777.984
22.080000000, 371.464, 33.7695, 339.712, 31.752, 728.536
25.332000000, 406.096, 36.9178, 372.168, 33.928, 693.904
28.604000000, 444.224, 40.384, 406.544, 37.68, 655.776
32.278000000, 482.272, 43.8429, 440.256, 42.016, 617.728
35.728000000, 515.072, 46.8247, 469.872, 45.2, 584.928
38.986000000, 534.936, 48.6305, 488.2, 46.736, 565.064
41.930000000, 542.912, 49.3556, 495.28, 47.632, 557.088
45.058000000, 559.728, 50.8844, 510.544, 49.184, 540.272
49.242000000, 591.2, 53.7455, 540.28, 50.92, 508.8
51.980000000, 618.688, 56.2444, 567.136, 51.552, 481.312
55.471000000, 652.976, 59.3615, 599.176, 53.8, 447.024
59.287000000, 680.248, 61.8407, 623.264, 56.984, 419.752
62.761000000, 705.072, 64.0975, 639.88, 65.192, 394.928
66.774000000, 732.04, 66.5491, 665.008, 67.032, 367.96
69.902000000, 746.24, 67.84, 678.064, 68.176, 353.76
72.693000000, 768.512, 69.8647, 698.768, 69.744, 331.488
75.680000000, 785.192, 71.3811, 714.12, 71.072, 314.808
78.371000000, 807.536, 73.4124, 735.184, 72.352, 292.464
81.334000000, 829.72, 75.4291, 756.44, 73.28, 270.28
84.278000000, 846.704, 76.9731, 773.16, 73.544, 253.296
87.536000000, 860.504, 78.2276, 784.944, 75.56, 239.496
90.587000000, 868.472, 78.952, 791.744, 76.728, 231.528
93.227000000, 879.696, 79.9724, 802.56, 77.136, 220.304
96.937000000, 900.032, 81.8211, 822.712, 77.32, 199.968
100.736000000, 920.488, 83.6807, 838.312, 82.176, 179.512
104.614000000, 924.016, 84.0015, 841.688, 82.328, 175.984
107.396000000, 927.464, 84.3149, 844.568, 82.896, 172.536
110.371000000, 931.904, 84.7185, 848.944, 82.96, 168.096
114.640000000, 938.192, 85.2902, 850.936, 87.256, 161.808
117.399000000, 945.44, 85.9491, 855.768, 89.672, 154.56
166.705000000, 987.944, 89.8131, 882.008, 105.936, 112.056
169.908000000, 998.456, 90.7687, 891.416, 107.04, 101.544
169.908000000, 998.688, 90.7898, 891.568, 107.12, 101.312
