Goal x, Goal y, Goal z, Planner
0.772379, 13.0961, 0.47416, aep
0.874098, 13.9982, 0.893549, aep
-0.0692605, 14.2879, 1.05517, aep
-0.16748, 15.0917, 0.468421, aep
0.396675, 14.6402, 1.1597, aep
0.581535, 13.6701, 1.31695, aep
-0.274798, 13.2182, 1.56698, aep
-0.861168, 12.4185, 1.43822, aep
-1.26877, 12.0436, 2.27086, aep
-1.82136, 11.2402, 2.04908, aep
-1.65837, 9.87292, 2.2477, aep
-1.377, 9.53465, 3.1457, aep
-0.398221, 9.60669, 3.33752, aep
0.498128, 10.0415, 3.42405, aep
1.44161, 10.3406, 3.28123, aep
2.17561, 10.9822, 3.05863, aep
2.6576, 10.4569, 2.35739, aep
3.05211, 9.54229, 2.44593, aep
3.16092, 8.54945, 2.49514, aep
3.41314, 7.78459, 1.90238, aep
3.78425, 6.90937, 2.21267, aep
3.81761, 5.91325, 2.29405, aep
3.21015, 4.78349, 1.63813, aep
3.05875, 4.13328, 0.893609, aep
2.09379, 3.89874, 0.775963, aep
1.27584, 4.1402, 1.29812, aep
0.574893, 4.37059, 1.9731, aep
-0.53143, 4.41791, 2.74004, aep
-0.687821, 3.72936, 2.03192, aep
0.264471, 3.4992, 2.23233, aep
0.953228, 4.17306, 1.96488, aep
0.0214665, 4.35225, 2.28066, aep
-0.795955, 3.17241, 2.00552, aep
-1.56223, 2.97383, 2.61657, aep
-2.29895, 3.80536, 3.6239, aep
-2.98787, 3.08098, 3.64987, aep
-3.6803, 2.39794, 3.88224, aep
-3.20025, 1.55162, 3.65138, aep
-2.21802, 1.36591, 3.6786, aep
-1.60244, 2.08417, 3.35429, rrt
-1.47398, 3.07058, 3.25182, rrt
-1.39246, 4.05959, 3.12851, rrt
-0.937719, 4.94283, 3.01408, rrt
-0.630857, 5.87269, 2.81112, rrt
-1.01809, 6.79189, 2.88275, rrt
-0.935427, 7.77273, 2.70638, rrt
-0.752322, 8.74518, 2.85068, rrt
-0.115939, 9.47076, 2.58886, rrt
0.204756, 10.3984, 2.78016, rrt
0.0654043, 11.3849, 2.69344, rrt
-0.577529, 11.7981, 3.33834, rrt
-1.00858, 12.4187, 3.99334, rrt
-1.26977, 13.2779, 3.55347, aep
-1.08181, 13.9103, 2.80194, aep
-1.76933, 14.63, 2.89897, aep
-3.06789, 15.1626, 3.34866, aep
-3.60962, 15.7617, 2.75912, aep
-3.0038, 17.003, 2.70611, aep
-2.47869, 18.0123, 3.60536, aep
-1.98348, 18.5185, 4.31136, aep
-1.22031, 19.1619, 4.25097, aep
-0.268017, 19.4617, 4.19361, aep
0.444439, 19.1112, 3.5857, aep
-0.140173, 18.3003, 3.61206, rrt
