Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
11.030891, 91.032, 5.59336, 74.472, 16.56, 1536.47
42.546905, 165.432, 10.1648, 147.56, 17.872, 1462.07
65.744215, 256.992, 15.7906, 229.304, 27.688, 1370.51
88.495631, 269.56, 16.5628, 235.192, 34.368, 1357.94
138.399762, 343.888, 21.1298, 300.864, 43.024, 1283.61
158.069086, 384.304, 23.6131, 335.456, 48.848, 1243.2
184.231205, 433.928, 26.6622, 378.12, 55.808, 1193.57
204.258497, 491.328, 30.1891, 423.952, 67.376, 1136.17
224.133162, 516.576, 31.7405, 444.88, 71.696, 1110.92
281.734882, 585.128, 35.9526, 497.952, 87.176, 1042.37
286.953194, 603.104, 37.0571, 512.304, 90.8, 1024.4
301.460499, 605.088, 37.179, 510.648, 94.44, 1022.41
328.005406, 636.712, 39.1221, 539.304, 97.408, 990.788
346.565996, 667.576, 41.0185, 562.312, 105.264, 959.924
361.907934, 677.216, 41.6108, 565.536, 111.68, 950.284
395.450527, 681.512, 41.8748, 566.744, 114.768, 945.988
508.610069, 744.24, 45.729, 614.464, 129.776, 883.26
534.333496, 788.808, 48.4675, 652.816, 135.992, 838.692
553.378051, 815.784, 50.125, 673.84, 141.944, 811.716
577.962816, 827.36, 50.8363, 681.848, 145.512, 800.14
602.505355, 828.48, 50.9051, 679.704, 148.776, 799.02
659.394469, 833.92, 51.2393, 679.248, 154.672, 793.58
709.781158, 845.824, 51.9708, 687.832, 157.992, 781.676
793.077821, 846.688, 52.0238, 688.656, 158.032, 780.812
837.377045, 847.336, 52.0637, 689.872, 157.464, 780.164
962.793184, 896.016, 55.0547, 728.84, 167.176, 731.484
977.235389, 897.968, 55.1747, 728.736, 169.232, 729.532
1007.320514, 940.192, 57.7691, 762.48, 177.712, 687.308
1029.024641, 943.192, 57.9534, 764.144, 179.048, 684.308
1078.704315, 997.824, 61.3102, 806.112, 191.712, 629.676
1106.507731, 1111.8, 68.3134, 911.512, 200.288, 515.7
1125.973088, 1143.62, 70.2683, 938.32, 205.296, 483.884
1144.457981, 1167.64, 71.7444, 958.84, 208.8, 459.86
1190.739174, 1190.58, 73.1542, 980.432, 210.152, 436.916
