Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
9.478654, 113.984, 14.2837, 87.608, 26.376, 684.016
14.495654, 117.032, 14.6657, 90.816, 26.216, 680.968
33.128682, 217.576, 27.2652, 174.392, 43.184, 580.424
54.072765, 321.016, 40.2276, 258.448, 62.568, 476.984
71.406595, 410.408, 51.4296, 328.992, 81.416, 387.592
93.619712, 504.704, 63.2461, 409.352, 95.352, 293.296
112.655678, 558.792, 70.0241, 451.312, 107.48, 239.208
137.415668, 599.36, 75.1078, 483.784, 115.576, 198.64
167.868506, 640.68, 80.2857, 517.968, 122.712, 157.32
204.471456, 650.112, 81.4677, 524.024, 126.088, 147.888
265.143419, 660.496, 82.7689, 535.016, 125.48, 137.504
279.826404, 664.776, 83.3053, 538.368, 126.408, 133.224
285.971725, 664.928, 83.3243, 537.192, 127.736, 133.072
298.497240, 665.744, 83.4266, 538.736, 127.008, 132.256
336.413011, 668.992, 83.8336, 536.016, 132.976, 129.008
341.308744, 669.128, 83.8506, 537.448, 131.68, 128.872
346.077413, 669.472, 83.8937, 537.032, 132.44, 128.528
373.774582, 676.272, 84.7459, 541.928, 134.344, 121.728
426.211549, 693.496, 86.9043, 559.76, 133.736, 104.504
455.425174, 696.368, 87.2642, 561.72, 134.648, 101.632
498.358659, 699.192, 87.618, 564.56, 134.632, 98.808
556.019372, 700.208, 87.7454, 564.24, 135.968, 97.792
