Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
8.843263, 71.4, 14, 56.576, 14.824, 438.6
12.389478, 77.144, 15.1263, 61.328, 15.816, 432.856
22.264544, 85.4, 16.7451, 67.112, 18.288, 424.6
41.560548, 141.912, 27.8259, 121.624, 20.288, 368.088
62.963361, 231.584, 45.4086, 200.64, 30.944, 278.416
81.085828, 261.592, 51.2925, 225.96, 35.632, 248.408
104.426022, 343.112, 67.2769, 298.168, 44.944, 166.888
119.811045, 371.176, 72.7796, 320.256, 50.92, 138.824
141.936059, 402.864, 78.9929, 343.08, 59.784, 107.136
156.740360, 408.28, 80.0549, 343.296, 64.984, 101.72
195.899078, 445.88, 87.4275, 370.336, 75.544, 64.12
213.718920, 454.216, 89.062, 373.184, 81.032, 55.784
251.638403, 456.72, 89.5529, 373.64, 83.08, 53.28
301.014739, 460.448, 90.2839, 380.704, 79.744, 49.552
332.431654, 463.656, 90.9129, 385.92, 77.736, 46.344
372.895530, 464.544, 91.0871, 385.48, 79.064, 45.456
427.703230, 464.504, 91.0792, 383.376, 81.128, 45.496
443.187301, 465.248, 91.2251, 386.432, 78.816, 44.752
467.401985, 465.248, 91.2251, 384.4, 80.848, 44.752
513.116299, 464.912, 91.1592, 386.4, 78.512, 45.088
547.302190, 465.168, 91.2094, 388.296, 76.872, 44.832
581.494641, 464.88, 91.1529, 385.736, 79.144, 45.12
646.117774, 465.784, 91.3302, 388.88, 76.904, 44.216
