Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
11.816358, 90.696, 6.29833, 75.488, 15.208, 1349.3
16.795980, 92.256, 6.40667, 78.88, 13.376, 1347.74
42.054052, 156.44, 10.8639, 136.912, 19.528, 1283.56
64.910521, 232.208, 16.1256, 206.728, 25.48, 1207.79
88.047018, 303.944, 21.1072, 273.976, 29.968, 1136.06
134.347424, 361.448, 25.1006, 325.856, 35.592, 1078.55
142.839138, 372.872, 25.8939, 337.312, 35.56, 1067.13
175.056119, 422.528, 29.3422, 384.008, 38.52, 1017.47
182.635522, 446.136, 30.9817, 407.936, 38.2, 993.864
204.925788, 476.12, 33.0639, 438.304, 37.816, 963.88
247.867568, 560.032, 38.8911, 518.536, 41.496, 879.968
277.432779, 638.448, 44.3367, 592.104, 46.344, 801.552
289.680639, 661.864, 45.9628, 614.432, 47.432, 778.136
317.189940, 732.736, 50.8844, 677, 55.736, 707.264
370.046400, 800.392, 55.5828, 742.992, 57.4, 639.608
394.836303, 885.12, 61.4667, 825.176, 59.944, 554.88
424.442627, 924.104, 64.1739, 860.4, 63.704, 515.896
439.012902, 926.696, 64.3539, 861.984, 64.712, 513.304
462.407861, 949.32, 65.925, 883.808, 65.512, 490.68
491.846093, 961.408, 66.7644, 892.608, 68.8, 478.592
531.665040, 966.4, 67.1111, 899.952, 66.448, 473.6
592.301585, 1040.7, 72.2711, 969.112, 71.592, 399.296
623.066914, 1112.23, 77.2383, 1037.31, 74.92, 327.768
647.960215, 1124.67, 78.1022, 1049.16, 75.512, 315.328
681.903572, 1153.31, 80.0911, 1079.54, 73.776, 286.688
713.831909, 1159.62, 80.5289, 1086.24, 73.376, 280.384
780.532596, 1217.56, 84.5528, 1141.74, 75.816, 222.44
801.229461, 1257.26, 87.31, 1177.84, 79.424, 182.736
816.028526, 1264.82, 87.835, 1188.44, 76.384, 175.176
833.977239, 1265.23, 87.8633, 1186.1, 79.128, 174.768
856.222421, 1266.33, 87.9394, 1187.56, 78.768, 173.672
872.027867, 1273.24, 88.4194, 1192.66, 80.576, 166.76
898.609790, 1284.15, 89.1772, 1204.39, 79.76, 155.848
946.482859, 1289.18, 89.5267, 1211.34, 77.848, 150.816
1039.495878, 1295.71, 89.98, 1211.78, 83.936, 144.288
1050.198170, 1298.01, 90.1394, 1209.1, 88.912, 141.992
1065.777203, 1298.02, 90.14, 1209.61, 88.408, 141.984
1074.679722, 1298.5, 90.1739, 1209.54, 88.968, 141.496
1108.051083, 1300.06, 90.2817, 1208.85, 91.208, 139.944
1119.273809, 1300.52, 90.3139, 1209.95, 90.568, 139.48
1131.717641, 1300.52, 90.3139, 1209.92, 90.6, 139.48
1150.747046, 1300.52, 90.3139, 1206.64, 93.88, 139.48
1171.536720, 1304.01, 90.5561, 1210.54, 93.472, 135.992
1189.968689, 1304.01, 90.5561, 1210.29, 93.72, 135.992
