Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
9.163951, 33.12, 3.8289, 26.248, 6.872, 831.88
14.282339, 34.24, 3.95838, 26.888, 7.352, 830.76
26.493761, 63.064, 7.29064, 51.304, 11.76, 801.936
40.600322, 82.688, 9.55931, 67.472, 15.216, 782.312
53.731624, 91.496, 10.5776, 74.008, 17.488, 773.504
62.330232, 95.672, 11.0603, 73.408, 22.264, 769.328
76.786331, 124.136, 14.351, 97.696, 26.44, 740.864
87.798960, 129.392, 14.9586, 100.76, 28.632, 735.608
99.270476, 140.752, 16.2719, 111.4, 29.352, 724.248
140.121072, 167.736, 19.3914, 133.568, 34.168, 697.264
156.517795, 197.648, 22.8495, 155.392, 42.256, 667.352
177.310197, 225.68, 26.0902, 179.544, 46.136, 639.32
198.541681, 245.68, 28.4023, 194.504, 51.176, 619.32
229.397861, 259.424, 29.9912, 203.656, 55.768, 605.576
245.520744, 259.592, 30.0106, 199.976, 59.616, 605.408
319.092759, 261.48, 30.2289, 200.408, 61.072, 603.52
351.020467, 263.84, 30.5017, 202.104, 61.736, 601.16
377.910846, 264.52, 30.5803, 200.056, 64.464, 600.48
485.411215, 297.072, 34.3436, 232.248, 64.824, 567.928
505.207901, 323.232, 37.3679, 253.968, 69.264, 541.768
522.500683, 355.712, 41.1228, 277.104, 78.608, 509.288
541.965155, 418.176, 48.344, 329.072, 89.104, 446.824
560.700259, 438.504, 50.6941, 343.432, 95.072, 426.496
578.627516, 461.072, 53.3031, 356.784, 104.288, 403.928
586.069485, 463.144, 53.5427, 356.688, 106.456, 401.856
614.124870, 465.76, 53.8451, 358.872, 106.888, 399.24
632.086481, 467.904, 54.0929, 359.176, 108.728, 397.096
665.101431, 469.752, 54.3066, 359.68, 110.072, 395.248
