Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
9.343322, 175.128, 15.9207, 155.352, 19.776, 924.872
13.046060, 179.696, 16.336, 159.232, 20.464, 920.304
24.626489, 210.448, 19.1316, 190.768, 19.68, 889.552
40.690211, 287.672, 26.152, 260.688, 26.984, 812.328
56.691784, 306.336, 27.8487, 274.968, 31.368, 793.664
62.634612, 310.208, 28.2007, 278.928, 31.28, 789.792
68.677902, 327.304, 29.7549, 295.952, 31.352, 772.696
89.126213, 359.416, 32.6742, 324.352, 35.064, 740.584
105.560366, 362.784, 32.9804, 327.664, 35.12, 737.216
112.397367, 362.712, 32.9738, 327.104, 35.608, 737.288
148.379873, 444.056, 40.3687, 399.696, 44.36, 655.944
179.507206, 578.456, 52.5869, 519.256, 59.2, 521.544
195.990364, 673.2, 61.2, 605.584, 67.616, 426.8
222.425800, 871.792, 79.2538, 793.104, 78.688, 228.208
239.468293, 887.608, 80.6916, 802.208, 85.4, 212.392
258.043347, 937.944, 85.2676, 845.392, 92.552, 162.056
278.697652, 1008.84, 91.7127, 907.064, 101.776, 91.16
291.442001, 1010.72, 91.8836, 908.512, 102.208, 89.28
315.827892, 1011.76, 91.9782, 906.872, 104.888, 88.24
349.067996, 1017.14, 92.4669, 909.448, 107.688, 82.864
407.619563, 1024.11, 93.1011, 910.096, 114.016, 75.888
464.416715, 1023.5, 93.0451, 910.752, 112.744, 76.504
487.378368, 1025.02, 93.184, 912.816, 112.208, 74.976
533.494110, 1026.94, 93.3585, 914.552, 112.392, 73.056
570.951962, 1027.41, 93.4007, 911.72, 115.688, 72.592
626.915202, 1027.15, 93.3775, 915.048, 112.104, 72.848
696.523206, 1029.04, 93.5491, 918.04, 111, 70.96
724.660971, 1029.52, 93.5927, 917.208, 112.312, 70.48
758.346637, 1028.68, 93.5164, 913.44, 115.24, 71.32
789.043392, 1028.79, 93.5265, 914.4, 114.392, 71.208
822.503711, 1028.18, 93.4713, 910.92, 117.264, 71.816
850.265789, 1025.96, 93.2691, 906.208, 119.752, 74.04
889.699428, 1029.44, 93.5855, 911.232, 118.208, 70.56
917.848588, 1030.52, 93.6836, 912.04, 118.48, 69.48
990.039120, 1030.85, 93.7135, 910.088, 120.76, 69.152
1026.561514, 1031.09, 93.7353, 911.048, 120.04, 68.912
1083.381600, 1030.84, 93.7127, 913.504, 117.336, 69.16
