Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
1.005000000, 171.664, 10.5477, 154.32, 17.344, 1455.84
9.300000000, 176.448, 10.8417, 159, 17.448, 1451.05
15.930000000, 177.824, 10.9262, 160.408, 17.416, 1449.68
21.220000000, 178.64, 10.9763, 161.352, 17.288, 1448.86
26.385000000, 182.832, 11.2339, 165.52, 17.312, 1444.67
31.745000000, 185.096, 11.373, 167.776, 17.32, 1442.4
35.835000000, 185.712, 11.4109, 168.36, 17.352, 1441.79
40.125000000, 185.744, 11.4128, 168.608, 17.136, 1441.76
45.355000000, 185.784, 11.4153, 168.648, 17.136, 1441.72
52.525000000, 203.952, 12.5316, 183.736, 20.216, 1423.55
60.160000000, 224.184, 13.7747, 200.832, 23.352, 1403.32
64.595000000, 224.336, 13.7841, 200.936, 23.4, 1403.16
69.095000000, 224.56, 13.7978, 201.12, 23.44, 1402.94
75.990000000, 229.664, 14.1115, 205.056, 24.608, 1397.84
80.415000000, 231.528, 14.226, 206.032, 25.496, 1395.97
87.975000000, 258.208, 15.8653, 226.696, 31.512, 1369.29
94.080000000, 260.592, 16.0118, 227.296, 33.296, 1366.91
98.245000000, 260.936, 16.0329, 227.224, 33.712, 1366.56
102.405000000, 262.144, 16.1072, 227.216, 34.928, 1365.36
108.700000000, 265.992, 16.3436, 230.528, 35.464, 1361.51
113.140000000, 270.512, 16.6213, 233.696, 36.816, 1356.99
119.105000000, 271.008, 16.6518, 234.04, 36.968, 1356.49
124.270000000, 271.008, 16.6518, 234.04, 36.968, 1356.49
132.105000000, 271.432, 16.6778, 235.064, 36.368, 1356.07
137.305000000, 271.432, 16.6778, 235.064, 36.368, 1356.07
145.005000000, 273.544, 16.8076, 235.504, 38.04, 1353.96
150.840000000, 273.64, 16.8135, 235.168, 38.472, 1353.86
158.875000000, 273.888, 16.8288, 235.416, 38.472, 1353.61
164.265000000, 273.896, 16.8292, 235.464, 38.432, 1353.6
171.160000000, 273.992, 16.8351, 235.552, 38.44, 1353.51
175.315000000, 273.992, 16.8351, 235.496, 38.496, 1353.51
180.885000000, 274.504, 16.8666, 236.016, 38.488, 1353
186.920000000, 281.184, 17.2771, 241.52, 39.664, 1346.32
194.750000000, 282.176, 17.338, 242.16, 40.016, 1345.32
199.250000000, 282.176, 17.338, 242.224, 39.952, 1345.32
206.145000000, 282.184, 17.3385, 242.232, 39.952, 1345.32
212.055000000, 282.32, 17.3469, 242.496, 39.824, 1345.18
219.485000000, 287.216, 17.6477, 246.352, 40.864, 1340.28
224.055000000, 287.216, 17.6477, 246.688, 40.528, 1340.28
230.885000000, 287.216, 17.6477, 246.664, 40.552, 1340.28
236.245000000, 288.976, 17.7558, 246.936, 42.04, 1338.52
243.405000000, 289.16, 17.7671, 247.84, 41.32, 1338.34
249.700000000, 289.16, 17.7671, 247.88, 41.28, 1338.34
254.450000000, 289.168, 17.7676, 247.8, 41.368, 1338.33
261.145000000, 289.168, 17.7676, 247.008, 42.16, 1338.33
267.780000000, 289.192, 17.7691, 246.96, 42.232, 1338.31
273.410000000, 289.192, 17.7691, 246.968, 42.224, 1338.31
281.310000000, 289.192, 17.7691, 246.584, 42.608, 1338.31
287.210000000, 289.16, 17.7671, 246.624, 42.536, 1338.34
293.580000000, 289.16, 17.7671, 246.48, 42.68, 1338.34
297.940000000, 295.92, 18.1825, 250.888, 45.032, 1331.58
304.315000000, 297.504, 18.2798, 251.528, 45.976, 1330
310.880000000, 297.896, 18.3039, 254.688, 43.208, 1329.6
317.645000000, 299.512, 18.4032, 255.792, 43.72, 1327.99
323.940000000, 299.512, 18.4032, 255.912, 43.6, 1327.99
328.100000000, 299.512, 18.4032, 256.192, 43.32, 1327.99
332.530000000, 299.512, 18.4032, 256.248, 43.264, 1327.99
339.380000000, 299.608, 18.4091, 255.288, 44.32, 1327.89
348.010000000, 299.96, 18.4307, 255.608, 44.352, 1327.54
355.800000000, 299.96, 18.4307, 255.696, 44.264, 1327.54
363.960000000, 303.808, 18.6672, 258.896, 44.912, 1323.69
368.320000000, 304.04, 18.6814, 258.84, 45.2, 1323.46
375.355000000, 313.192, 19.2437, 266.624, 46.568, 1314.31
382.655000000, 322.656, 19.8253, 271.056, 51.6, 1304.84
386.815000000, 346.112, 21.2665, 290.296, 55.816, 1281.39
393.510000000, 349.52, 21.4759, 292.472, 57.048, 1277.98
397.735000000, 359.32, 22.078, 301.12, 58.2, 1268.18
405.770000000, 370.992, 22.7952, 309.44, 61.552, 1256.51
413.810000000, 371.288, 22.8134, 309.472, 61.816, 1256.21
427.235000000, 385.688, 23.6982, 319.88, 65.808, 1241.81
432.080000000, 386.344, 23.7385, 318.792, 67.552, 1241.16
439.175000000, 419.04, 25.7475, 345.536, 73.504, 1208.46
444.600000000, 439.032, 26.9759, 361.032, 78, 1188.47
450.225000000, 460.216, 28.2775, 378.576, 81.64, 1167.28
454.455000000, 471.352, 28.9617, 388.464, 82.888, 1156.15
461.685000000, 478.688, 29.4125, 394.256, 84.432, 1148.81
466.785000000, 479.056, 29.4351, 392.52, 86.536, 1148.44
471.695000000, 479.632, 29.4705, 392.464, 87.168, 1147.87
478.870000000, 481.872, 29.6081, 395.104, 86.768, 1145.63
482.970000000, 481.944, 29.6125, 395.216, 86.728, 1145.56
488.070000000, 482.44, 29.643, 395.408, 87.032, 1145.06
493.380000000, 482.912, 29.672, 397.776, 85.136, 1144.59
507.540000000, 484.536, 29.7718, 397.608, 86.928, 1142.96
512.110000000, 491.728, 30.2137, 402.864, 88.864, 1135.77
517.345000000, 498.336, 30.6197, 406.592, 91.744, 1129.16
521.505000000, 499.744, 30.7062, 407.488, 92.256, 1127.76
529.345000000, 522.92, 32.1303, 429.2, 93.72, 1104.58
537.215000000, 523.28, 32.1524, 428.832, 94.448, 1104.22
548.585000000, 545.832, 33.5381, 446.896, 98.936, 1081.67
553.485000000, 569.472, 34.9906, 466.744, 102.728, 1058.03
558.250000000, 573.872, 35.261, 470.224, 103.648, 1053.63
561.980000000, 578.184, 35.5259, 474.12, 104.064, 1049.32
567.880000000, 581.952, 35.7574, 477.688, 104.264, 1045.55
573.715000000, 582.32, 35.78, 477.448, 104.872, 1045.18
579.165000000, 582.408, 35.7854, 477.352, 105.056, 1045.09
587.065000000, 582.952, 35.8189, 477.832, 105.12, 1044.55
595.035000000, 595.888, 36.6137, 488.96, 106.928, 1031.61
600.530000000, 601.64, 36.9671, 494.296, 107.344, 1025.86
608.295000000, 606.744, 37.2807, 498.864, 107.88, 1020.76
612.385000000, 606.776, 37.2827, 498.32, 108.456, 1020.72
620.025000000, 621.016, 38.1577, 511.736, 109.28, 1006.48
627.185000000, 652.904, 40.117, 535.736, 117.168, 974.596
634.885000000, 654.04, 40.1868, 536.528, 117.512, 973.46
643.120000000, 654.04, 40.1868, 535.928, 118.112, 973.46
648.750000000, 654.04, 40.1868, 535.68, 118.36, 973.46
656.645000000, 654.04, 40.1868, 535.664, 118.376, 973.46
663.805000000, 654.04, 40.1868, 535.44, 118.6, 973.46
670.365000000, 654.04, 40.1868, 535.752, 118.288, 973.46
674.625000000, 654.04, 40.1868, 537.696, 116.344, 973.46
682.455000000, 654.264, 40.2006, 536.728, 117.536, 973.236
686.700000000, 654.44, 40.2114, 537.264, 117.176, 973.06
690.730000000, 654.712, 40.2281, 536.688, 118.024, 972.788
694.900000000, 654.712, 40.2281, 536.096, 118.616, 972.788
701.995000000, 654.744, 40.23, 534.696, 120.048, 972.756
708.825000000, 654.744, 40.23, 534.528, 120.216, 972.756
715.795000000, 654.744, 40.23, 535.136, 119.608, 972.756
720.155000000, 654.744, 40.23, 535.488, 119.256, 972.756
726.050000000, 656.2, 40.3195, 534.512, 121.688, 971.3
732.945000000, 656.688, 40.3495, 534.904, 121.784, 970.812
737.435000000, 659.168, 40.5019, 535.04, 124.128, 968.332
745.665000000, 722.4, 44.3871, 591.016, 131.384, 905.1
750.765000000, 738.192, 45.3574, 604.456, 133.736, 889.308
757.255000000, 746.76, 45.8839, 612.048, 134.712, 880.74
762.085000000, 747.304, 45.9173, 613.016, 134.288, 880.196
767.585000000, 750.064, 46.0869, 614.24, 135.824, 877.436
771.875000000, 751.152, 46.1537, 614.128, 137.024, 876.348
775.835000000, 752.888, 46.2604, 615.056, 137.832, 874.612
783.205000000, 757.32, 46.5327, 616.72, 140.6, 870.18
787.430000000, 757.32, 46.5327, 616.712, 140.608, 870.18
795.130000000, 758.776, 46.6222, 618.168, 140.608, 868.724
803.310000000, 759.08, 46.6409, 617.608, 141.472, 868.42
808.015000000, 759.304, 46.6546, 617.672, 141.632, 868.196
813.775000000, 759.536, 46.6689, 617.4, 142.136, 867.964
817.870000000, 760.952, 46.7559, 618.568, 142.384, 866.548
822.365000000, 771.056, 47.3767, 626.76, 144.296, 856.444
827.730000000, 793.2, 48.7373, 646.856, 146.344, 834.3
833.625000000, 809.688, 49.7504, 661.416, 148.272, 817.812
841.055000000, 833.216, 51.1961, 681.224, 151.992, 794.284
848.820000000, 833.968, 51.2423, 680.904, 153.064, 793.532
857.405000000, 859.232, 52.7946, 702.032, 157.2, 768.268
861.665000000, 862.92, 53.0212, 705.824, 157.096, 764.58
865.890000000, 863.8, 53.0753, 706.368, 157.432, 763.7
869.985000000, 867.376, 53.295, 709.672, 157.704, 760.124
874.410000000, 876.216, 53.8382, 717.704, 158.512, 751.284
878.705000000, 888.072, 54.5666, 728.64, 159.432, 739.428
883.070000000, 905.368, 55.6294, 744.544, 160.824, 722.132
890.905000000, 948.84, 58.3005, 782.008, 166.832, 678.66
897.280000000, 956.6, 58.7773, 785.856, 170.744, 670.9
905.045000000, 977.456, 60.0587, 801.288, 176.168, 650.044
911.620000000, 978.808, 60.1418, 802.512, 176.296, 648.692
915.775000000, 978.832, 60.1433, 800.6, 178.232, 648.668
920.745000000, 978.832, 60.1433, 800.248, 178.584, 648.668
926.470000000, 982.704, 60.3812, 805.576, 177.128, 644.796
930.760000000, 983.04, 60.4018, 806.472, 176.568, 644.46
935.785000000, 983.04, 60.4018, 805.832, 177.208, 644.46
939.880000000, 983.04, 60.4018, 805.936, 177.104, 644.46
947.445000000, 983.96, 60.4584, 805.512, 178.448, 643.54
951.540000000, 984.176, 60.4716, 805.84, 178.336, 643.324
955.695000000, 984.352, 60.4825, 805.728, 178.624, 643.148
960.160000000, 984.48, 60.4903, 805.864, 178.616, 643.02
964.995000000, 984.48, 60.4903, 806.712, 177.768, 643.02
970.960000000, 985.448, 60.5498, 808.048, 177.4, 642.052
976.590000000, 985.528, 60.5547, 808.04, 177.488, 641.972
985.020000000, 985.672, 60.5636, 808.232, 177.44, 641.828
992.470000000, 986.024, 60.5852, 809.384, 176.64, 641.476
997.705000000, 986.416, 60.6093, 809.144, 177.272, 641.084
1004.130000000, 986.416, 60.6093, 809.16, 177.256, 641.084
1009.960000000, 986.416, 60.6093, 809.144, 177.272, 641.084
1014.930000000, 986.416, 60.6093, 809.12, 177.296, 641.084
1022.360000000, 987.448, 60.6727, 808.232, 179.216, 640.052
1029.995000000, 987.448, 60.6727, 807.424, 180.024, 640.052
1037.965000000, 992.016, 60.9534, 811.816, 180.2, 635.484
1042.060000000, 996, 61.1982, 814.264, 181.736, 631.5
1049.550000000, 1002.89, 61.6214, 820.08, 182.808, 624.612
1056.585000000, 1002.89, 61.6214, 820.544, 182.344, 624.612
1062.815000000, 1010.31, 62.0775, 825.24, 185.072, 617.188
1068.520000000, 1016.35, 62.4487, 829.08, 187.272, 611.148
1073.945000000, 1016.35, 62.4487, 828.952, 187.4, 611.148
1081.840000000, 1016.35, 62.4487, 829.288, 187.064, 611.148
1089.740000000, 1016.9, 62.4821, 830.28, 186.616, 610.604
1097.975000000, 1020.47, 62.7018, 832.728, 187.744, 607.028
1102.130000000, 1020.78, 62.7205, 834.608, 186.168, 606.724
1110.100000000, 1020.78, 62.721, 831.792, 188.992, 606.716
1116.905000000, 1020.78, 62.721, 832.576, 188.208, 606.716
1124.205000000, 1020.78, 62.721, 833.816, 186.968, 606.716
1130.835000000, 1020.85, 62.7249, 833.384, 187.464, 606.652
1135.635000000, 1020.85, 62.7249, 833.328, 187.52, 606.652
1141.270000000, 1021.23, 62.7485, 833.848, 187.384, 606.268
1145.695000000, 1021.23, 62.7485, 833.808, 187.424, 606.268
1151.655000000, 1021.99, 62.7952, 834.496, 187.496, 605.508
1156.160000000, 1021.99, 62.7952, 833.664, 188.328, 605.508
1162.925000000, 1022.22, 62.809, 833.728, 188.488, 605.284
1167.685000000, 1022.22, 62.809, 833.744, 188.472, 605.284
1176.450000000, 1022.33, 62.8159, 834.328, 188, 605.172
1183.025000000, 1023.39, 62.8812, 835.072, 188.32, 604.108
1188.385000000, 1023.39, 62.8812, 835.24, 188.152, 604.108
