Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
1.007000000, 106.912, 13.3975, 85.96, 20.952, 691.088
5.686000000, 109.928, 13.7754, 86.888, 23.04, 688.072
9.298000000, 110.168, 13.8055, 86.68, 23.488, 687.832
12.910000000, 111.312, 13.9489, 86.936, 24.376, 686.688
16.522000000, 114.728, 14.3769, 88.888, 25.84, 683.272
21.801000000, 150.672, 18.8812, 117.576, 33.096, 647.328
25.346000000, 163.312, 20.4652, 129.104, 34.208, 634.688
32.165000000, 203.6, 25.5138, 161.368, 42.232, 594.4
37.799000000, 206.664, 25.8977, 162.08, 44.584, 591.336
44.342000000, 250.208, 31.3544, 197.376, 52.832, 547.792
49.888000000, 267.152, 33.4777, 211.08, 56.072, 530.848
56.301000000, 286.464, 35.8977, 226.44, 60.024, 511.536
61.753000000, 300.344, 37.6371, 236.024, 64.32, 497.656
68.165000000, 302.912, 37.9589, 237.224, 65.688, 495.088
72.471000000, 313.856, 39.3303, 248.072, 65.784, 484.144
76.883000000, 333.16, 41.7494, 265.072, 68.088, 464.84
80.632000000, 351.552, 44.0541, 280.376, 71.176, 446.448
84.315000000, 366.136, 45.8817, 292.096, 74.04, 431.864
90.065000000, 389.464, 48.805, 310.824, 78.64, 408.536
95.213000000, 404.32, 50.6667, 322.784, 81.536, 393.68
99.294000000, 413.584, 51.8276, 330.768, 82.816, 384.416
103.576000000, 421.936, 52.8742, 336.776, 85.16, 376.064
109.526000000, 425.056, 53.2652, 340.8, 84.256, 372.944
113.541000000, 430.784, 53.983, 345.248, 85.536, 367.216
119.501000000, 439.944, 55.1308, 349.68, 90.264, 358.056
123.046000000, 441.944, 55.3815, 351.304, 90.64, 356.056
128.392000000, 445.456, 55.8216, 353.64, 91.816, 352.544
132.403000000, 446.792, 55.989, 355.184, 91.608, 351.208
136.615000000, 449.448, 56.3218, 356.968, 92.48, 348.552
142.961000000, 450.552, 56.4602, 357.256, 93.296, 347.448
147.645000000, 450.808, 56.4922, 357.512, 93.296, 347.192
151.123000000, 451.712, 56.6055, 357.848, 93.864, 346.288
155.605000000, 453.768, 56.8632, 359.064, 94.704, 344.232
159.885000000, 456.008, 57.1439, 360.536, 95.472, 341.992
163.432000000, 458.552, 57.4627, 363.4, 95.152, 339.448
166.981000000, 459.144, 57.5368, 364.072, 95.072, 338.856
173.328000000, 462.52, 57.9599, 367.264, 95.256, 335.48
177.745000000, 463.52, 58.0852, 367.88, 95.64, 334.48
182.297000000, 463.736, 58.1123, 367.944, 95.792, 334.264
186.276000000, 464.352, 58.1895, 368.656, 95.696, 333.648
190.328000000, 465.432, 58.3248, 369.328, 96.104, 332.568
196.744000000, 473.416, 59.3253, 375.92, 97.496, 324.584
201.157000000, 474.224, 59.4266, 376.28, 97.944, 323.776
206.770000000, 474.912, 59.5128, 376.336, 98.576, 323.088
212.865000000, 476.04, 59.6541, 376.824, 99.216, 321.96
218.010000000, 476.32, 59.6892, 377.92, 98.4, 321.68
221.422000000, 476.544, 59.7173, 378.248, 98.296, 321.456
224.969000000, 476.552, 59.7183, 378.144, 98.408, 321.448
229.318000000, 476.664, 59.7323, 378.024, 98.64, 321.336
234.000000000, 477.296, 59.8115, 378.288, 99.008, 320.704
237.944000000, 477.424, 59.8276, 378.592, 98.832, 320.576
243.895000000, 477.736, 59.8667, 378.144, 99.592, 320.264
250.650000000, 531.688, 66.6276, 424.8, 106.888, 266.312
255.594000000, 550.648, 69.0035, 440.232, 110.416, 247.352
261.608000000, 566.024, 70.9303, 449.84, 116.184, 231.976
266.555000000, 566.272, 70.9614, 449.536, 116.736, 231.728
272.234000000, 571.128, 71.5699, 452.888, 118.24, 226.872
278.051000000, 576.264, 72.2135, 457.368, 118.896, 221.736
284.196000000, 580.968, 72.803, 460.4, 120.568, 217.032
289.341000000, 587.064, 73.5669, 464.488, 122.576, 210.936
292.755000000, 587.576, 73.6311, 465.584, 121.992, 210.424
299.570000000, 589.024, 73.8125, 467.168, 121.856, 208.976
304.453000000, 589.616, 73.8867, 467.608, 122.008, 208.384
310.398000000, 606.736, 76.0321, 481.256, 125.48, 191.264
314.812000000, 607.56, 76.1353, 481.864, 125.696, 190.44
321.629000000, 613.208, 76.8431, 486.96, 126.248, 184.792
327.090000000, 614.976, 77.0647, 488.872, 126.104, 183.024
330.771000000, 615.176, 77.0897, 489.712, 125.464, 182.824
334.185000000, 615.152, 77.0867, 489.912, 125.24, 182.848
340.197000000, 633.016, 79.3253, 501.648, 131.368, 164.984
346.211000000, 637.168, 79.8456, 503.84, 133.328, 160.832
349.961000000, 637.168, 79.8456, 504.584, 132.584, 160.832
353.975000000, 637.48, 79.8847, 504.672, 132.808, 160.52
359.122000000, 640.864, 80.3088, 505.368, 135.496, 157.136
364.950000000, 642.336, 80.4932, 505.744, 136.592, 155.664
371.530000000, 642.544, 80.5193, 506.048, 136.496, 155.456
377.030000000, 642.616, 80.5283, 505.872, 136.744, 155.384
382.974000000, 642.624, 80.5293, 505.856, 136.768, 155.376
386.454000000, 643.504, 80.6396, 506.864, 136.64, 154.496
390.935000000, 643.544, 80.6446, 506.824, 136.72, 154.456
396.883000000, 644.128, 80.7178, 507.008, 137.12, 153.872
402.500000000, 644.08, 80.7118, 508.152, 135.928, 153.92
406.310000000, 644.168, 80.7228, 508.328, 135.84, 153.832
413.261000000, 644.56, 80.7719, 509.904, 134.656, 153.44
418.077000000, 644.648, 80.783, 510.664, 133.984, 153.352
422.964000000, 645.12, 80.8421, 511.512, 133.608, 152.88
427.780000000, 645.272, 80.8612, 511.936, 133.336, 152.728
433.401000000, 645.312, 80.8662, 512.144, 133.168, 152.688
439.013000000, 645.416, 80.8792, 512.296, 133.12, 152.584
445.495000000, 646.088, 80.9634, 512.472, 133.616, 151.912
450.507000000, 646.24, 80.9825, 512.984, 133.256, 151.76
454.695000000, 646.52, 81.0175, 514.128, 132.392, 151.48
461.176000000, 649.4, 81.3784, 515.832, 133.568, 148.6
465.786000000, 650.28, 81.4887, 516.376, 133.904, 147.72
470.931000000, 650.6, 81.5288, 516.704, 133.896, 147.4
477.677000000, 650.552, 81.5228, 516.472, 134.08, 147.448
484.155000000, 650.912, 81.5679, 516.64, 134.272, 147.088
489.436000000, 651.472, 81.6381, 517.152, 134.32, 146.528
493.649000000, 651.68, 81.6642, 517.832, 133.848, 146.32
499.597000000, 651.744, 81.6722, 517.8, 133.944, 146.256
506.344000000, 651.904, 81.6922, 517.992, 133.912, 146.096
512.823000000, 652.616, 81.7815, 518.736, 133.88, 145.384
519.569000000, 653.368, 81.8757, 519.528, 133.84, 144.632
