Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
1.007000000, 126.192, 24.7435, 110.256, 15.936, 383.808
7.019000000, 138.624, 27.1812, 119.384, 19.24, 371.376
11.165000000, 139.48, 27.349, 119.64, 19.84, 370.52
16.647000000, 147.44, 28.9098, 123.112, 24.328, 362.56
23.534000000, 169.104, 33.1576, 141.664, 27.44, 340.896
29.500000000, 189.272, 37.1122, 158.88, 30.392, 320.728
34.716000000, 189.968, 37.2486, 159.832, 30.136, 320.032
39.685000000, 190.128, 37.28, 160.688, 29.44, 319.872
44.563000000, 190.344, 37.3224, 160.576, 29.768, 319.656
48.978000000, 190.704, 37.3929, 160.904, 29.8, 319.296
54.322000000, 191.36, 37.5216, 161.04, 30.32, 318.64
58.467000000, 191.36, 37.5216, 162.448, 28.912, 318.64
64.105000000, 204.28, 40.0549, 174.568, 29.712, 305.72
68.455000000, 214.16, 41.9922, 183.48, 30.68, 295.84
73.398000000, 231.544, 45.4008, 199.616, 31.928, 278.456
77.812000000, 259.152, 50.8141, 224.016, 35.136, 250.848
83.023000000, 284.536, 55.7914, 245.024, 39.512, 225.464
88.638000000, 285.448, 55.9702, 245.08, 40.368, 224.552
93.648000000, 285.472, 55.9749, 244.92, 40.552, 224.528
97.994000000, 285.784, 56.0361, 245.208, 40.576, 224.216
102.408000000, 295.216, 57.8855, 253.952, 41.264, 214.784
108.885000000, 298.328, 58.4957, 256.304, 42.024, 211.672
114.175000000, 300.56, 58.9333, 258.488, 42.072, 209.44
120.119000000, 302.944, 59.4008, 260.768, 42.176, 207.056
125.335000000, 311.496, 61.0776, 268.672, 42.824, 198.504
130.678000000, 311.68, 61.1137, 269.032, 42.648, 198.32
135.091000000, 316.648, 62.0878, 273.472, 43.176, 193.352
140.771000000, 317.08, 62.1725, 273.96, 43.12, 192.92
145.649000000, 317.2, 62.1961, 274.024, 43.176, 192.8
151.727000000, 319.992, 62.7435, 276.6, 43.392, 190.008
157.276000000, 326.6, 64.0392, 281.624, 44.976, 183.4
162.354000000, 327.816, 64.2776, 282.84, 44.976, 182.184
168.234000000, 335.488, 65.782, 289.776, 45.712, 174.512
174.645000000, 353.656, 69.3443, 305.544, 48.112, 156.344
