Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
1.005000000, 123.104, 8.54889, 107.552, 15.552, 1316.9
5.840000000, 124.408, 8.63944, 108.648, 15.76, 1315.59
13.010000000, 135.128, 9.38389, 118.352, 16.776, 1304.87
18.305000000, 142.984, 9.92944, 125.4, 17.584, 1297.02
24.745000000, 152.2, 10.5694, 133.76, 18.44, 1287.8
31.530000000, 191.552, 13.3022, 168.648, 22.904, 1248.45
39.225000000, 202.856, 14.0872, 178.792, 24.064, 1237.14
47.990000000, 226.136, 15.7039, 200.12, 26.016, 1213.86
53.480000000, 229.024, 15.9044, 202.4, 26.624, 1210.98
60.910000000, 231.456, 16.0733, 204.8, 26.656, 1208.54
69.610000000, 263.56, 18.3028, 233.776, 29.784, 1176.44
74.245000000, 275.352, 19.1217, 244.12, 31.232, 1164.65
81.075000000, 290.784, 20.1933, 257.672, 33.112, 1149.22
86.175000000, 293.352, 20.3717, 260.256, 33.096, 1146.65
93.410000000, 297.008, 20.6256, 263.784, 33.224, 1142.99
98.845000000, 297.656, 20.6706, 264.48, 33.176, 1142.34
106.950000000, 299.408, 20.7922, 265.936, 33.472, 1140.59
115.915000000, 316.136, 21.9539, 280.872, 35.264, 1123.86
120.405000000, 316.808, 22.0006, 281.368, 35.44, 1123.19
125.370000000, 317.304, 22.035, 281.872, 35.432, 1122.7
132.735000000, 318.808, 22.1394, 283.328, 35.48, 1121.19
141.815000000, 320.896, 22.2844, 285.512, 35.384, 1119.1
149.375000000, 323.408, 22.4589, 288.12, 35.288, 1116.59
154.210000000, 324.672, 22.5467, 289.4, 35.272, 1115.33
161.175000000, 326.536, 22.6761, 291.264, 35.272, 1113.46
169.650000000, 330.936, 22.9817, 295.632, 35.304, 1109.06
178.885000000, 334.056, 23.1983, 298.832, 35.224, 1105.94
185.440000000, 347.384, 24.1239, 311.32, 36.064, 1092.62
192.200000000, 359.664, 24.9767, 322.408, 37.256, 1080.34
198.295000000, 360.4, 25.0278, 323.136, 37.264, 1079.6
204.255000000, 360.472, 25.0328, 323.192, 37.28, 1079.53
210.815000000, 360.704, 25.0489, 323.472, 37.232, 1079.3
219.445000000, 364.352, 25.3022, 326.744, 37.608, 1075.65
228.480000000, 367.544, 25.5239, 329.664, 37.88, 1072.46
233.780000000, 367.56, 25.525, 329.68, 37.88, 1072.44
241.075000000, 383.704, 26.6461, 344.656, 39.048, 1056.3
249.570000000, 388.648, 26.9894, 348.656, 39.992, 1051.35
256.870000000, 415.408, 28.8478, 373.136, 42.272, 1024.59
261.365000000, 431.056, 29.9344, 387.328, 43.728, 1008.94
266.335000000, 451.44, 31.35, 406.136, 45.304, 988.56
273.505000000, 459.24, 31.8917, 412.792, 46.448, 980.76
279.045000000, 459.496, 31.9094, 412.928, 46.568, 980.504
284.945000000, 469.856, 32.6289, 422.992, 46.864, 970.144
290.175000000, 498.552, 34.6217, 448.824, 49.728, 941.448
295.270000000, 504.096, 35.0067, 453.592, 50.504, 935.904
299.835000000, 505.52, 35.1056, 454.944, 50.576, 934.48
305.130000000, 527.656, 36.6428, 475.216, 52.44, 912.344
310.365000000, 551.328, 38.2867, 496.736, 54.592, 888.672
313.355000000, 558.384, 38.7767, 503.464, 54.92, 881.616
318.450000000, 561.408, 38.9867, 506.216, 55.192, 878.592
326.485000000, 565.952, 39.3022, 510.176, 55.776, 874.048
