Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
1.007000000, 70.28, 8.12486, 56.672, 13.608, 794.72
7.755000000, 80.488, 9.30497, 65.496, 14.992, 784.512
11.699000000, 82.936, 9.58798, 67.168, 15.768, 782.064
18.176000000, 87.552, 10.1216, 70.416, 17.136, 777.448
24.991000000, 93.976, 10.8643, 77.232, 16.744, 771.024
31.671000000, 110.16, 12.7353, 88.4, 21.76, 754.84
35.434000000, 113.28, 13.096, 90.296, 22.984, 751.72
40.776000000, 115.608, 13.3651, 91.088, 24.52, 749.392
47.188000000, 118.808, 13.735, 88.088, 30.72, 746.192
53.000000000, 119.936, 13.8654, 89.304, 30.632, 745.064
57.350000000, 120.312, 13.9089, 91.192, 29.12, 744.688
61.570000000, 120.312, 13.9089, 91.288, 29.024, 744.688
67.124000000, 120.312, 13.9089, 90.264, 30.048, 744.688
73.608000000, 120.312, 13.9089, 90.632, 29.68, 744.688
79.090000000, 120.688, 13.9524, 90.496, 30.192, 744.312
93.101000000, 122.56, 14.1688, 91.24, 31.32, 742.44
96.779000000, 122.56, 14.1688, 91.08, 31.48, 742.44
102.991000000, 126.584, 14.634, 93.272, 33.312, 738.416
109.539000000, 132, 15.2601, 97.6, 34.4, 733
115.217000000, 135.36, 15.6486, 100.512, 34.848, 729.64
118.837000000, 145.352, 16.8037, 108.888, 36.464, 719.648
125.983000000, 150.016, 17.3429, 113.36, 36.656, 714.984
131.729000000, 165.264, 19.1057, 124.984, 40.28, 699.736
138.481000000, 185.336, 21.4261, 138.944, 46.392, 679.664
144.960000000, 186.856, 21.6018, 138.768, 48.088, 678.144
149.905000000, 188.464, 21.7877, 138.68, 49.784, 676.536
153.388000000, 192.68, 22.2751, 142.904, 49.776, 672.32
160.075000000, 199.44, 23.0566, 147.144, 52.296, 665.56
163.554000000, 199.472, 23.0603, 148.264, 51.208, 665.528
169.500000000, 229.168, 26.4934, 171.248, 57.92, 635.832
175.117000000, 232.416, 26.8689, 171.792, 60.624, 632.584
181.263000000, 233.856, 27.0354, 171.376, 62.48, 631.144
188.613000000, 245.784, 28.4143, 180.368, 65.416, 619.216
193.757000000, 245.784, 28.4143, 180.064, 65.72, 619.216
199.037000000, 245.784, 28.4143, 180.032, 65.752, 619.216
204.450000000, 246.16, 28.4578, 179.976, 66.184, 618.84
208.065000000, 246.504, 28.4976, 179.472, 67.032, 618.496
213.752000000, 270.136, 31.2296, 198.368, 71.768, 594.864
218.634000000, 274.664, 31.7531, 200.336, 74.328, 590.336
224.577000000, 282.76, 32.689, 205.768, 76.992, 582.24
229.457000000, 289.904, 33.5149, 208.368, 81.536, 575.096
234.875000000, 290.048, 33.5316, 207.768, 82.28, 574.952
240.888000000, 291.608, 33.7119, 209.624, 81.984, 573.392
244.698000000, 291.736, 33.7267, 209.576, 82.16, 573.264
249.180000000, 292.128, 33.772, 209.608, 82.52, 572.872
256.329000000, 311.608, 36.024, 224.28, 87.328, 553.392
260.473000000, 317.008, 36.6483, 228.04, 88.968, 547.992
264.150000000, 322.12, 37.2393, 232.16, 89.96, 542.88
268.900000000, 329.264, 38.0652, 237.648, 91.616, 535.736
272.798000000, 336.856, 38.9429, 243.056, 93.8, 528.144
276.477000000, 343.816, 39.7475, 248.4, 95.416, 521.184
280.915000000, 343.888, 39.7558, 248.392, 95.496, 521.112
286.260000000, 344.696, 39.8492, 247.928, 96.768, 520.304
290.010000000, 346.312, 40.0361, 249.424, 96.888, 518.688
295.322000000, 346.312, 40.0361, 248.896, 97.416, 518.688
300.870000000, 366.472, 42.3667, 267.704, 98.768, 498.528
305.350000000, 370.696, 42.855, 268.704, 101.992, 494.304
311.430000000, 370.912, 42.88, 267.768, 103.144, 494.088
315.944000000, 370.912, 42.88, 267.784, 103.128, 494.088
319.561000000, 370.936, 42.8828, 267.712, 103.224, 494.064
323.642000000, 371.776, 42.9799, 268.496, 103.28, 493.224
328.212000000, 373.408, 43.1686, 269.96, 103.448, 491.592
335.160000000, 373.416, 43.1695, 270.008, 103.408, 491.584
341.843000000, 373.512, 43.1806, 270.136, 103.376, 491.488
346.989000000, 382.216, 44.1868, 278.544, 103.672, 482.784
352.104000000, 389.904, 45.0756, 285.048, 104.856, 475.096
358.717000000, 392.288, 45.3512, 286.816, 105.472, 472.712
363.596000000, 394.304, 45.5843, 287.864, 106.44, 470.696
370.344000000, 403.816, 46.6839, 296.84, 106.976, 461.184
375.093000000, 422.848, 48.8842, 311.144, 111.704, 442.152
380.909000000, 430.544, 49.7739, 314.088, 116.456, 434.456
387.324000000, 443.512, 51.2731, 326.152, 117.36, 421.488
392.408000000, 457.064, 52.8398, 335.736, 121.328, 407.936
396.754000000, 460.312, 53.2153, 337.4, 122.912, 404.688
400.370000000, 470.656, 54.4111, 345.688, 124.968, 394.344
402.415000000, 470.888, 54.4379, 345.608, 125.28, 394.112
409.226000000, 472.944, 54.6756, 345.416, 127.528, 392.056
413.241000000, 473.072, 54.6904, 345.712, 127.36, 391.928
417.122000000, 473.072, 54.6904, 345.712, 127.36, 391.928
421.607000000, 474.08, 54.8069, 346.136, 127.944, 390.92
426.886000000, 474.28, 54.8301, 346.6, 127.68, 390.72
430.499000000, 474.792, 54.8892, 347.096, 127.696, 390.208
435.575000000, 475.112, 54.9262, 346.888, 128.224, 389.888
440.262000000, 475.256, 54.9429, 346.864, 128.392, 389.744
446.608000000, 476.336, 55.0677, 347.312, 129.024, 388.664
451.821000000, 476.632, 55.102, 348.36, 128.272, 388.368
458.707000000, 483.536, 55.9001, 352.112, 131.424, 381.464
463.185000000, 483.816, 55.9325, 351.952, 131.864, 381.184
468.334000000, 483.816, 55.9325, 351.672, 132.144, 381.184
474.547000000, 495.048, 57.231, 362.008, 133.04, 369.952
479.293000000, 495.824, 57.3207, 361.568, 134.256, 369.176
484.911000000, 498.112, 57.5852, 364.56, 133.552, 366.888
491.257000000, 500.296, 57.8377, 365.672, 134.624, 364.704
497.338000000, 506.632, 58.5702, 370.2, 136.432, 358.368
501.911000000, 506.632, 58.5702, 370.24, 136.392, 358.368
506.058000000, 506.824, 58.5924, 370.816, 136.008, 358.176
511.807000000, 506.824, 58.5924, 370.6, 136.224, 358.176
515.717000000, 507.016, 58.6146, 371.44, 135.576, 357.984
519.264000000, 507.016, 58.6146, 371.624, 135.392, 357.984
525.950000000, 507.192, 58.6349, 371.848, 135.344, 357.808
532.700000000, 507.192, 58.6349, 370.456, 136.736, 357.808
538.913000000, 508.072, 58.7366, 372.072, 136, 356.928
544.476000000, 508.232, 58.7551, 373.384, 134.848, 356.768
547.591000000, 508.232, 58.7551, 372.512, 135.72, 356.768
553.203000000, 508.232, 58.7551, 372.376, 135.856, 356.768
560.217000000, 508.232, 58.7551, 373.12, 135.112, 356.768
567.233000000, 508.272, 58.7598, 373.2, 135.072, 356.728
573.115000000, 508.72, 58.8116, 372.432, 136.288, 356.28
576.360000000, 509.24, 58.8717, 371.328, 137.912, 355.76
581.109000000, 509.344, 58.8837, 372.504, 136.84, 355.656
586.458000000, 509.408, 58.8911, 371.64, 137.768, 355.592
590.005000000, 509.408, 58.8911, 371.848, 137.56, 355.592
593.707000000, 509.408, 58.8911, 371.848, 137.56, 355.592
597.585000000, 509.408, 58.8911, 371.848, 137.56, 355.592
602.742000000, 509.52, 58.904, 372.144, 137.376, 355.48
605.556000000, 509.64, 58.9179, 372.376, 137.264, 355.36
609.122000000, 509.64, 58.9179, 373.552, 136.088, 355.36
614.812000000, 509.64, 58.9179, 373.808, 135.832, 355.36
620.624000000, 509.64, 58.9179, 373.192, 136.448, 355.36
626.372000000, 509.64, 58.9179, 372.664, 136.976, 355.36
628.465000000, 509.64, 58.9179, 372.656, 136.984, 355.36
634.012000000, 509.64, 58.9179, 372.28, 137.36, 355.36
640.490000000, 509.64, 58.9179, 371.984, 137.656, 355.36
644.970000000, 509.64, 58.9179, 372.024, 137.616, 355.36
648.348000000, 509.648, 58.9188, 372.336, 137.312, 355.352
652.827000000, 509.648, 58.9188, 372.832, 136.816, 355.352
656.573000000, 509.648, 58.9188, 372.832, 136.816, 355.352
662.649000000, 509.52, 58.904, 372.232, 137.288, 355.48
667.796000000, 509.52, 58.904, 371.888, 137.632, 355.48
672.780000000, 509.52, 58.904, 371.944, 137.576, 355.48
678.931000000, 510.096, 58.9706, 372.168, 137.928, 354.904
690.476000000, 510.096, 58.9706, 372.504, 137.592, 354.904
694.959000000, 510.096, 58.9706, 372.872, 137.224, 354.904
701.441000000, 512.048, 59.1963, 373.32, 138.728, 352.952
708.587000000, 512.144, 59.2074, 373.576, 138.568, 352.856
712.334000000, 512.144, 59.2074, 372.256, 139.888, 352.856
717.210000000, 512.144, 59.2074, 372.296, 139.848, 352.856
721.557000000, 512.144, 59.2074, 372.32, 139.824, 352.856
727.573000000, 512.176, 59.2111, 372.304, 139.872, 352.824
733.918000000, 512.344, 59.2305, 371.984, 140.36, 352.656
738.535000000, 512.496, 59.2481, 372.224, 140.272, 352.504
744.286000000, 512.536, 59.2527, 372.36, 140.176, 352.464
748.236000000, 512.536, 59.2527, 372.36, 140.176, 352.464
753.446000000, 512.536, 59.2527, 371.936, 140.6, 352.464
758.322000000, 512.536, 59.2527, 373.632, 138.904, 352.464
763.893000000, 512.6, 59.2601, 373.04, 139.56, 352.4
767.971000000, 512.6, 59.2601, 373.6, 139, 352.4
771.915000000, 512.6, 59.2601, 372.936, 139.664, 352.4
776.793000000, 512.6, 59.2601, 373.016, 139.584, 352.4
783.739000000, 512.808, 59.2842, 372.712, 140.096, 352.192
789.488000000, 512.872, 59.2916, 373.736, 139.136, 352.128
796.237000000, 512.872, 59.2916, 373.648, 139.224, 352.128
802.651000000, 512.88, 59.2925, 373.952, 138.928, 352.12
808.469000000, 512.88, 59.2925, 373.944, 138.936, 352.12
815.350000000, 512.88, 59.2925, 374.032, 138.848, 352.12
820.103000000, 512.88, 59.2925, 374.328, 138.552, 352.12
824.119000000, 512.88, 59.2925, 373.2, 139.68, 352.12
828.271000000, 512.88, 59.2925, 373.816, 139.064, 352.12
833.956000000, 512.88, 59.2925, 373.928, 138.952, 352.12
838.841000000, 512.88, 59.2925, 375.4, 137.48, 352.12
854.985000000, 512.88, 59.2925, 374.4, 138.48, 352.12
858.605000000, 512.936, 59.299, 374.24, 138.696, 352.064
862.141000000, 512.952, 59.3008, 374.304, 138.648, 352.048
868.222000000, 512.952, 59.3008, 374.576, 138.376, 352.048
874.438000000, 512.976, 59.3036, 375.256, 137.72, 352.024
877.999000000, 512.976, 59.3036, 372.968, 140.008, 352.024
882.415000000, 512.976, 59.3036, 372.328, 140.648, 352.024
888.294000000, 513.48, 59.3618, 373.104, 140.376, 351.52
894.839000000, 513.976, 59.4192, 373.032, 140.944, 351.024
898.918000000, 513.976, 59.4192, 373.808, 140.168, 351.024
904.533000000, 514.072, 59.4303, 374.088, 139.984, 350.928
909.278000000, 514.16, 59.4405, 374.744, 139.416, 350.84
913.492000000, 514.2, 59.4451, 374.336, 139.864, 350.8
919.441000000, 514.336, 59.4608, 374.256, 140.08, 350.664
924.805000000, 515.12, 59.5514, 372.752, 142.368, 349.88
929.221000000, 515.12, 59.5514, 372.864, 142.256, 349.88
934.532000000, 515.216, 59.5625, 372.968, 142.248, 349.784
940.374000000, 515.232, 59.5644, 372.064, 143.168, 349.768
945.250000000, 515.232, 59.5644, 372.536, 142.696, 349.768
951.395000000, 515.232, 59.5644, 372.928, 142.304, 349.768
957.941000000, 515.232, 59.5644, 372.664, 142.568, 349.768
963.086000000, 515.232, 59.5644, 372.728, 142.504, 349.768
966.964000000, 515.232, 59.5644, 374.52, 140.712, 349.768
970.641000000, 515.232, 59.5644, 372.912, 142.32, 349.768
976.723000000, 515.288, 59.5709, 373.472, 141.816, 349.712
980.669000000, 515.288, 59.5709, 373.984, 141.304, 349.712
985.614000000, 515.288, 59.5709, 372.968, 142.32, 349.712
991.958000000, 515.288, 59.5709, 373.408, 141.88, 349.712
998.173000000, 515.288, 59.5709, 373.008, 142.28, 349.712
1001.720000000, 515.288, 59.5709, 373.48, 141.808, 349.712
1006.599000000, 515.288, 59.5709, 373.824, 141.464, 349.712
1011.014000000, 515.288, 59.5709, 373.72, 141.568, 349.712
1014.628000000, 515.288, 59.5709, 373.064, 142.224, 349.712
1018.375000000, 515.288, 59.5709, 373.104, 142.184, 349.712
1023.450000000, 515.312, 59.5736, 373.472, 141.84, 349.688
1029.725000000, 525.256, 60.7232, 380.008, 145.248, 339.744
1035.347000000, 525.768, 60.7824, 378.28, 147.488, 339.232
1041.097000000, 529.272, 61.1875, 381.24, 148.032, 335.728
1045.446000000, 540.808, 62.5212, 389.752, 151.056, 324.192
1050.257000000, 540.96, 62.5387, 388.728, 152.232, 324.04
1053.942000000, 540.968, 62.5397, 388.496, 152.472, 324.032
1058.222000000, 540.968, 62.5397, 388.448, 152.52, 324.032
1061.839000000, 540.976, 62.5406, 388.376, 152.6, 324.024
1066.252000000, 540.976, 62.5406, 388.376, 152.6, 324.024
1071.001000000, 541, 62.5434, 388.344, 152.656, 324
1075.816000000, 541.08, 62.5526, 388.728, 152.352, 323.92
1080.496000000, 542.416, 62.7071, 390.328, 152.088, 322.584
1084.978000000, 543.128, 62.7894, 391.096, 152.032, 321.872
1088.658000000, 543.696, 62.855, 391.664, 152.032, 321.304
1092.806000000, 551.936, 63.8076, 398, 153.936, 313.064
1099.426000000, 552.8, 63.9075, 397.328, 155.472, 312.2
1105.438000000, 552.816, 63.9094, 396.776, 156.04, 312.184
