Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
1.006000000, 162.312, 14.7556, 147.616, 14.696, 937.688
8.059000000, 177.576, 16.1433, 161.648, 15.928, 922.424
13.671000000, 190.792, 17.3447, 173.656, 17.136, 909.208
20.217000000, 254.408, 23.128, 235.328, 19.08, 845.592
25.829000000, 290.704, 26.4276, 268.544, 22.16, 809.296
31.019000000, 296.096, 26.9178, 273.608, 22.488, 803.904
35.364000000, 308.552, 28.0502, 285.808, 22.744, 791.448
38.906000000, 321.24, 29.2036, 296.36, 24.88, 778.76
44.118000000, 336.232, 30.5665, 310.072, 26.16, 763.768
50.531000000, 417.608, 37.9644, 381.752, 35.856, 682.392
55.341000000, 467.496, 42.4996, 427.072, 40.424, 632.504
62.157000000, 497.512, 45.2284, 452.872, 44.64, 602.488
68.335000000, 501.92, 45.6291, 455.016, 46.904, 598.08
72.069000000, 505.928, 45.9935, 459.56, 46.368, 594.072
76.689000000, 527.832, 47.9847, 479.832, 48, 572.168
82.367000000, 593.392, 53.9447, 537.656, 55.736, 506.608
88.311000000, 595.056, 54.096, 538.808, 56.248, 504.944
95.126000000, 624.984, 56.8167, 567.448, 57.536, 475.016
98.807000000, 639.216, 58.1105, 578.944, 60.272, 460.784
103.424000000, 659.928, 59.9935, 598.872, 61.056, 440.072
109.242000000, 665.76, 60.5236, 604.36, 61.4, 434.24
112.789000000, 666.104, 60.5549, 606.256, 59.848, 433.896
118.267000000, 694.816, 63.1651, 634.696, 60.12, 405.184
122.680000000, 746.176, 67.8342, 686.04, 60.136, 353.824
127.213000000, 775.712, 70.5193, 713.344, 62.368, 324.288
133.623000000, 802.184, 72.9258, 738.464, 63.72, 297.816
137.567000000, 814.16, 74.0145, 749.464, 64.696, 285.84
141.183000000, 828.928, 75.3571, 762.576, 66.352, 271.072
147.329000000, 839, 76.2727, 771.472, 67.528, 261
152.275000000, 846.84, 76.9855, 778.224, 68.616, 253.16
156.755000000, 859.752, 78.1593, 788.616, 71.136, 240.248
162.767000000, 883.232, 80.2938, 807.76, 75.472, 216.768
168.447000000, 885.264, 80.4785, 808.176, 77.088, 214.736
173.656000000, 888.768, 80.7971, 809.488, 79.28, 211.232
179.601000000, 900.616, 81.8742, 818.048, 82.568, 199.384
185.945000000, 901.264, 81.9331, 818.896, 82.368, 198.736
191.755000000, 902.352, 82.032, 819.68, 82.672, 197.648
195.507000000, 903.776, 82.1615, 821.312, 82.464, 196.224
200.254000000, 905.664, 82.3331, 822.864, 82.8, 194.336
205.933000000, 905.496, 82.3178, 821.216, 84.28, 194.504
210.149000000, 904.68, 82.2436, 818.024, 86.656, 195.32
215.863000000, 906.944, 82.4495, 820.272, 86.672, 193.056
221.476000000, 947.448, 86.1316, 852.2, 95.248, 152.552
225.422000000, 960.336, 87.3033, 863.632, 96.704, 139.664
228.966000000, 960.168, 87.288, 863.184, 96.984, 139.832
235.110000000, 962.544, 87.504, 864.128, 98.416, 137.456
240.924000000, 963.984, 87.6349, 865.312, 98.672, 136.016
246.936000000, 964.488, 87.6807, 865.44, 99.048, 135.512
251.820000000, 964.488, 87.6807, 865.16, 99.328, 135.512
258.042000000, 964.488, 87.6807, 864.904, 99.584, 135.512
261.588000000, 964.56, 87.6873, 865.752, 98.808, 135.44
266.001000000, 965.24, 87.7491, 865.928, 99.312, 134.76
271.146000000, 966.232, 87.8393, 866.32, 99.912, 133.768
275.962000000, 966.24, 87.84, 866.832, 99.408, 133.76
280.842000000, 966.776, 87.8887, 867.4, 99.376, 133.224
286.189000000, 968.392, 88.0356, 868.28, 100.112, 131.608
290.870000000, 971.552, 88.3229, 870.176, 101.376, 128.448
294.622000000, 972, 88.3636, 871.232, 100.768, 128
299.368000000, 972.064, 88.3695, 871.496, 100.568, 127.936
302.848000000, 972.136, 88.376, 871.696, 100.44, 127.864
308.929000000, 973.576, 88.5069, 872.832, 100.744, 126.424
313.075000000, 973.616, 88.5105, 872.752, 100.864, 126.384
319.155000000, 975.24, 88.6582, 874.416, 100.824, 124.76
325.303000000, 984.016, 89.456, 878.28, 105.736, 115.984
330.919000000, 984.112, 89.4647, 878.144, 105.968, 115.888
337.806000000, 984.712, 89.5193, 878.672, 106.04, 115.288
344.623000000, 985.176, 89.5615, 878.448, 106.728, 114.824
351.506000000, 985.432, 89.5847, 878.384, 107.048, 114.568
355.185000000, 985.432, 89.5847, 878.536, 106.896, 114.568
359.667000000, 985.496, 89.5905, 878.208, 107.288, 114.504
364.411000000, 985.496, 89.5905, 878.392, 107.104, 114.504
369.424000000, 985.496, 89.5905, 878.52, 106.976, 114.504
373.105000000, 985.496, 89.5905, 878.568, 106.928, 114.504
378.387000000, 985.416, 89.5833, 878.808, 106.608, 114.584
384.467000000, 985.584, 89.5985, 878.608, 106.976, 114.416
389.082000000, 985.464, 89.5876, 877.6, 107.864, 114.536
392.867000000, 985.432, 89.5847, 878.528, 106.904, 114.568
397.123000000, 985.496, 89.5905, 878.672, 106.824, 114.504
401.807000000, 985.496, 89.5905, 879.168, 106.328, 114.504
406.684000000, 985.592, 89.5993, 879.056, 106.536, 114.408
411.430000000, 985.592, 89.5993, 878.992, 106.6, 114.408
416.322000000, 985.592, 89.5993, 879.12, 106.472, 114.408
420.369000000, 985.632, 89.6029, 879.24, 106.392, 114.368
424.095000000, 985.664, 89.6058, 879.344, 106.32, 114.336
428.510000000, 985.6, 89.6, 878.368, 107.232, 114.4
434.722000000, 985.368, 89.5789, 878.624, 106.744, 114.632
440.271000000, 985.688, 89.608, 878.792, 106.896, 114.312
443.816000000, 985.688, 89.608, 877.968, 107.72, 114.312
448.524000000, 985.688, 89.608, 877.512, 108.176, 114.312
453.285000000, 985.688, 89.608, 877.592, 108.096, 114.312
457.770000000, 985.76, 89.6145, 877.92, 107.84, 114.24
461.385000000, 985.76, 89.6145, 878.128, 107.632, 114.24
468.331000000, 985.76, 89.6145, 878.608, 107.152, 114.24
475.344000000, 985.32, 89.5745, 878.376, 106.944, 114.68
482.491000000, 985.112, 89.5556, 878.448, 106.664, 114.888
488.307000000, 985.016, 89.5469, 878.512, 106.504, 114.984
494.389000000, 985.528, 89.5935, 878.568, 106.96, 114.472
500.740000000, 985.64, 89.6036, 878.848, 106.792, 114.36
505.025000000, 985.64, 89.6036, 878.664, 106.976, 114.36
511.199000000, 985.64, 89.6036, 878.376, 107.264, 114.36
514.746000000, 985.928, 89.6298, 878.704, 107.224, 114.072
519.584000000, 985.928, 89.6298, 878.888, 107.04, 114.072
523.266000000, 985.8, 89.6182, 878.776, 107.024, 114.2
528.145000000, 985.96, 89.6327, 877.936, 108.024, 114.04
533.362000000, 986.216, 89.656, 877.992, 108.224, 113.784
538.179000000, 986.216, 89.656, 878.312, 107.904, 113.784
542.994000000, 986.216, 89.656, 878.24, 107.976, 113.784
