Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
4.825000000, 94.784, 5.8239, 75.064, 19.72, 1532.72
8.800000000, 103.512, 6.36018, 81.368, 22.144, 1523.99
15.445000000, 109.408, 6.72246, 85.024, 24.384, 1518.09
21.435000000, 113.672, 6.98445, 88.2, 25.472, 1513.83
26.005000000, 118.192, 7.26218, 92.416, 25.776, 1509.31
31.305000000, 125.536, 7.71343, 97.768, 27.768, 1501.96
37.055000000, 127.936, 7.86089, 97.48, 30.456, 1499.56
42.395000000, 132.12, 8.11797, 101.4, 30.72, 1495.38
48.790000000, 145.144, 8.91822, 109.288, 35.856, 1482.36
53.240000000, 157.88, 9.70077, 119.904, 37.976, 1469.62
59.950000000, 173.488, 10.6598, 130.768, 42.72, 1454.01
65.870000000, 175.176, 10.7635, 130.752, 44.424, 1452.32
72.185000000, 176.136, 10.8225, 131.96, 44.176, 1451.36
77.300000000, 176.136, 10.8225, 131.528, 44.608, 1451.36
81.745000000, 181.104, 11.1277, 136.232, 44.872, 1446.4
86.865000000, 199.408, 12.2524, 150.568, 48.84, 1428.09
91.075000000, 204.552, 12.5685, 154.776, 49.776, 1422.95
96.770000000, 207.48, 12.7484, 153.832, 53.648, 1420.02
102.870000000, 229.44, 14.0977, 172.56, 56.88, 1398.06
107.290000000, 242.784, 14.9176, 184.936, 57.848, 1384.72
112.070000000, 261.96, 16.0959, 201.96, 60, 1365.54
116.910000000, 294.304, 18.0832, 232.288, 62.016, 1333.2
122.420000000, 315.808, 19.4045, 252.248, 63.56, 1311.69
126.025000000, 329.944, 20.2731, 265.136, 64.808, 1297.56
131.010000000, 352.416, 21.6538, 285.704, 66.712, 1275.08
134.955000000, 367.256, 22.5657, 299.344, 67.912, 1260.24
141.795000000, 395.992, 24.3313, 325.08, 70.912, 1231.51
146.595000000, 403.808, 24.8116, 331.648, 72.16, 1223.69
152.220000000, 416.72, 25.6049, 348.216, 68.504, 1210.78
156.195000000, 435.336, 26.7488, 362.72, 72.616, 1192.16
160.685000000, 451.224, 27.725, 378.2, 73.024, 1176.28
165.055000000, 466.304, 28.6516, 391.104, 75.2, 1161.2
170.060000000, 473.32, 29.0826, 397.136, 76.184, 1154.18
175.865000000, 476.84, 29.2989, 398.712, 78.128, 1150.66
180.170000000, 479.024, 29.4331, 399.752, 79.272, 1148.48
184.285000000, 479.736, 29.4769, 404.024, 75.712, 1147.76
192.730000000, 480.272, 29.5098, 401.144, 79.128, 1147.23
223.790000000, 493.168, 30.3022, 412.728, 80.44, 1134.33
228.120000000, 495.752, 30.461, 416.376, 79.376, 1131.75
233.590000000, 499.656, 30.7008, 414.12, 85.536, 1127.84
237.680000000, 500.136, 30.7303, 414.912, 85.224, 1127.36
244.345000000, 498.984, 30.6595, 412.968, 86.016, 1128.52
248.195000000, 499.68, 30.7023, 415.488, 84.192, 1127.82
252.845000000, 502.184, 30.8562, 415, 87.184, 1125.32
