Goal x, Goal y, Goal z, Planner
-11.8484, 2.27768, 1.49652, aep
-11.069, 1.65276, 1.54083, aep
-10.4716, 1.28535, 0.828026, aep
-10.4787, 2.14867, 0.323407, aep
-10.5761, 3.44309, 0.821126, aep
-10.9713, 4.32885, 0.577639, aep
-10.8426, 5.286, 0.318174, aep
-11.6095, 5.78649, 0.719875, aep
-11.5443, 6.40312, 1.50442, aep
-10.7129, 6.92435, 1.69677, aep
-9.86372, 7.44024, 1.80978, aep
-9.16212, 6.89159, 1.35509, aep
-8.45961, 6.96903, 0.647649, aep
-7.52955, 7.15984, 0.333669, aep
-7.20302, 8.04911, 0.653931, aep
-6.68223, 9.42911, 0.432869, aep
-5.91818, 10.0582, 0.576005, aep
-4.91844, 10.0799, 0.583097, aep
-4.03864, 9.62164, 1.70213, aep
-3.04926, 9.68239, 1.57008, aep
-2.25874, 8.43261, 1.46341, aep
-1.91003, 7.77579, 2.13198, aep
-1.80144, 6.81274, 1.88552, aep
-2.52315, 6.30908, 1.41069, aep
-2.06543, 5.56613, 0.922312, aep
-1.13059, 5.23782, 0.787099, aep
-0.223302, 5.64367, 0.676987, aep
0.593752, 6.18081, 0.886518, aep
1.78904, 6.19188, 1.69614, aep
1.61377, 7.17198, 1.78932, aep
1.88513, 8.10615, 2.02103, aep
1.84029, 7.98454, 0.657234, aep
1.42422, 7.07523, 0.664704, rrt
1.11394, 6.13706, 0.818196, rrt
1.60776, 5.27208, 0.907372, rrt
2.53565, 4.90165, 0.949777, rrt
3.49003, 4.80192, 1.23122, aep
4.29173, 5.32407, 1.52214, aep
4.38456, 5.52803, 1.31083, rrt
5.10895, 4.95619, 0.925789, aep
4.92896, 3.98436, 0.773649, aep
4.37249, 3.24825, 0.388302, aep
4.51105, 2.50848, 1.04674, aep
5.34129, 2.45612, 1.60167, aep
6.55369, 1.66674, 1.24666, aep
6.65679, 0.684097, 1.40088, aep
6.49, -0.718041, 1.46376, aep
6.50395, -1.30731, 0.655951, aep
6.70367, -2.22506, 0.999261, aep
7.28336, -3.02163, 1.17084, aep
8.16634, -3.11852, 0.711547, aep
8.51975, -4.04921, 0.806011, aep
8.21648, -4.99957, 0.875637, aep
8.21342, -6.10345, 1.8355, aep
8.947, -6.70633, 1.52183, aep
8.92552, -7.66191, 1.81577, aep
9.01213, -8.63518, 2.02849, aep
9.87232, -8.99792, 2.38695, aep
10.5146, -8.33169, 2.00802, rrt
11.5043, -8.11034, 1.86815, rrt
12.2582, -7.60743, 1.44542, rrt
12.5401, -7.11, 2.26584, aep
12.8065, -6.14988, 2.35085, aep
13.0517, -5.30998, 1.86668, aep
12.4987, -4.60898, 2.31699, aep
11.6496, -4.28824, 1.89724, aep
11.7052, -3.47748, 1.3145, aep
12.4911, -3.19291, 0.765603, aep
13.2822, -2.58991, 0.662567, aep
13.7365, -1.84015, 1.14363, aep
13.6652, -1.02539, 1.71902, aep
13.4245, -0.373271, 1.00013, aep
12.6975, 0.0854434, 0.489231, aep
11.7838, 0.324801, 0.817497, aep
11.3855, 0.581885, 1.67849, rrt
10.5156, 0.990089, 1.95523, aep
9.60382, 0.580371, 1.98305, rrt
8.64164, 0.316456, 1.91564, rrt
7.71144, -0.0370749, 1.81688, rrt
6.74051, 0.179277, 1.71451, rrt
6.57411, 1.15492, 1.85743, rrt
6.41604, 2.14234, 1.85191, rrt
5.42214, 2.1823, 1.74908, rrt
4.83784, 2.90911, 1.38806, rrt
5.12145, 3.86624, 1.32921, rrt
5.06697, 4.84349, 1.53422, rrt
5.46591, 5.75566, 1.44051, rrt
5.16805, 6.7067, 1.52298, rrt
4.78889, 7.5112, 1.407, aep
5.14611, 8.39115, 1.7202, aep
4.8206, 8.95435, 0.960696, aep
5.11055, 9.87507, 1.22186, aep
4.81442, 10.4728, 0.476827, aep
4.45357, 11.3951, 0.614573, aep
5.26511, 11.9461, 0.420035, aep
5.62734, 12.7586, 0.876842, aep
6.11569, 12.8203, 1.59619, aep
6.8161, 12.7038, 2.30035, aep
7.73715, 12.3386, 2.16509, aep
8.3921, 11.9731, 1.50367, aep
8.40216, 11.3051, 0.759579, aep
9.84743, 11.0135, 0.854439, aep
11.21, 11.3899, 0.890403, aep
11.9422, 10.7142, 0.804867, aep
12.6426, 10.1669, 0.346702, aep
12.825, 9.19295, 0.481267, aep
13.3726, 8.78087, 1.2095, aep
13.559, 7.83714, 0.936329, aep
13.5602, 6.88716, 1.24861, aep
13.1903, 6.54887, 2.11393, aep
13.0111, 5.57085, 2.22044, aep
12.0751, 5.39066, 1.91792, aep
11.2333, 5.82183, 1.59341, aep
11.7582, 6.67245, 1.56411, aep
11.3544, 7.37764, 2.14692, aep
10.8624, 8.24757, 2.18024, aep
9.89794, 8.51015, 2.21071, aep
9.48426, 8.04953, 1.42541, rrt
8.10908, 7.53482, 1.26039, rrt
7.24485, 7.12476, 0.96891, rrt
7.04132, 6.05489, 1.09015, rrt
6.95622, 5.1419, 0.69115, rrt
6.25912, 4.43134, 0.786807, rrt
6.58848, 3.49787, 0.928781, rrt
6.78692, 2.52146, 1.01385, rrt
5.8274, 2.24331, 0.969623, rrt
4.83653, 2.10984, 0.988354, rrt
3.92512, 2.16327, 0.580335, aep
2.98219, 2.16815, 0.913293, aep
1.70763, 2.42632, 1.42392, aep
1.34736, 2.17232, 0.526316, aep
0.36449, 2.23163, 0.700789, aep
0.0981857, 1.33588, 1.05677, aep
-0.883639, 0.353386, 0.949082, aep
-0.651372, -0.581441, 0.680475, aep
-1.00352, -1.42382, 1.08839, aep
-0.374192, -1.83523, 1.7477, aep
-0.637629, -2.24064, 1.91773, rrt
-0.406024, -3.09736, 1.45687, aep
-0.862591, -3.31788, 0.59494, aep
-1.59622, -3.97449, 0.770025, aep
-2.51932, -4.14012, 0.422969, aep
-2.92855, -4.18816, 1.33414, aep
-3.56669, -3.43094, 1.19485, aep
-4.35674, -3.59351, 1.78595, aep
-5.01377, -4.3308, 1.62877, aep
-5.96664, -4.15242, 1.38339, aep
-6.75244, -3.53753, 1.44996, aep
-7.72145, -3.49237, 1.69283, aep
-8.46873, -3.51384, 1.02866, aep
-8.69784, -4.48249, 1.12478, aep
-9.6165, -4.77649, 0.86092, aep
-10.1993, -5.34371, 1.44278, aep
-10.1632, -5.79265, 1.72241, rrt
-10.9787, -5.25542, 1.93754, aep
-10.8547, -4.26317, 1.93002, aep
-10.2179, -3.4998, 2.03834, aep
-9.35809, -3.19511, 2.44816, aep
-8.3863, -3.12655, 2.22251, aep
-7.63606, -3.26749, 1.57654, aep
-6.20966, -2.98088, 1.67138, aep
-5.54698, -2.34258, 2.06307, aep
-4.99293, -1.51866, 2.18219, rrt
-5.0338, -0.520842, 2.23404, rrt
-4.04406, -0.501143, 2.09257, rrt
-3.16334, -0.0411679, 1.97964, rrt
-3.83943, -0.403582, 1.33812, rrt
-4.56887, -0.846276, 1.29559, rrt
-5.61955, -0.681056, 1.8501, rrt
-6.3643, -0.0490765, 1.63573, rrt
-6.58397, 0.47528, 1.3261, rrt
