Goal x, Goal y, Goal z, Planner
0.995603, 1.42395, 1.39674, aep
0.591778, 2.24044, 1.80938, aep
0.964584, 2.99363, 1.26741, aep
1.83181, 3.45766, 1.44795, aep
2.20135, 4.27406, 1.89172, aep
2.93358, 4.33598, 2.16787, aep
3.65692, 4.01736, 1.55528, aep
4.63595, 4.11075, 1.7363, aep
5.46262, 4.60841, 1.47368, aep
6.33813, 4.23701, 1.78278, aep
6.95213, 3.47409, 1.58041, aep
6.94855, 2.87089, 2.37799, aep
6.97854, 1.99374, 1.89869, aep
6.23481, 0.847283, 1.36663, aep
5.39118, 0.311494, 1.33172, aep
4.76978, -0.194315, 1.93008, aep
4.78102, -1.07297, 1.45274, aep
4.8524, -2.05452, 1.63011, aep
5.71321, -2.06549, 2.13891, aep
6.62715, -1.86516, 2.49186, aep
7.56322, -2.15333, 2.29006, aep
8.05885, -1.43778, 2.78234, aep
8.95238, -1.18098, 2.41402, aep
10.2077, -1.70181, 2.65993, aep
9.79935, -2.61198, 2.59027, aep
8.83221, -2.62028, 2.84436, aep
8.16964, -2.31901, 2.15862, aep
7.21294, -2.55365, 2.33086, aep
7.11144, -3.52754, 2.53394, aep
6.35477, -3.9384, 2.02537, aep
5.50589, -3.79287, 2.53351, aep
4.84213, -3.44985, 1.86886, aep
3.63374, -2.78301, 1.31071, aep
3.02592, -2.95384, 2.08619, aep
2.49302, -3.44549, 2.77488, aep
2.27771, -4.41993, 2.71072, aep
1.8138, -4.62853, 1.84975, aep
0.981258, -4.07507, 1.87326, aep
0.14845, -3.5697, 2.09917, aep
-0.33126, -3.05988, 1.38505, aep
-0.590588, -2.25543, 0.850622, aep
-1.00358, -1.34706, 0.785056, aep
-0.987872, -0.409657, 1.13295, aep
-1.3459, 0.190141, 1.84853, aep
-0.509188, 0.696614, 2.05685, aep
0.332918, 1.10495, 1.70454, aep
1.0165, 0.974106, 2.42259, aep
2.01334, 0.959272, 2.50057, aep
2.99359, 1.11793, 2.38246, rrt
3.57307, 0.323249, 2.20166, rrt
4.50081, 0.653524, 2.02779, rrt
5.36988, 0.160068, 1.99301, rrt
6.22119, -0.35913, 2.06856, rrt
7.2141, -0.241672, 2.05036, rrt
8.21352, -0.253851, 2.01849, rrt
9.03287, 0.119337, 2.45369, rrt
9.7089, 0.628918, 1.92143, aep
10.7079, 0.618364, 1.87901, aep
11.6882, 1.34509, 2.65546, aep
12.58, 1.79747, 2.66288, aep
12.6329, 2.50772, 1.96092, aep
12.6296, 3.95195, 1.58239, aep
13.1158, 3.77166, 1.45087, rrt
13.5811, 3.86915, 2.33061, rrt
12.6852, 3.53989, 2.03247, rrt
12.3931, 2.58353, 2.02442, rrt
11.6436, 1.92585, 1.94914, rrt
10.8128, 1.38213, 1.83028, rrt
11.29, 0.503583, 1.84952, rrt
11.7803, -0.367432, 1.81891, rrt
12.7564, -0.584745, 1.822, rrt
12.575, -1.54898, 2.01519, rrt
13.4301, -1.78508, 2.47674, rrt
13.2304, -2.63073, 2.9717, aep
13.5852, -3.54596, 2.78069, aep
13.8853, -4.13469, 2.03015, aep
13.8335, -5.05585, 2.41587, aep
12.836, -5.09984, 2.36016, rrt
13.0624, -6.06986, 2.27184, rrt
13.6787, -6.32142, 2.05179, rrt
13.2839, -7.17381, 1.70885, rrt
12.5175, -6.53553, 1.63734, rrt
11.6691, -6.00672, 1.66204, rrt
10.694, -5.81061, 1.55794, rrt
9.72728, -6.06463, 1.58741, rrt
8.72968, -6.0282, 1.52853, rrt
8.79053, -5.03015, 1.54255, rrt
9.15268, -4.10726, 1.67343, rrt
9.37565, -3.14456, 1.52018, rrt
9.14153, -2.20618, 1.77441, rrt
9.86963, -1.52102, 1.75376, rrt
9.39153, -0.645172, 1.81935, rrt
10.1127, 0.0147238, 1.60859, rrt
10.0122, 1.00912, 1.64135, rrt
10.7502, 1.67505, 1.53223, rrt
11.4319, 2.39148, 1.68063, rrt
11.5725, 3.34172, 1.40264, rrt
12.4794, 3.76284, 1.4131, rrt
