Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
4.746000000, 131.536, 16.4832, 101.952, 29.584, 666.464
7.526000000, 145.008, 18.1714, 113.232, 31.776, 652.992
11.404000000, 164.672, 20.6356, 129.592, 35.08, 633.328
15.831000000, 186.512, 23.3724, 146.992, 39.52, 611.488
19.235000000, 206.648, 25.8957, 163.576, 43.072, 591.352
22.703000000, 230.048, 28.8281, 182.264, 47.784, 567.952
27.275000000, 255.816, 32.0571, 205.584, 50.232, 542.184
30.707000000, 272.448, 34.1414, 219.872, 52.576, 525.552
35.203000000, 295.776, 37.0647, 238.968, 56.808, 502.224
38.243000000, 304.424, 38.1484, 246.696, 57.728, 493.576
41.176000000, 315.408, 39.5248, 257.448, 57.96, 482.592
44.811000000, 327.088, 40.9885, 267.376, 59.712, 470.912
47.997000000, 340, 42.6065, 278.848, 61.152, 458
51.343000000, 356.496, 44.6737, 292.328, 64.168, 441.504
54.765000000, 377.16, 47.2632, 310.272, 66.888, 420.84
57.971000000, 398.352, 49.9188, 329.368, 68.984, 399.648
62.445000000, 433.72, 54.3509, 361.456, 72.264, 364.28
65.364000000, 456.512, 57.207, 382.136, 74.376, 341.488
69.275000000, 480.848, 60.2566, 397.424, 83.424, 317.152
75.348000000, 502.808, 63.0085, 411.864, 90.944, 295.192
78.378000000, 516.72, 64.7519, 423.2, 93.52, 281.28
81.602000000, 524.688, 65.7504, 430.16, 94.528, 273.312
84.850000000, 533.088, 66.803, 436.912, 96.176, 264.912
87.882000000, 541.128, 67.8105, 443.248, 97.88, 256.872
91.018000000, 549.144, 68.815, 449.04, 100.104, 248.856
94.267000000, 557.024, 69.8025, 455.024, 102, 240.976
97.075000000, 560.752, 70.2697, 458.448, 102.304, 237.248
100.522000000, 565.256, 70.8341, 460.256, 105, 232.744
103.566000000, 570.128, 71.4446, 463.424, 106.704, 227.872
107.343000000, 574.128, 71.9459, 466.272, 107.856, 223.872
110.624000000, 576.6, 72.2556, 468.12, 108.48, 221.4
113.880000000, 578.248, 72.4622, 469.048, 109.2, 219.752
117.842000000, 581.92, 72.9223, 470.52, 111.4, 216.08
122.210000000, 582.488, 72.9935, 469.08, 113.408, 215.512
125.023000000, 585.36, 73.3534, 471.464, 113.896, 212.64
128.364000000, 587.712, 73.6481, 473.792, 113.92, 210.288
132.394000000, 591.904, 74.1734, 477.496, 114.408, 206.096
135.447000000, 595.28, 74.5965, 480.784, 114.496, 202.72
139.305000000, 604.032, 75.6932, 488.784, 115.248, 193.968
143.555000000, 616.08, 77.203, 497.888, 118.192, 181.92
146.261000000, 620.44, 77.7494, 501.256, 119.184, 177.56
152.229000000, 621.928, 77.9358, 503.792, 118.136, 176.072
157.507000000, 625.456, 78.3779, 503.456, 122, 172.544
162.521000000, 627.736, 78.6637, 506.424, 121.312, 170.264
165.626000000, 628.808, 78.798, 507.736, 121.072, 169.192
168.732000000, 629.736, 78.9143, 507.984, 121.752, 168.264
172.367000000, 630.672, 79.0316, 507.592, 123.08, 167.328
176.682000000, 632.968, 79.3193, 508.544, 124.424, 165.032
180.740000000, 634.344, 79.4917, 507.768, 126.576, 163.656
184.775000000, 635.976, 79.6962, 510.48, 125.496, 162.024
188.326000000, 636.312, 79.7383, 510.368, 125.944, 161.688
192.599000000, 642.424, 80.5043, 514.336, 128.088, 155.576
197.870000000, 649.776, 81.4256, 520.424, 129.352, 148.224
202.614000000, 654.472, 82.014, 524.056, 130.416, 143.528
214.812000000, 655.784, 82.1784, 523.448, 132.336, 142.216
215.348000000, 655.784, 82.1784, 523.488, 132.296, 142.216
215.875000000, 655.784, 82.1784, 523.616, 132.168, 142.216
216.398000000, 655.784, 82.1784, 523.616, 132.168, 142.216
260.493000000, 666.76, 83.5539, 531.736, 135.024, 131.24
268.864000000, 669.616, 83.9118, 532.688, 136.928, 128.384
268.864000000, 669.64, 83.9148, 532.768, 136.872, 128.36
