Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
3.480000000, 82.256, 16.1286, 67.904, 14.352, 427.744
6.252000000, 90.648, 17.7741, 75.56, 15.088, 419.352
9.279000000, 105.6, 20.7059, 89.768, 15.832, 404.4
12.829000000, 114.224, 22.3969, 93.88, 20.344, 395.776
15.897000000, 123.624, 24.24, 105.816, 17.808, 386.376
19.217000000, 133.376, 26.1522, 114.424, 18.952, 376.624
22.092000000, 145.176, 28.4659, 125.384, 19.792, 364.824
24.868000000, 162.64, 31.8902, 141.848, 20.792, 347.36
28.774000000, 183.104, 35.9027, 160.232, 22.872, 326.896
31.700000000, 198.2, 38.8627, 172.528, 25.672, 311.8
35.735000000, 218.272, 42.7984, 189.608, 28.664, 291.728
38.973000000, 224.288, 43.978, 195.168, 29.12, 285.712
41.719000000, 230.56, 45.2078, 200.976, 29.584, 279.44
45.154000000, 239.24, 46.9098, 209.416, 29.824, 270.76
49.522000000, 241.44, 47.3412, 211.496, 29.944, 268.56
53.575000000, 247.328, 48.4957, 216.688, 30.64, 262.672
56.624000000, 257.328, 50.4565, 225.792, 31.536, 252.672
59.710000000, 268.104, 52.5694, 235.432, 32.672, 241.896
62.568000000, 279.424, 54.789, 245.984, 33.44, 230.576
65.589000000, 294.992, 57.8416, 259.776, 35.216, 215.008
68.543000000, 305.552, 59.9122, 269.32, 36.232, 204.448
71.293000000, 313.656, 61.5012, 276.232, 37.424, 196.344
74.607000000, 321.744, 63.0871, 282.84, 38.904, 188.256
78.486000000, 338.744, 66.4204, 297.616, 41.128, 171.256
81.662000000, 345.928, 67.829, 302.96, 42.968, 164.072
84.396000000, 354.16, 69.4431, 309.752, 44.408, 155.84
88.371000000, 358.4, 70.2745, 310.928, 47.472, 151.6
91.466000000, 361.408, 70.8643, 314.48, 46.928, 148.592
95.853000000, 362.192, 71.018, 315.112, 47.08, 147.808
100.112000000, 365.544, 71.6753, 317.976, 47.568, 144.456
103.830000000, 371.944, 72.9302, 324.176, 47.768, 138.056
108.091000000, 377.472, 74.0141, 329.936, 47.536, 132.528
110.796000000, 382.24, 74.949, 334.744, 47.496, 127.76
114.014000000, 397.608, 77.9624, 347.872, 49.736, 112.392
117.690000000, 407.256, 79.8541, 355.624, 51.632, 102.744
121.427000000, 413.128, 81.0055, 358.84, 54.288, 96.872
124.863000000, 417.88, 81.9373, 362.576, 55.304, 92.12
128.361000000, 428.08, 83.9373, 371.184, 56.896, 81.92
131.540000000, 433.008, 84.9035, 374.192, 58.816, 76.992
135.446000000, 435.496, 85.3914, 374.768, 60.728, 74.504
141.229000000, 453.04, 88.8314, 385.472, 67.568, 56.96
146.158000000, 454.416, 89.1012, 384.168, 70.248, 55.584
146.158000000, 454.416, 89.1012, 384.296, 70.12, 55.584
