Goal x, Goal y, Goal z, Planner
-2.37096, 4.54875, 1.54542, aep
-1.52207, 4.25428, 1.98437, aep
-1.59512, 3.26064, 1.89867, aep
-1.4374, 2.68628, 1.09541, aep
-1.10728, 1.74234, 1.09743, aep
-1.00165, 0.78398, 1.36272, aep
-0.893773, -0.0473859, 1.90787, aep
-0.0359974, -0.293677, 2.35905, aep
0.808156, -0.376255, 1.82935, aep
1.28019, -1.25114, 1.72094, aep
1.76954, -1.74317, 1.00091, aep
1.72119, -2.74036, 1.05826, aep
2.16574, -4.05401, 1.28856, aep
1.50948, -4.8084, 1.27367, aep
0.683195, -5.04162, 1.78637, aep
-0.208656, -5.32672, 1.43519, aep
-0.680645, -5.16076, 0.569347, aep
-1.47172, -4.55811, 0.674233, aep
-2.39542, -4.26744, 0.923843, aep
-2.77739, -4.80234, 1.67749, aep
-2.99499, -5.70116, 1.29701, aep
-3.34087, -6.49482, 1.79749, aep
-3.38971, -7.46395, 1.55582, aep
-2.28447, -8.19668, 1.12262, aep
-1.40381, -8.15149, 1.59421, aep
-0.842321, -7.32954, 1.49864, rrt
-0.728203, -6.33608, 1.49572, rrt
-0.340972, -5.49515, 1.79508, rrt
0.00617545, -4.62047, 1.45682, rrt
0.577646, -3.32486, 1.58504, rrt
0.51763, -2.32958, 1.50871, rrt
0.22761, -1.37303, 1.47883, rrt
0.0266282, -0.393467, 1.48696, rrt
0.624105, 0.287752, 1.29496, rrt
0.46202, 1.62628, 0.976626, rrt
0.539853, 2.60832, 1.14851, rrt
0.366144, 3.53899, 0.826514, rrt
0.998029, 4.30454, 0.947561, aep
1.76403, 4.94723, 0.933833, aep
1.96459, 5.89768, 1.17136, aep
1.82664, 6.86044, 0.938852, aep
1.16317, 7.39129, 1.46613, aep
0.211558, 7.63862, 1.64848, aep
0.968339, 7.75842, 2.09796, rrt
