Goal x, Goal y, Goal z, Planner
10.1956, 10.424, 1.19669, aep
9.92723, 9.90251, 0.386706, aep
9.61016, 9.07025, 0.841459, aep
8.87478, 8.56657, 1.29482, aep
8.48179, 7.65057, 1.37542, aep
8.38839, 6.71859, 1.02515, aep
8.86164, 5.96382, 0.570881, aep
9.09462, 4.57819, 0.949981, aep
8.10796, 4.56468, 1.1122, aep
7.14148, 4.59588, 1.36705, aep
6.15013, 4.63252, 1.24105, aep
5.50195, 4.49312, 0.492428, aep
4.59262, 4.08172, 0.43023, aep
4.82202, 3.11872, 0.571681, aep
4.46511, 2.43397, 1.20708, aep
4.15655, 1.53076, 1.50544, aep
4.37126, 0.901814, 0.758232, aep
3.49285, 0.588009, 0.397792, aep
2.59809, 0.142827, 0.432819, aep
1.71241, 0.586057, 0.294551, aep
1.34202, 1.50121, 0.453635, aep
0.38397, 1.26986, 0.6228, aep
-0.979251, 1.63076, 0.894928, aep
-1.4329, 0.755744, 0.725953, aep
-1.43921, -0.615493, 1.06972, aep
-0.745311, -1.32598, 0.952562, aep
0.167799, -1.21497, 0.560253, aep
1.04389, -1.68586, 0.663781, aep
1.15591, -2.67875, 0.704199, aep
0.553904, -3.44223, 0.470344, aep
-0.404023, -3.54186, 0.739505, aep
-1.08098, -3.31683, 1.44028, aep
-1.91888, -2.797, 1.27381, aep
-3.35259, -2.59563, 1.03016, aep
-4.52065, -2.7899, 0.304572, aep
-5.24469, -3.29897, 0.769997, aep
-6.06756, -3.70465, 1.16787, aep
-6.53824, -2.99416, 1.69099, aep
-7.01499, -2.32614, 1.11962, aep
-7.20811, -1.47059, 0.63927, aep
-6.66816, -0.640001, 0.77558, aep
-6.19876, 0.239911, 0.702021, aep
-5.47061, 0.387869, 1.37128, aep
-5.09194, 1.25546, 1.69362, aep
-4.95985, 1.82998, 0.885862, aep
-4.51746, 3.18706, 0.587263, aep
-4.91261, 4.10567, 0.583585, aep
-5.73259, 4.36576, 1.09348, aep
-7.0379, 4.13447, 0.565646, aep
-6.18252, 4.33463, 1.04342, aep
-6.21281, 5.30966, 0.823449, aep
-5.37869, 5.84353, 0.68475, aep
-4.03233, 6.26463, 1.02427, aep
-3.30629, 6.91306, 1.25321, aep
-3.16359, 7.8932, 1.11555, aep
-3.57342, 8.77032, 0.865152, aep
-4.58275, 9.70815, 1.16261, aep
-6.06632, 9.82519, 0.97582, aep
-5.81667, 8.42367, 1.0594, aep
-5.08209, 7.74598, 1.09301, aep
-4.20596, 7.29415, 1.2611, aep
-3.48254, 7.91883, 1.5551, aep
-2.70377, 8.03768, 0.93916, aep
-2.06207, 7.28056, 0.816694, aep
-1.24432, 6.75347, 0.58547, aep
-0.860404, 5.83185, 0.528796, aep
-1.51814, 5.08281, 0.44927, aep
-1.804, 4.23933, 0.904045, aep
-1.93811, 2.98418, 1.61585, aep
-1.01368, 2.61934, 1.72685, aep
-0.323326, 2.0307, 1.30624, aep
0.0541978, 1.54108, 0.520276, aep
0.291843, 0.575718, 0.62803, aep
0.83212, 0.203414, 1.38268, aep
1.78606, 0.448066, 1.55632, aep
2.36492, -0.284823, 1.19884, aep
2.50553, -1.22828, 0.898648, aep
3.39731, -1.39907, 0.479658, aep
4.63441, -1.52903, 1.31648, aep
5.44715, -2.09936, 1.43557, aep
6.35443, -2.50322, 1.31836, aep
6.3841, -3.50217, 1.35331, aep
6.4857, -4.47402, 1.14077, aep
6.84472, -5.20109, 0.555552, aep
6.25225, -5.10667, 1.3556, aep
4.8822, -5.3572, 1.67872, aep
4.14837, -5.99479, 1.44428, aep
4.03625, -6.5815, 0.642285, aep
3.89876, -7.52681, 0.938082, aep
3.37599, -8.36242, 0.769394, aep
1.96734, -8.30855, 1.00321, aep
1.09612, -7.85416, 0.81742, aep
0.297746, -7.34972, 1.14624, aep
-0.579764, -7.45333, 0.678014, aep
-0.810695, -6.48431, 0.590449, aep
-1.77261, -6.75452, 0.549124, aep
-2.37852, -7.50146, 0.822895, aep
-3.1763, -8.08431, 0.977272, aep
-3.99808, -8.65365, 0.954115, aep
-4.80768, -8.24523, 1.37571, aep
-5.06497, -7.4417, 1.91249, aep
-5.41977, -6.56246, 1.59461, aep
-5.98376, -5.90388, 0.424086, aep
-6.97095, -5.83104, 0.282167, aep
-7.14218, -4.98516, 0.787306, aep
-8.13165, -5.04504, 0.655564, aep
-8.74795, -5.75906, 0.987747, aep
-9.31322, -5.55631, 1.78735, aep
-9.84478, -6.39323, 1.91779, aep
-9.59358, -7.36107, 1.90461, aep
-9.50692, -8.75622, 1.48372, aep
-8.98074, -10.0934, 1.17834, aep
-8.1429, -10.2374, 0.65175, aep
-7.62538, -10.7861, 1.30831, aep
-6.74299, -10.8101, 0.838407, aep
-5.78452, -10.6613, 1.08176, aep
-4.83277, -10.9267, 0.927604, aep
-4.13592, -10.2095, 0.927266, aep
-3.47836, -9.6378, 1.41796, aep
-2.80325, -8.44711, 1.33731, aep
-2.14014, -7.73603, 1.5711, aep
-2.40387, -6.98292, 0.968381, aep
-2.5607, -6.06615, 0.601027, aep
-3.73159, -5.38528, 1.1649, aep
-3.05582, -5.99554, 1.57831, aep
-2.19307, -6.49858, 1.52713, aep
-1.70159, -7.30523, 1.8554, aep
-1.44011, -7.94088, 1.12905, aep
-0.654664, -7.79186, 0.528331, aep
0.279091, -7.48757, 0.716783, aep
0.801569, -7.32067, 1.55294, aep
1.46545, -6.57497, 1.6095, aep
2.00901, -5.81383, 1.25566, aep
2.94777, -6.10915, 1.43318, aep
