Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
4.565000000, 52.76, 3.66389, 44.112, 8.648, 1387.24
7.090000000, 59.296, 4.11778, 52.792, 6.504, 1380.7
9.630000000, 69.216, 4.80667, 60.04, 9.176, 1370.78
12.195000000, 76.424, 5.30722, 65.992, 10.432, 1363.58
14.755000000, 84.512, 5.86889, 74.032, 10.48, 1355.49
18.470000000, 102.496, 7.11778, 90.456, 12.04, 1337.5
23.110000000, 121.952, 8.46889, 107.136, 14.816, 1318.05
26.830000000, 140.296, 9.74278, 123.648, 16.648, 1299.7
29.930000000, 159.264, 11.06, 144.512, 14.752, 1280.74
34.110000000, 173.936, 12.0789, 155.32, 18.616, 1266.06
39.660000000, 180.536, 12.5372, 159.36, 21.176, 1259.46
44.330000000, 200.152, 13.8994, 178.872, 21.28, 1239.85
48.015000000, 209.36, 14.5389, 185.832, 23.528, 1230.64
51.730000000, 226.488, 15.7283, 201.728, 24.76, 1213.51
54.735000000, 236.896, 16.4511, 211.272, 25.624, 1203.1
58.095000000, 247.048, 17.1561, 220.52, 26.528, 1192.95
60.760000000, 253.04, 17.5722, 225.6, 27.44, 1186.96
63.405000000, 261.2, 18.1389, 232.4, 28.8, 1178.8
66.510000000, 275.264, 19.1156, 250.824, 24.44, 1164.74
70.575000000, 297.152, 20.6356, 266.752, 30.4, 1142.85
74.650000000, 308.28, 21.4083, 276.904, 31.376, 1131.72
77.620000000, 316.736, 21.9956, 284.096, 32.64, 1123.26
80.955000000, 326.808, 22.695, 292.576, 34.232, 1113.19
84.540000000, 343.88, 23.8806, 310.48, 33.4, 1096.12
88.260000000, 365.392, 25.3744, 329.536, 35.856, 1074.61
91.960000000, 375.12, 26.05, 337.432, 37.688, 1064.88
95.845000000, 392.6, 27.2639, 354.552, 38.048, 1047.4
98.730000000, 408.696, 28.3817, 369.144, 39.552, 1031.3
101.585000000, 416.72, 28.9389, 381.152, 35.568, 1023.28
104.950000000, 435.52, 30.2444, 394.744, 40.776, 1004.48
108.855000000, 455.432, 31.6272, 417, 38.432, 984.568
112.580000000, 468.992, 32.5689, 425.624, 43.368, 971.008
118.355000000, 472.12, 32.7861, 425.888, 46.232, 967.88
121.140000000, 472.12, 32.7861, 425.816, 46.304, 967.88
124.180000000, 472.12, 32.7861, 425.216, 46.904, 967.88
126.940000000, 472.12, 32.7861, 425.296, 46.824, 967.88
129.720000000, 472.12, 32.7861, 428.864, 43.256, 967.88
132.890000000, 473.048, 32.8506, 427.048, 46, 966.952
136.785000000, 480.48, 33.3667, 434.152, 46.328, 959.52
139.845000000, 483.96, 33.6083, 437.04, 46.92, 956.04
143.720000000, 499.704, 34.7017, 452.008, 47.696, 940.296
146.735000000, 517.376, 35.9289, 470.968, 46.408, 922.624
149.715000000, 530.624, 36.8489, 480.928, 49.696, 909.376
153.770000000, 544.24, 37.7944, 493.696, 50.544, 895.76
158.100000000, 562.024, 39.0294, 508.872, 53.152, 877.976
161.205000000, 576.976, 40.0678, 528.032, 48.944, 863.024
164.355000000, 595.824, 41.3767, 541.752, 54.072, 844.176
168.230000000, 618.896, 42.9789, 563.384, 55.512, 821.104
172.190000000, 639.968, 44.4422, 587.376, 52.592, 800.032
175.490000000, 659.608, 45.8061, 602.64, 56.968, 780.392
178.725000000, 675.4, 46.9028, 617.176, 58.224, 764.6
181.825000000, 689.504, 47.8822, 630.096, 59.408, 750.496
185.555000000, 696.696, 48.3817, 637.12, 59.576, 743.304
189.325000000, 705.968, 49.0256, 645.464, 60.504, 734.032
192.960000000, 707.128, 49.1061, 645.112, 62.016, 732.872
195.775000000, 707.168, 49.1089, 644.944, 62.224, 732.832
198.725000000, 707.168, 49.1089, 644.896, 62.272, 732.832
201.935000000, 708.936, 49.2317, 651.512, 57.424, 731.064
205.650000000, 711.304, 49.3961, 649.384, 61.92, 728.696
210.110000000, 721.2, 50.0833, 661.816, 59.384, 718.8
215.145000000, 730.704, 50.7433, 666.512, 64.192, 709.296
219.225000000, 734.688, 51.02, 669.984, 64.704, 705.312
223.800000000, 734.808, 51.0283, 669.256, 65.552, 705.192
226.385000000, 734.808, 51.0283, 668.928, 65.88, 705.192
230.410000000, 739.752, 51.3717, 676.896, 62.856, 700.248
234.650000000, 751.488, 52.1867, 682.36, 69.128, 688.512
240.070000000, 754.584, 52.4017, 684.664, 69.92, 685.416
245.170000000, 762.688, 52.9644, 691.584, 71.104, 677.312
