Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
4.979000000, 37.768, 4.36624, 27.496, 10.272, 827.232
7.693000000, 42.44, 4.90636, 31.76, 10.68, 822.56
11.346000000, 47.936, 5.54173, 37.376, 10.56, 817.064
14.103000000, 50.68, 5.85896, 40.2, 10.48, 814.32
16.845000000, 56.352, 6.51468, 45.296, 11.056, 808.648
19.580000000, 62.256, 7.19723, 50.832, 11.424, 802.744
22.252000000, 67.352, 7.78636, 55.92, 11.432, 797.648
25.001000000, 73.12, 8.45318, 61.296, 11.824, 791.88
28.500000000, 78.648, 9.09225, 66.352, 12.296, 786.352
31.480000000, 84.48, 9.76647, 71.536, 12.944, 780.52
35.320000000, 97.32, 11.2509, 82.24, 15.08, 767.68
38.694000000, 106.272, 12.2858, 92.12, 14.152, 758.728
42.211000000, 110.384, 12.7612, 93.952, 16.432, 754.616
48.872000000, 114.808, 13.2726, 93.432, 21.376, 750.192
54.440000000, 129.432, 14.9632, 106.136, 23.296, 735.568
57.208000000, 138.648, 16.0287, 115.232, 23.416, 726.352
59.934000000, 147.512, 17.0534, 122.984, 24.528, 717.488
62.801000000, 158.208, 18.2899, 133.056, 25.152, 706.792
68.471000000, 160.208, 18.5212, 134.168, 26.04, 704.792
73.364000000, 164.088, 18.9697, 136.648, 27.44, 700.912
77.357000000, 165.592, 19.1436, 136.192, 29.4, 699.408
81.332000000, 167.8, 19.3988, 138.184, 29.616, 697.2
84.827000000, 171.288, 19.8021, 142.256, 29.032, 693.712
87.979000000, 175.664, 20.308, 145.616, 30.048, 689.336
92.275000000, 178.44, 20.6289, 145.008, 33.432, 686.56
97.302000000, 179.104, 20.7057, 149.84, 29.264, 685.896
101.708000000, 189.784, 21.9403, 157.32, 32.464, 675.216
104.784000000, 196.752, 22.7459, 161.744, 35.008, 668.248
107.974000000, 202.448, 23.4044, 166.256, 36.192, 662.552
111.692000000, 206.384, 23.8594, 167.448, 38.936, 658.616
116.013000000, 212.384, 24.5531, 172.432, 39.952, 652.616
119.676000000, 217.904, 25.1912, 176.008, 41.896, 647.096
122.357000000, 219.424, 25.3669, 178.048, 41.376, 645.576
125.418000000, 222.16, 25.6832, 179.264, 42.896, 642.84
128.520000000, 222.824, 25.76, 180.024, 42.8, 642.176
133.747000000, 228.112, 26.3713, 183.232, 44.88, 636.888
136.822000000, 231.352, 26.7459, 185.552, 45.8, 633.648
140.205000000, 244.36, 28.2497, 197.528, 46.832, 620.64
142.371000000, 247.96, 28.6659, 198.856, 49.104, 617.04
145.180000000, 252.856, 29.2319, 202.68, 50.176, 612.144
147.981000000, 258.448, 29.8784, 207.752, 50.696, 606.552
151.178000000, 262.664, 30.3658, 211.24, 51.424, 602.336
156.924000000, 264.688, 30.5998, 211.448, 53.24, 600.312
162.598000000, 269.216, 31.1232, 212.448, 56.768, 595.784
166.601000000, 270.584, 31.2814, 213.584, 57, 594.416
170.043000000, 274.448, 31.7281, 216.328, 58.12, 590.552
173.005000000, 278.04, 32.1434, 217.944, 60.096, 586.96
177.453000000, 290.976, 33.6388, 231.008, 59.968, 574.024
181.432000000, 305.472, 35.3147, 239.752, 65.72, 559.528
185.705000000, 315.2, 36.4393, 245.128, 70.072, 549.8
189.190000000, 319.104, 36.8906, 248.128, 70.976, 545.896
193.224000000, 322.536, 37.2874, 250.016, 72.52, 542.464
196.214000000, 326.416, 37.736, 252.976, 73.44, 538.584
199.281000000, 333.552, 38.5609, 261.336, 72.216, 531.448
202.159000000, 338.752, 39.1621, 266.048, 72.704, 526.248
206.051000000, 342.512, 39.5968, 265.984, 76.528, 522.488
209.044000000, 344.04, 39.7734, 267.104, 76.936, 520.96
212.182000000, 347.544, 40.1785, 270.016, 77.528, 517.456
214.835000000, 351.512, 40.6372, 275.224, 76.288, 513.488
218.542000000, 360.728, 41.7027, 283.6, 77.128, 504.272
222.814000000, 381.216, 44.0712, 299.808, 81.408, 483.784
226.236000000, 389.576, 45.0377, 306.208, 83.368, 475.424
229.968000000, 404.336, 46.744, 316.848, 87.488, 460.664
233.138000000, 409.752, 47.3702, 324.8, 84.952, 455.248
236.387000000, 414.272, 47.8927, 326.792, 87.48, 450.728
240.108000000, 420.88, 48.6566, 331.152, 89.728, 444.12
243.602000000, 422.752, 48.8731, 330.92, 91.832, 442.248
246.867000000, 423.744, 48.9877, 331.328, 92.416, 441.256
249.664000000, 429.392, 49.6407, 335.568, 93.824, 435.608
253.940000000, 442.752, 51.1852, 346.128, 96.624, 422.248
257.326000000, 455.88, 52.7029, 361.52, 94.36, 409.12
260.323000000, 466.472, 53.9274, 370.208, 96.264, 398.528
263.522000000, 473.856, 54.781, 373.56, 100.296, 391.144
267.805000000, 482.272, 55.754, 378.52, 103.752, 382.728
271.088000000, 489.528, 56.5928, 385.256, 104.272, 375.472
275.057000000, 495.368, 57.268, 389.832, 105.536, 369.632
278.468000000, 498.28, 57.6046, 390.632, 107.648, 366.72
282.008000000, 506.088, 58.5073, 395.208, 110.88, 358.912
285.538000000, 511.552, 59.139, 398.896, 112.656, 353.448
289.650000000, 517.48, 59.8243, 402.552, 114.928, 347.52
293.025000000, 520.304, 60.1508, 403.584, 116.72, 344.696
297.064000000, 525, 60.6936, 411.096, 113.904, 340
299.908000000, 528.912, 61.1459, 412.08, 116.832, 336.088
303.744000000, 533.936, 61.7267, 413.864, 120.072, 331.064
306.463000000, 540.216, 62.4527, 418.592, 121.624, 324.784
