Goal x, Goal y, Goal z, Planner
1.57238, -3.9039, 0.474739, aep
0.835643, -3.79492, 1.14208, aep
-0.0282726, -4.26191, 1.3307, aep
-1.14986, -3.49414, 1.77214, aep
-1.91857, -3.86166, 2.29561, aep
-2.37092, -4.75197, 2.24338, aep
-3.1943, -4.63425, 1.68823, aep
-4.14766, -4.49058, 1.95368, aep
-4.76706, -4.61944, 1.17924, aep
-5.43648, -3.48909, 0.543714, aep
-5.99145, -3.33101, 1.36043, aep
-5.85587, -2.34946, 1.49525, aep
-5.73886, -1.35742, 1.54177, aep
-5.31433, -0.87866, 2.31024, aep
-4.42861, -0.453064, 2.49566, aep
-3.61671, 0.0662295, 2.22892, aep
-3.33422, 0.525139, 1.38654, aep
-3.24096, 0.567584, 0.391808, aep
-2.51643, -0.0654271, 0.119148, aep
-2.10183, -0.974079, 0.168734, aep
-1.83901, -1.75305, 0.738063, aep
-0.88141, -1.57329, 0.96319, aep
0.0237318, -1.87875, 1.95738, aep
0.297028, -0.923906, 1.84084, aep
0.949991, -0.653446, 1.13339, aep
1.07254, 0.30386, 1.3952, aep
1.96687, 0.733775, 0.47243, aep
2.83525, 0.273386, 0.656717, aep
3.62393, -0.34133, 0.646159, aep
4.11853, -0.48429, 1.50344, aep
5.35247, 0.0380285, 1.79937, aep
5.98613, -0.660182, 1.46623, aep
7.27589, -0.0121281, 1.75964, aep
8.04761, -0.642132, 1.84648, aep
8.94472, -0.989425, 1.8304, rrt
9.9995, -0.822493, 1.40993, rrt
10.977, -0.657606, 1.54182, rrt
10.0998, -1.12963, 1.45388, rrt
9.13285, -0.897707, 1.34765, rrt
8.13296, -0.890354, 1.33446, rrt
7.17006, -1.16009, 1.32666, rrt
6.21434, -0.866827, 1.35122, rrt
5.22517, -0.734344, 1.41448, rrt
4.22935, -0.825599, 1.41834, rrt
3.38311, -0.978549, 1.24528, rrt
2.46945, -1.15046, 1.61362, rrt
1.55467, -1.04312, 1.59018, rrt
0.723884, -1.59015, 1.48743, rrt
-0.275654, -1.59874, 1.45827, rrt
-1.20201, -1.48735, 1.09847, rrt
-2.05412, -2.00879, 1.14334, rrt
-3.01911, -1.91659, 1.38888, rrt
-3.9875, -2.15207, 1.47124, rrt
-4.71886, -1.89389, 0.840009, rrt
-5.04721, -2.82207, 1.01512, rrt
-4.80212, -3.79111, 0.985205, rrt
-4.08548, -4.4885, 0.976659, rrt
-3.55692, -4.04034, 1.69762, rrt
-2.69717, -4.54383, 1.78317, rrt
-1.89424, -4.27902, 2.31719, rrt
-1.0442, -4.61755, 1.91365, rrt
-0.162125, -4.20762, 2.14582, rrt
0.827933, -4.2717, 2.27103, rrt
1.15856, -4.90958, 1.72421, rrt
1.60893, -5.56485, 1.11775, aep
1.49862, -6.48143, 0.733403, aep
0.83131, -7.01682, 1.25114, aep
-0.112668, -7.316, 1.11186, aep
-1.11074, -7.27116, 1.06887, aep
-2.39715, -6.86647, 1.48058, aep
-3.34845, -6.798, 1.18002, aep
-4.36767, -6.68605, 2.14641, aep
-4.42425, -6.99754, 1.19785, aep
-5.20897, -7.26566, 0.638991, aep
-5.8341, -8.04376, 0.700383, aep
-5.66242, -9.01089, 0.887968, aep
-4.91102, -9.86683, 1.77385, aep
-3.99066, -9.50484, 1.92189, aep
-2.64914, -9.71172, 1.57568, aep
-1.24162, -9.51529, 1.57278, aep
-0.697273, -9.80235, 0.784569, aep
-0.0517264, -10.4846, 1.12783, aep
0.575063, -10.0823, 1.79512, aep
1.55684, -10.0844, 1.60509, aep
2.13226, -9.61468, 2.27457, aep
2.25063, -8.62424, 2.34553, aep
2.88345, -8.21944, 1.68548, aep
2.66601, -7.26079, 1.50189, aep
3.53507, -6.28383, 1.20286, aep
4.20199, -6.25632, 0.458239, aep
5.66123, -6.22357, 0.749484, aep
5.99951, -6.80963, 1.48576, aep
6.44379, -6.22246, 2.16241, aep
6.4731, -5.22433, 2.10883, aep
6.78181, -4.58013, 1.40904, aep
7.75567, -4.50616, 1.62384, aep
8.21124, -3.64128, 1.41307, aep
8.06346, -4.10607, 2.2537, rrt
