Goal x, Goal y, Goal z, Planner
-2.65234, 18.3679, 1.67265, aep
-1.80501, 18.6974, 2.08911, aep
-1.14667, 18.7726, 2.83807, aep
-0.452414, 18.0675, 2.69348, aep
-0.136105, 17.635, 3.53782, aep
-0.0273134, 16.6547, 3.70273, aep
-0.0180726, 15.687, 3.95459, aep
-0.0439725, 14.8357, 3.43056, aep
-0.395501, 14.0463, 3.93386, aep
-0.834048, 13.2042, 3.61993, aep
-1.81129, 13.1415, 3.4173, aep
-0.94063, 12.9491, 2.96459, aep
-1.00727, 11.9521, 3.00312, aep
-1.01234, 11.0391, 2.5952, aep
-0.0231999, 10.8922, 2.59114, aep
0.0586456, 9.93108, 2.32731, aep
-0.624272, 9.54343, 1.70816, aep
-0.565405, 8.67276, 1.21983, aep
-0.683498, 8.01492, 1.96367, aep
-1.26157, 7.33827, 2.41972, aep
-1.88265, 6.68241, 2.84879, aep
-3.31749, 6.45964, 2.60455, aep
-3.18344, 6.023, 1.71496, aep
-2.90348, 5.06506, 1.77795, aep
-2.03485, 5.12692, 1.28637, aep
-1.14877, 5.36014, 1.68695, aep
-0.992183, 4.98933, 2.60236, aep
-0.189165, 4.41111, 2.45805, aep
0.370023, 3.58764, 2.36214, aep
0.245447, 2.80661, 2.97407, aep
0.571526, 2.99678, 2.04806, aep
0.951821, 3.82328, 1.633, aep
1.6996, 4.46149, 1.44992, aep
1.70837, 5.03379, 2.26992, aep
1.38358, 5.19415, 3.20201, aep
2.16405, 5.27182, 3.82236, aep
2.50114, 4.36342, 4.06968, aep
2.56534, 3.4082, 3.78083, aep
3.4862, 3.08519, 3.56248, aep
3.06751, 3.60532, 4.3069, aep
2.77618, 4.44819, 4.75933, aep
3.09507, 5.24577, 4.2473, aep
3.16722, 5.88331, 3.48027, aep
2.31388, 6.35209, 3.2521, aep
2.50367, 7.16649, 2.70371, aep
3.11174, 7.8224, 3.15097, aep
3.68514, 9.1278, 3.29839, aep
3.53066, 9.43825, 2.36043, aep
3.08454, 10.1875, 1.87101, aep
3.86905, 10.3962, 1.73352, rrt
3.3564, 11.2546, 1.74721, rrt
3.66691, 11.7093, 2.58203, aep
4.47554, 12.8579, 2.71587, aep
4.23639, 13.7941, 2.45815, aep
4.44806, 14.7104, 2.11825, aep
4.8206, 15.5941, 2.4016, aep
4.31919, 16.4532, 2.50442, aep
4.05556, 17.1859, 3.13181, aep
3.25146, 17.2451, 3.72336, aep
2.32424, 17.6004, 3.84152, rrt
