Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
2.888000000, 192.456, 17.496, 174.184, 18.272, 907.544
6.250000000, 231.528, 21.048, 211.2, 20.328, 868.472
11.511000000, 253.088, 23.008, 231.096, 21.992, 846.912
17.498000000, 310.288, 28.208, 283.52, 26.768, 789.712
20.905000000, 341.696, 31.0633, 312.256, 29.44, 758.304
24.837000000, 386.888, 35.1716, 351.88, 35.008, 713.112
31.719000000, 412.008, 37.4553, 373.984, 38.024, 687.992
37.324000000, 434.904, 39.5367, 395.664, 39.24, 665.096
40.801000000, 454.272, 41.2975, 414.04, 40.232, 645.728
44.265000000, 468.184, 42.5622, 426.592, 41.592, 631.816
47.257000000, 489.432, 44.4938, 446.472, 42.96, 610.568
50.750000000, 519.664, 47.2422, 475.72, 43.944, 580.336
54.145000000, 545.04, 49.5491, 498.496, 46.544, 554.96
57.715000000, 571.448, 51.9498, 523.456, 47.992, 528.552
61.012000000, 602.464, 54.7695, 552.424, 50.04, 497.536
64.275000000, 619.056, 56.2778, 567.992, 51.064, 480.944
67.841000000, 626.152, 56.9229, 573.664, 52.488, 473.848
71.048000000, 637.768, 57.9789, 583.912, 53.856, 462.232
73.898000000, 648.976, 58.9978, 594.096, 54.88, 451.024
76.977000000, 654.12, 59.4655, 598.232, 55.888, 445.88
80.689000000, 669.08, 60.8255, 612.608, 56.472, 430.92
83.782000000, 685.656, 62.3324, 627.68, 57.976, 414.344
89.362000000, 701.392, 63.7629, 635.456, 65.936, 398.608
95.306000000, 722.856, 65.7142, 651.848, 71.008, 377.144
98.799000000, 739.792, 67.2538, 668.08, 71.712, 360.208
101.882000000, 771.68, 70.1527, 698.08, 73.6, 328.32
105.208000000, 797.92, 72.5382, 723.024, 74.896, 302.08
108.333000000, 816.296, 74.2087, 740.376, 75.92, 283.704
111.186000000, 837.912, 76.1738, 759.992, 77.92, 262.088
115.336000000, 875.208, 79.5644, 794.872, 80.336, 224.792
118.619000000, 888.576, 80.7796, 807.784, 80.792, 211.424
121.588000000, 914.912, 83.1738, 833.048, 81.864, 185.088
126.282000000, 945.88, 85.9891, 855.864, 90.016, 154.12
130.184000000, 955.552, 86.8684, 863.144, 92.408, 144.448
134.540000000, 957.176, 87.016, 860.224, 96.952, 142.824
137.533000000, 957.608, 87.0553, 859.8, 97.808, 142.392
140.547000000, 957.768, 87.0698, 859.368, 98.4, 142.232
146.149000000, 962.88, 87.5345, 863.136, 99.744, 137.12
178.512000000, 978.336, 88.9396, 872.568, 105.768, 121.664
181.879000000, 983.384, 89.3985, 876.624, 106.76, 116.616
186.168000000, 984.288, 89.4807, 877.576, 106.712, 115.712
189.310000000, 984.288, 89.4807, 877.48, 106.808, 115.712
192.349000000, 984.416, 89.4924, 878.368, 106.048, 115.584
195.480000000, 984.448, 89.4953, 878.736, 105.712, 115.552
198.643000000, 984.912, 89.5375, 879.952, 104.96, 115.088
201.561000000, 985.024, 89.5476, 879.968, 105.056, 114.976
204.661000000, 985.16, 89.56, 880.192, 104.968, 114.84
207.911000000, 985.576, 89.5978, 880.336, 105.24, 114.424
211.044000000, 985.928, 89.6298, 881.272, 104.656, 114.072
215.025000000, 987.016, 89.7287, 882.872, 104.144, 112.984
218.135000000, 988.168, 89.8335, 884.672, 103.496, 111.832
221.235000000, 988.464, 89.8604, 885.16, 103.304, 111.536
224.568000000, 989.16, 89.9236, 884.888, 104.272, 110.84
228.002000000, 989.76, 89.9782, 885.656, 104.104, 110.24
230.780000000, 993.832, 90.3484, 889.848, 103.984, 106.168
230.780000000, 994.464, 90.4058, 890.504, 103.96, 105.536
