Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
11.857880, 77.264, 4.7474, 60.928, 16.336, 1550.24
18.883574, 78.904, 4.84817, 61.368, 17.536, 1548.6
38.044804, 127.896, 7.85843, 99.272, 28.624, 1499.6
66.232701, 158.928, 9.76516, 123.248, 35.68, 1468.57
98.161553, 223.912, 13.758, 175.768, 48.144, 1403.59
118.611903, 272.224, 16.7265, 214.536, 57.688, 1355.28
141.830476, 286.36, 17.5951, 222.224, 64.136, 1341.14
159.484673, 299.448, 18.3993, 234.392, 65.056, 1328.05
178.599573, 307.512, 18.8947, 240.144, 67.368, 1319.99
238.970059, 378.96, 23.2848, 301.712, 77.248, 1248.54
255.076641, 385.264, 23.6721, 303.184, 82.08, 1242.24
288.582809, 402.616, 24.7383, 316.832, 85.784, 1224.88
339.840236, 488.448, 30.0122, 390.416, 98.032, 1139.05
366.988156, 529.984, 32.5643, 430.056, 99.928, 1097.52
393.922797, 607.432, 37.323, 502.816, 104.616, 1020.07
401.224576, 613.4, 37.6897, 507.336, 106.064, 1014.1
429.562698, 699.88, 43.0034, 588.744, 111.136, 927.62
452.950844, 742.504, 45.6224, 624.984, 117.52, 884.996
475.375316, 775.736, 47.6643, 648.048, 127.688, 851.764
517.261740, 804.16, 49.4108, 663.592, 140.568, 823.34
569.194261, 825.648, 50.7311, 687.52, 138.128, 801.852
587.223990, 826.96, 50.8117, 687.008, 139.952, 800.54
643.345103, 860.824, 52.8924, 710.616, 150.208, 766.676
678.728402, 864.072, 53.092, 713.144, 150.928, 763.428
684.606117, 864.232, 53.1018, 714.776, 149.456, 763.268
710.934918, 865.936, 53.2065, 714.208, 151.728, 761.564
772.362711, 870.648, 53.496, 722.232, 148.416, 756.852
878.647542, 877.4, 53.9109, 726.224, 151.176, 750.1
973.577716, 878.368, 53.9704, 727.936, 150.432, 749.132
1141.925539, 905.224, 55.6205, 742.808, 162.416, 722.276
1160.871491, 938.112, 57.6413, 770.848, 167.264, 689.388
1188.941006, 1015.49, 62.3956, 835.808, 179.68, 612.012
