Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
9.431634, 82.44, 10.3308, 62.576, 19.864, 715.56
11.084496, 85.4, 10.7018, 64.68, 20.72, 712.6
17.153456, 114.816, 14.388, 88.832, 25.984, 683.184
22.916842, 134.592, 16.8662, 105.016, 29.576, 663.408
45.556260, 211.736, 26.5333, 162.624, 49.112, 586.264
62.115376, 289.128, 36.2316, 225.744, 63.384, 508.872
84.533091, 396.688, 49.7103, 315.528, 81.16, 401.312
114.857337, 487.416, 61.0797, 397.632, 89.784, 310.584
133.578612, 519.192, 65.0617, 422.272, 96.92, 278.808
159.744035, 539.24, 67.5739, 436.984, 102.256, 258.76
202.522306, 582.048, 72.9383, 472, 110.048, 215.952
242.026319, 612.128, 76.7078, 493.344, 118.784, 185.872
262.594188, 613.264, 76.8501, 491.352, 121.912, 184.736
286.273996, 617.448, 77.3744, 496.024, 121.424, 180.552
299.795541, 628.224, 78.7248, 503.472, 124.752, 169.776
329.156880, 648.84, 81.3083, 516.728, 132.112, 149.16
345.930417, 655.976, 82.2025, 524.792, 131.184, 142.024
384.590861, 658.68, 82.5414, 526.768, 131.912, 139.32
405.850023, 661.168, 82.8531, 528.104, 133.064, 136.832
448.161087, 665.12, 83.3484, 532.816, 132.304, 132.88
491.190816, 675.376, 84.6336, 538.44, 136.936, 122.624
540.193700, 700.056, 87.7263, 560.672, 139.384, 97.944
553.453551, 704.144, 88.2386, 565.88, 138.264, 93.856
602.360013, 707.744, 88.6897, 562.816, 144.928, 90.256
659.379748, 712.512, 89.2872, 568.496, 144.016, 85.488
696.821903, 713.768, 89.4446, 569.936, 143.832, 84.232
722.661986, 714.376, 89.5208, 571.624, 142.752, 83.624
810.136332, 715.64, 89.6792, 568.44, 147.2, 82.36
