Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
9.190535, 53.328, 10.4565, 35.936, 17.392, 456.672
14.546867, 55.92, 10.9647, 38.168, 17.752, 454.08
25.376636, 63.056, 12.3639, 44.928, 18.128, 446.944
49.023322, 128.112, 25.12, 103.28, 24.832, 381.888
73.720757, 222.008, 43.531, 184.592, 37.416, 287.992
91.369234, 285.776, 56.0345, 239.704, 46.072, 224.224
101.706113, 286.304, 56.138, 237.512, 48.792, 223.696
127.815096, 382.848, 75.0682, 328.432, 54.416, 127.152
144.898418, 414.2, 81.2157, 351.136, 63.064, 95.8
159.002144, 421.624, 82.6714, 356.344, 65.28, 88.376
201.398550, 437.856, 85.8541, 371.136, 66.72, 72.144
225.508641, 448.472, 87.9357, 374.576, 73.896, 61.528
261.989573, 464.624, 91.1027, 385.016, 79.608, 45.376
306.002326, 466.376, 91.4463, 383.24, 83.136, 43.624
370.102974, 467.28, 91.6235, 386.96, 80.32, 42.72
399.724596, 468.392, 91.8416, 388.28, 80.112, 41.608
430.234472, 468.496, 91.862, 387.872, 80.624, 41.504
472.997259, 468.12, 91.7882, 387.16, 80.96, 41.88
