Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
8.033376, 47.8, 3.31944, 42.064, 5.736, 1392.2
12.553507, 50.544, 3.51, 44.144, 6.4, 1389.46
17.733389, 66.856, 4.64278, 60.2, 6.656, 1373.14
36.137824, 138.28, 9.60278, 126.952, 11.328, 1301.72
52.716636, 226.664, 15.7406, 209.344, 17.32, 1213.34
68.016832, 314.928, 21.87, 292.296, 22.632, 1125.07
88.593557, 396.344, 27.5239, 367.2, 29.144, 1043.66
93.876292, 417.28, 28.9778, 388.736, 28.544, 1022.72
114.235865, 512.904, 35.6183, 479.648, 33.256, 927.096
131.437353, 599.984, 41.6656, 561.256, 38.728, 840.016
148.717266, 678.08, 47.0889, 630.32, 47.76, 761.92
162.852922, 696.024, 48.335, 645.56, 50.464, 743.976
183.660992, 733.136, 50.9122, 680.032, 53.104, 706.864
203.574556, 807.336, 56.065, 748.944, 58.392, 632.664
218.087078, 876.856, 60.8928, 816.424, 60.432, 563.144
244.325140, 911.952, 63.33, 844.296, 67.656, 528.048
261.307490, 914.392, 63.4994, 848.92, 65.472, 525.608
295.206423, 965.352, 67.0383, 898.856, 66.496, 474.648
312.780414, 1001.38, 69.54, 933.776, 67.6, 438.624
332.543380, 1003.33, 69.6756, 935.016, 68.312, 436.672
392.948001, 1072.48, 74.4778, 995.152, 77.328, 367.52
412.638854, 1143.66, 79.4206, 1060.59, 83.064, 296.344
450.530950, 1166.04, 80.975, 1081.72, 84.32, 273.96
474.139616, 1173.49, 81.4922, 1088.97, 84.52, 266.512
487.651227, 1176.12, 81.675, 1090.82, 85.296, 263.88
529.234959, 1180.86, 82.0044, 1094.87, 85.992, 259.136
540.550815, 1184.1, 82.2289, 1097.32, 86.776, 255.904
559.186026, 1189.37, 82.595, 1101.02, 88.352, 250.632
596.854387, 1205.1, 83.6872, 1115.57, 89.528, 234.904
626.686315, 1262.01, 87.6394, 1162.44, 99.568, 177.992
644.266056, 1279.21, 88.8339, 1178.99, 100.216, 160.792
688.233215, 1290.41, 89.6117, 1193.94, 96.464, 149.592
716.695383, 1301.97, 90.4144, 1203.82, 98.152, 138.032
736.221683, 1306.3, 90.715, 1206.1, 100.192, 133.704
754.236471, 1309.67, 90.9494, 1208.04, 101.632, 130.328
774.834748, 1313.44, 91.2111, 1207.64, 105.8, 126.56
787.478133, 1313.45, 91.2117, 1207.64, 105.808, 126.552
792.971743, 1313.57, 91.22, 1207.57, 106, 126.432
805.603095, 1314.62, 91.2933, 1208.2, 106.424, 125.376
815.847278, 1314.87, 91.3106, 1205.62, 109.248, 125.128
827.088189, 1316.55, 91.4272, 1208.12, 108.432, 123.448
853.975762, 1319.12, 91.6056, 1211.34, 107.784, 120.88
886.618827, 1325.75, 92.0661, 1216.46, 109.296, 114.248
934.469358, 1337.1, 92.8544, 1227.94, 109.16, 102.896
961.977565, 1340.22, 93.0706, 1228.82, 111.4, 99.784
986.525649, 1343.31, 93.2856, 1230.74, 112.576, 96.688
998.371966, 1344.33, 93.3561, 1232.14, 112.184, 95.672
1033.837809, 1344.33, 93.3561, 1233.61, 110.72, 95.672
1069.486505, 1347.49, 93.5756, 1238.02, 109.472, 92.512
1084.231082, 1347.49, 93.5756, 1236.26, 111.232, 92.512
1111.597735, 1348.26, 93.6289, 1236.94, 111.32, 91.744
1139.799457, 1350.1, 93.7567, 1239.5, 110.6, 89.904
1211.125173, 1363.43, 94.6828, 1249.71, 113.72, 76.568
