Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
8.903762, 61.408, 7.09919, 44.752, 16.656, 803.592
14.254237, 62.88, 7.26936, 44.016, 18.864, 802.12
31.916294, 87.672, 10.1355, 67.2, 20.472, 777.328
62.723800, 110.56, 12.7815, 82.528, 28.032, 754.44
68.309058, 117.64, 13.6, 90.704, 26.936, 747.36
76.611815, 119.128, 13.772, 91.4, 27.728, 745.872
99.423480, 158.392, 18.3112, 123.568, 34.824, 706.608
121.278172, 179.4, 20.7399, 142.28, 37.12, 685.6
138.560987, 212.44, 24.5595, 166.72, 45.72, 652.56
154.286453, 230.664, 26.6664, 184.376, 46.288, 634.336
160.688386, 234.432, 27.102, 186.304, 48.128, 630.568
169.408401, 234.704, 27.1334, 186.416, 48.288, 630.296
176.063205, 235.6, 27.237, 186.864, 48.736, 629.4
202.182919, 238.176, 27.5348, 186.464, 51.712, 626.824
249.647564, 244.184, 28.2294, 191.744, 52.44, 620.816
315.082821, 269.896, 31.2018, 214.312, 55.584, 595.104
327.141485, 297.736, 34.4203, 239.152, 58.584, 567.264
351.871930, 345.448, 39.9362, 279.376, 66.072, 519.552
367.027286, 362.424, 41.8987, 292.592, 69.832, 502.576
395.147497, 400.904, 46.3473, 319.688, 81.216, 464.096
407.783647, 403.496, 46.6469, 319.56, 83.936, 461.504
425.143075, 441.944, 51.0918, 348.752, 93.192, 423.056
439.204476, 460.344, 53.219, 360.888, 99.456, 404.656
461.786592, 484.624, 56.0259, 374.88, 109.744, 380.376
476.940234, 488.888, 56.5188, 381.728, 107.16, 376.112
500.349625, 489.08, 56.541, 383.152, 105.928, 375.92
531.391411, 499.04, 57.6925, 385.28, 113.76, 365.96
553.424873, 501.344, 57.9588, 383.088, 118.256, 363.656
591.474998, 530.592, 61.3401, 405.008, 125.584, 334.408
617.039654, 549.464, 63.5218, 420.128, 129.336, 315.536
628.215972, 571.448, 66.0634, 437.744, 133.704, 293.552
632.601086, 577.872, 66.806, 443.152, 134.72, 287.128
662.709098, 580.904, 67.1565, 442.552, 138.352, 284.096
709.184012, 598.736, 69.218, 457.016, 141.72, 266.264
720.263206, 606.656, 70.1336, 463.76, 142.896, 258.344
748.427600, 629.384, 72.7612, 477.384, 152, 235.616
757.794663, 629.72, 72.8, 478, 151.72, 235.28
914.153947, 633.904, 73.2837, 489.872, 144.032, 231.096
954.456995, 635.048, 73.416, 488.504, 146.544, 229.952
981.249732, 635.312, 73.4465, 487.184, 148.128, 229.688
1001.205600, 635.416, 73.4585, 488, 147.416, 229.584
1026.454554, 635.856, 73.5094, 488.664, 147.192, 229.144
1182.806939, 636.152, 73.5436, 479.072, 157.08, 228.848
