Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
9.269347, 174.448, 15.8589, 156.416, 18.032, 925.552
12.445391, 178.328, 16.2116, 160.28, 18.048, 921.672
29.998824, 266.896, 24.2633, 240.952, 25.944, 833.104
48.613662, 393.256, 35.7505, 355.72, 37.536, 706.744
67.450218, 513.8, 46.7091, 469.24, 44.56, 586.2
87.268807, 659.856, 59.9869, 601.416, 58.44, 440.144
105.650350, 723.312, 65.7556, 652.624, 70.688, 376.688
127.737712, 800.44, 72.7673, 722.328, 78.112, 299.56
134.877469, 821.416, 74.6742, 742, 79.416, 278.584
164.520543, 866.256, 78.7505, 780.64, 85.616, 233.744
185.479636, 883.48, 80.3164, 795.704, 87.776, 216.52
191.122209, 883.912, 80.3556, 795.992, 87.92, 216.088
204.955653, 887.584, 80.6895, 798.968, 88.616, 212.416
252.762405, 892.712, 81.1556, 797.608, 95.104, 207.288
297.876215, 957.44, 87.04, 853.672, 103.768, 142.56
326.110846, 1010.11, 91.8284, 902.168, 107.944, 89.888
350.147623, 1012.94, 92.0858, 905.552, 107.392, 87.056
385.223911, 1022.11, 92.9193, 908.84, 113.272, 77.888
423.695584, 1025.46, 93.224, 910.264, 115.2, 74.536
457.576708, 1026.18, 93.2895, 906.528, 119.656, 73.816
491.266004, 1027.06, 93.3695, 909.696, 117.368, 72.936
522.693101, 1027.32, 93.3927, 910.6, 116.72, 72.68
574.684651, 1027, 93.3636, 910.288, 116.712, 73
635.969946, 1029.48, 93.5891, 918.592, 110.888, 70.52
647.959992, 1029.73, 93.6116, 918.336, 111.392, 70.272
726.613885, 1029.38, 93.5796, 914.488, 114.888, 70.624
805.013175, 1028.6, 93.5091, 911.424, 117.176, 71.4
838.385568, 1028.19, 93.472, 909.848, 118.344, 71.808
881.859996, 1029.03, 93.5484, 908.688, 120.344, 70.968
924.630639, 1029.57, 93.5971, 908.056, 121.512, 70.432
945.462395, 1029.14, 93.5585, 908.528, 120.616, 70.856
1008.882300, 1031.43, 93.7665, 913.528, 117.904, 68.568
1058.699676, 1031.26, 93.7513, 908.816, 122.448, 68.736
1105.777259, 1031.67, 93.7884, 911.328, 120.344, 68.328
1188.404960, 1032.46, 93.8604, 911.896, 120.568, 67.536
