Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
1.005000000, 171.792, 10.5556, 154.808, 16.984, 1455.71
9.775000000, 176.368, 10.8367, 159.088, 17.28, 1451.13
17.075000000, 177.752, 10.9218, 160.344, 17.408, 1449.75
23.305000000, 178.68, 10.9788, 161.416, 17.264, 1448.82
28.805000000, 182.832, 11.2339, 165.576, 17.256, 1444.67
34.635000000, 185.248, 11.3824, 167.896, 17.352, 1442.25
39.135000000, 185.76, 11.4138, 168.416, 17.344, 1441.74
43.635000000, 185.768, 11.4143, 168.608, 17.16, 1441.73
49.000000000, 185.824, 11.4178, 168.704, 17.12, 1441.68
56.375000000, 203.928, 12.5301, 183.808, 20.12, 1423.57
65.005000000, 224.28, 13.7806, 200.736, 23.544, 1403.22
69.905000000, 224.496, 13.7939, 200.92, 23.576, 1403
74.870000000, 224.664, 13.8042, 201.04, 23.624, 1402.84
82.970000000, 227.376, 13.9709, 202.84, 24.536, 1400.12
88.000000000, 231.584, 14.2294, 205.752, 25.832, 1395.92
96.305000000, 257.12, 15.7985, 225.512, 31.608, 1370.38
102.930000000, 261.376, 16.06, 227.576, 33.8, 1366.12
107.760000000, 262.584, 16.1342, 228.336, 34.248, 1364.92
112.320000000, 262.896, 16.1534, 227.512, 35.384, 1364.6
118.300000000, 262.896, 16.1534, 227.52, 35.376, 1364.6
125.260000000, 264.8, 16.2704, 228.704, 36.096, 1362.7
131.955000000, 265.112, 16.2895, 230.688, 34.424, 1362.39
140.920000000, 283.704, 17.4319, 243.856, 39.848, 1343.8
147.415000000, 285.056, 17.515, 244.776, 40.28, 1342.44
152.780000000, 287.744, 17.6801, 247.272, 40.472, 1339.76
159.400000000, 287.912, 17.6904, 247.792, 40.12, 1339.59
166.155000000, 287.976, 17.6944, 247.232, 40.744, 1339.52
174.985000000, 287.552, 17.6683, 247.264, 40.288, 1339.95
179.580000000, 286.976, 17.6329, 247.24, 39.736, 1340.52
186.815000000, 286.976, 17.6329, 248.232, 38.744, 1340.52
191.380000000, 286.976, 17.6329, 249.096, 37.88, 1340.52
196.410000000, 286.976, 17.6329, 249.104, 37.872, 1340.52
201.635000000, 289.976, 17.8173, 251.848, 38.128, 1337.52
206.330000000, 298.984, 18.3708, 258.432, 40.552, 1328.52
212.755000000, 308.464, 18.9532, 264.776, 43.688, 1319.04
220.075000000, 333.128, 20.4687, 283.264, 49.864, 1294.37
227.710000000, 336.704, 20.6884, 285.168, 51.536, 1290.8
233.275000000, 337.72, 20.7508, 285.664, 52.056, 1289.78
240.305000000, 338.848, 20.8202, 285.392, 53.456, 1288.65
247.800000000, 354.168, 21.7615, 298.008, 56.16, 1273.33
253.375000000, 358.28, 22.0141, 301.432, 56.848, 1269.22
258.005000000, 360.248, 22.1351, 303.224, 57.024, 1267.25
264.700000000, 360.536, 22.1527, 303.536, 57, 1266.96
271.795000000, 360.728, 22.1645, 304.576, 56.152, 1266.77
280.295000000, 361.952, 22.2398, 304.416, 57.536, 1265.55
289.260000000, 361.952, 22.2398, 304.104, 57.848, 1265.55
296.755000000, 361.952, 22.2398, 303.424, 58.528, 1265.55
305.115000000, 361.952, 22.2398, 303.456, 58.496, 1265.55
311.875000000, 361.952, 22.2398, 303.816, 58.136, 1265.55
317.640000000, 361.952, 22.2398, 303.936, 58.016, 1265.55
