Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
1.007000000, 129.192, 16.1895, 104.624, 24.568, 668.808
5.948000000, 142.28, 17.8296, 114.984, 27.296, 655.72
10.691000000, 161.976, 20.2977, 132.184, 29.792, 636.024
16.037000000, 174.952, 21.9238, 143.248, 31.704, 623.048
20.981000000, 180.04, 22.5614, 148.04, 32, 617.96
27.460000000, 204.864, 25.6722, 169.008, 35.856, 593.136
33.003000000, 212.984, 26.6897, 175.008, 37.976, 585.016
39.023000000, 228.92, 28.6867, 188.952, 39.968, 569.08
45.702000000, 271.96, 34.0802, 224.432, 47.528, 526.04
49.447000000, 274.552, 34.405, 226.696, 47.856, 523.448
53.458000000, 276.768, 34.6827, 229.232, 47.536, 521.232
58.535000000, 278.848, 34.9434, 231.144, 47.704, 519.152
64.547000000, 284.824, 35.6922, 235.8, 49.024, 513.176
71.361000000, 288.472, 36.1494, 238.248, 50.224, 509.528
75.639000000, 289.6, 36.2907, 239.888, 49.712, 508.4
82.452000000, 298.512, 37.4075, 247.888, 50.624, 499.488
87.930000000, 308.832, 38.7008, 256.288, 52.544, 489.168
92.006000000, 311.664, 39.0556, 258.984, 52.68, 486.336
95.886000000, 317.32, 39.7644, 263.824, 53.496, 480.68
100.963000000, 358.256, 44.8942, 297.864, 60.392, 439.744
105.710000000, 363.608, 45.5649, 301.504, 62.104, 434.392
110.093000000, 363.632, 45.5679, 301, 62.632, 434.368
113.904000000, 363.76, 45.584, 301, 62.76, 434.24
119.451000000, 363.832, 45.593, 300.456, 63.376, 434.168
124.662000000, 366.2, 45.8897, 302.176, 64.024, 431.8
128.279000000, 369.624, 46.3188, 304.648, 64.976, 428.376
135.026000000, 403.448, 50.5574, 331.776, 71.672, 394.552
141.305000000, 408.688, 51.214, 337.176, 71.512, 389.312
147.118000000, 415.424, 52.0581, 342.384, 73.04, 382.576
151.846000000, 433.048, 54.2667, 357.264, 75.784, 364.952
157.056000000, 439.184, 55.0356, 362.096, 77.088, 358.816
163.003000000, 465.056, 58.2777, 383.12, 81.936, 332.944
166.880000000, 471.328, 59.0637, 387.496, 83.832, 326.672
172.224000000, 474.104, 59.4115, 389.04, 85.064, 323.896
177.037000000, 483.152, 60.5454, 396.224, 86.928, 314.848
180.782000000, 489.96, 61.3985, 401.328, 88.632, 308.04
186.795000000, 499.112, 62.5454, 409.032, 90.08, 298.888
192.873000000, 506.312, 63.4476, 414.288, 92.024, 291.688
196.550000000, 507.912, 63.6481, 415.464, 92.448, 290.088
202.826000000, 510.248, 63.9409, 417.32, 92.928, 287.752
209.241000000, 514.816, 64.5133, 420.8, 94.016, 283.184
213.453000000, 520.216, 65.19, 424.52, 95.696, 277.784
217.064000000, 520.696, 65.2501, 425.128, 95.568, 277.304
223.541000000, 524.24, 65.6942, 428.016, 96.224, 273.76
227.319000000, 524.592, 65.7383, 428.904, 95.688, 273.408
233.198000000, 524.792, 65.7634, 428.984, 95.808, 273.208
239.745000000, 539.856, 67.6511, 440.496, 99.36, 258.144
243.425000000, 540.176, 67.6912, 440.928, 99.248, 257.824
249.636000000, 547.312, 68.5855, 445.808, 101.504, 250.688
255.460000000, 548.4, 68.7218, 447.032, 101.368, 249.6
261.754000000, 548.712, 68.7609, 447.312, 101.4, 249.288
265.698000000, 549.32, 68.8371, 447.832, 101.488, 248.68
271.713000000, 549.84, 68.9023, 448.096, 101.744, 248.16
275.328000000, 550.2, 68.9474, 448.544, 101.656, 247.8
278.939000000, 554.08, 69.4336, 451.544, 102.536, 243.92
285.821000000, 557.904, 69.9128, 453.28, 104.624, 240.096
289.501000000, 558.416, 69.9769, 453.44, 104.976, 239.584
296.517000000, 564.36, 70.7218, 458.984, 105.376, 233.64
301.836000000, 567.176, 71.0747, 461.4, 105.776, 230.824
306.255000000, 567.656, 71.1348, 461.76, 105.896, 230.344
312.347000000, 567.736, 71.1449, 461.544, 106.192, 230.264
316.787000000, 568.488, 71.2391, 461.904, 106.584, 229.512
323.133000000, 570.248, 71.4596, 463.472, 106.776, 227.752
329.013000000, 570.656, 71.5108, 463.56, 107.096, 227.344
335.826000000, 571.096, 71.5659, 464.256, 106.84, 226.904
338.901000000, 571.2, 71.5789, 465.032, 106.168, 226.8
343.113000000, 572.016, 71.6812, 465.88, 106.136, 225.984
349.593000000, 572.944, 71.7975, 466.576, 106.368, 225.056
354.406000000, 573.04, 71.8095, 466.328, 106.712, 224.96
361.088000000, 573.136, 71.8216, 466.392, 106.744, 224.864
367.701000000, 573.304, 71.8426, 466.568, 106.736, 224.696
373.915000000, 573.352, 71.8486, 466.344, 107.008, 224.648
380.359000000, 573.584, 71.8777, 466.92, 106.664, 224.416
385.437000000, 574.288, 71.9659, 468.6, 105.688, 223.712
389.156000000, 575.152, 72.0742, 469.128, 106.024, 222.848
393.100000000, 575.384, 72.1033, 470.24, 105.144, 222.616
399.986000000, 578.84, 72.5363, 471.592, 107.248, 219.16
405.133000000, 581.128, 72.8231, 472.808, 108.32, 216.872
409.144000000, 581.392, 72.8561, 472.576, 108.816, 216.608
413.090000000, 581.936, 72.9243, 472.816, 109.12, 216.064
419.036000000, 587.616, 73.6361, 476.672, 110.944, 210.384
425.715000000, 588.616, 73.7614, 478.224, 110.392, 209.384
430.460000000, 589.064, 73.8175, 478.6, 110.464, 208.936
434.407000000, 589.296, 73.8466, 478.688, 110.608, 208.704
440.429000000, 590.088, 73.9459, 478.712, 111.376, 207.912
445.707000000, 591.656, 74.1424, 479.84, 111.816, 206.344
449.320000000, 592.696, 74.2727, 481.008, 111.688, 205.304
454.400000000, 594.16, 74.4561, 482.184, 111.976, 203.84
458.882000000, 596.936, 74.804, 484.624, 112.312, 201.064
464.313000000, 598.432, 74.9915, 486.008, 112.424, 199.568
469.791000000, 600.92, 75.3033, 487.776, 113.144, 197.08
475.480000000, 602.824, 75.5419, 488.552, 114.272, 195.176
479.422000000, 602.824, 75.5419, 488.872, 113.952, 195.176
483.902000000, 609.824, 76.419, 493.232, 116.592, 188.176
487.984000000, 612.28, 76.7268, 493.432, 118.848, 185.72
492.796000000, 615.808, 77.1689, 495.672, 120.136, 182.192
499.149000000, 617.272, 77.3524, 494.92, 122.352, 180.728
506.164000000, 619.4, 77.619, 494.624, 124.776, 178.6
512.978000000, 621.112, 77.8336, 494.592, 126.52, 176.888
519.593000000, 623.504, 78.1333, 495.648, 127.856, 174.496
525.669000000, 623.864, 78.1784, 495.824, 128.04, 174.136
530.820000000, 625.488, 78.382, 496.904, 128.584, 172.512
534.969000000, 626.936, 78.5634, 498.848, 128.088, 171.064
538.649000000, 626.944, 78.5644, 498.624, 128.32, 171.056
545.131000000, 627.04, 78.5764, 497.872, 129.168, 170.96
550.280000000, 627.048, 78.5774, 497.088, 129.96, 170.952
556.027000000, 627.088, 78.5825, 496.624, 130.464, 170.912
560.907000000, 627.24, 78.6015, 496.92, 130.32, 170.76
564.588000000, 627.336, 78.6135, 496.936, 130.4, 170.664
569.465000000, 627.336, 78.6135, 497.328, 130.008, 170.664
