Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
1.010000000, 49.744, 9.75373, 36.16, 13.584, 460.256
7.222000000, 56.12, 11.0039, 42.04, 14.08, 453.88
11.171000000, 59.024, 11.5733, 44.216, 14.808, 450.976
15.186000000, 61.16, 11.9922, 46.136, 15.024, 448.84
19.680000000, 63.8, 12.5098, 47.896, 15.904, 446.2
23.689000000, 66.752, 13.0886, 50.504, 16.248, 443.248
27.170000000, 73.504, 14.4125, 56.368, 17.136, 436.496
31.252000000, 78.376, 15.3678, 59.544, 18.832, 431.624
35.332000000, 85.456, 16.7561, 65.976, 19.48, 424.544
41.819000000, 138.584, 27.1733, 113.392, 25.192, 371.416
46.185000000, 144.4, 28.3137, 118.408, 25.992, 365.6
49.868000000, 154.96, 30.3843, 124.768, 30.192, 355.04
56.348000000, 160.224, 31.4165, 129.016, 31.208, 349.776
60.762000000, 178.776, 35.0541, 145.824, 32.952, 331.224
65.108000000, 206.872, 40.5631, 170.2, 36.672, 303.128
69.454000000, 222.248, 43.578, 183.88, 38.368, 287.752
76.335000000, 245.768, 48.1898, 205.368, 40.4, 264.232
80.949000000, 252.792, 49.5671, 211.016, 41.776, 257.208
84.627000000, 253.464, 49.6988, 212.184, 41.28, 256.536
90.106000000, 261.424, 51.2596, 220.024, 41.4, 248.576
96.665000000, 326.712, 64.0612, 276.792, 49.92, 183.288
101.740000000, 328.504, 64.4125, 277.08, 51.424, 181.496
106.287000000, 328.864, 64.4831, 277.648, 51.216, 181.136
110.398000000, 332.448, 65.1859, 281.184, 51.264, 177.552
115.676000000, 332.992, 65.2925, 282.384, 50.608, 177.008
122.023000000, 334.152, 65.52, 282.608, 51.544, 175.848
126.170000000, 334.568, 65.6016, 281.208, 53.36, 175.432
132.185000000, 336.736, 66.0267, 282.872, 53.864, 173.264
137.763000000, 339.176, 66.5051, 285.56, 53.616, 170.824
141.774000000, 339.176, 66.5051, 285.576, 53.6, 170.824
147.456000000, 339.176, 66.5051, 285.632, 53.544, 170.824
153.401000000, 340.536, 66.7718, 287.696, 52.84, 169.464
157.480000000, 341.832, 67.0259, 289.088, 52.744, 168.168
161.960000000, 342.648, 67.1859, 289.944, 52.704, 167.352
167.506000000, 359.128, 70.4173, 303.928, 55.2, 150.872
173.528000000, 359.608, 70.5114, 304.08, 55.528, 150.392
178.339000000, 359.648, 70.5192, 304.128, 55.52, 150.352
182.887000000, 359.928, 70.5741, 304.496, 55.432, 150.072
189.096000000, 359.936, 70.5757, 304.792, 55.144, 150.064
193.591000000, 359.936, 70.5757, 304.824, 55.112, 150.064
198.271000000, 359.936, 70.5757, 304.968, 54.968, 150.064
202.817000000, 360.28, 70.6431, 304.512, 55.768, 149.72
207.163000000, 362.144, 71.0086, 305.344, 56.8, 147.856
213.309000000, 364.424, 71.4557, 307.352, 57.072, 145.576
217.253000000, 364.424, 71.4557, 306.016, 58.408, 145.576
223.335000000, 364.744, 71.5184, 306.536, 58.208, 145.256
230.214000000, 365.864, 71.738, 307.328, 58.536, 144.136
233.760000000, 365.864, 71.738, 307.744, 58.12, 144.136
237.704000000, 365.864, 71.738, 307.784, 58.08, 144.136
242.533000000, 367.472, 72.0533, 309.2, 58.272, 142.528
246.544000000, 373.376, 73.211, 311.864, 61.512, 136.624
251.089000000, 373.408, 73.2173, 311.024, 62.384, 136.592
255.502000000, 373.408, 73.2173, 311.416, 61.992, 136.592
262.450000000, 373.472, 73.2298, 312.008, 61.464, 136.528
267.659000000, 373.528, 73.2408, 311.568, 61.96, 136.472
271.604000000, 373.528, 73.2408, 311.376, 62.152, 136.472
275.815000000, 373.528, 73.2408, 311.408, 62.12, 136.472
279.427000000, 373.528, 73.2408, 311.352, 62.176, 136.472
284.672000000, 373.528, 73.2408, 311.248, 62.28, 136.472
291.219000000, 373.528, 73.2408, 311.376, 62.152, 136.472
296.035000000, 373.528, 73.2408, 311.664, 61.864, 136.472
301.046000000, 373.528, 73.2408, 311.168, 62.36, 136.472
305.032000000, 373.528, 73.2408, 311.184, 62.344, 136.472
309.979000000, 373.528, 73.2408, 311.16, 62.368, 136.472
316.190000000, 373.528, 73.2408, 311.344, 62.184, 136.472
321.804000000, 397.888, 78.0173, 333.168, 64.72, 112.112
327.881000000, 407.024, 79.8086, 340.208, 66.816, 102.976
333.493000000, 418.96, 82.149, 351.056, 67.904, 91.04
338.573000000, 426.32, 83.5922, 357.016, 69.304, 83.68
343.719000000, 426.32, 83.5922, 358.136, 68.184, 83.68
348.797000000, 426.704, 83.6675, 358.544, 68.16, 83.296
355.542000000, 427, 83.7255, 358.544, 68.456, 83
359.554000000, 428.184, 83.9576, 358.752, 69.432, 81.816
364.831000000, 438.96, 86.0706, 366.528, 72.432, 71.04
368.780000000, 442.608, 86.7859, 368.376, 74.232, 67.392
373.198000000, 442.608, 86.7859, 369.16, 73.448, 67.392
378.550000000, 442.608, 86.7859, 369.208, 73.4, 67.392
383.695000000, 446.112, 87.4729, 372.112, 74, 63.888
