Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
1.015000000, 121.064, 8.40722, 105.72, 15.344, 1318.94
4.520000000, 129.96, 9.025, 113.56, 16.4, 1310.04
9.940000000, 136.68, 9.49167, 119.504, 17.176, 1303.32
16.105000000, 163.84, 11.3778, 143.816, 20.024, 1276.16
20.745000000, 173.536, 12.0511, 152.184, 21.352, 1266.46
26.585000000, 182.104, 12.6461, 160.296, 21.808, 1257.9
32.005000000, 186.344, 12.9406, 164.328, 22.016, 1253.66
36.190000000, 188.992, 13.1244, 166.968, 22.024, 1251.01
42.420000000, 229.408, 15.9311, 202.912, 26.496, 1210.59
46.250000000, 242.616, 16.8483, 214.144, 28.472, 1197.38
52.090000000, 262.288, 18.2144, 230.744, 31.544, 1177.71
58.060000000, 266.976, 18.54, 234.744, 32.232, 1173.02
62.280000000, 266.976, 18.54, 234.656, 32.32, 1173.02
68.510000000, 283.944, 19.7183, 249.472, 34.472, 1156.06
71.885000000, 296.448, 20.5867, 261.048, 35.4, 1143.55
76.040000000, 302.576, 21.0122, 266.208, 36.368, 1137.42
79.480000000, 302.856, 21.0317, 266.512, 36.344, 1137.14
84.510000000, 304.88, 21.1722, 268.52, 36.36, 1135.12
89.540000000, 308.304, 21.41, 271.944, 36.36, 1131.7
94.570000000, 309.152, 21.4689, 272.816, 36.336, 1130.85
99.600000000, 310.296, 21.5483, 273.952, 36.344, 1129.7
103.755000000, 310.896, 21.59, 274.56, 36.336, 1129.1
108.395000000, 311.144, 21.6072, 274.8, 36.344, 1128.86
113.360000000, 315.752, 21.9272, 279.416, 36.336, 1124.25
117.515000000, 318.792, 22.1383, 282.432, 36.36, 1121.21
122.935000000, 327.392, 22.7356, 290.672, 36.72, 1112.61
126.370000000, 340.424, 23.6406, 302.72, 37.704, 1099.58
132.670000000, 349.28, 24.2556, 310.976, 38.304, 1090.72
138.965000000, 365.056, 25.3511, 325.608, 39.448, 1074.94
145.210000000, 375.68, 26.0889, 335.096, 40.584, 1064.32
148.650000000, 375.744, 26.0933, 335.168, 40.576, 1064.26
153.245000000, 375.912, 26.105, 335.368, 40.544, 1064.09
157.075000000, 377.568, 26.22, 336.992, 40.576, 1062.43
163.240000000, 415.368, 28.845, 371.632, 43.736, 1024.63
167.460000000, 427.504, 29.6878, 382.776, 44.728, 1012.5
173.300000000, 433.104, 30.0767, 388.232, 44.872, 1006.9
178.655000000, 435.72, 30.2583, 390.664, 45.056, 1004.28
183.685000000, 436.256, 30.2956, 391.168, 45.088, 1003.74
187.060000000, 439.272, 30.505, 393.808, 45.464, 1000.73
190.565000000, 440.76, 30.6083, 395.312, 45.448, 999.24
194.720000000, 442.776, 30.7483, 397.016, 45.76, 997.224
200.160000000, 443.456, 30.7956, 397.696, 45.76, 996.544
205.530000000, 443.864, 30.8239, 398.024, 45.84, 996.136
209.750000000, 444.048, 30.8367, 398.208, 45.84, 995.952
215.655000000, 445.4, 30.9306, 399.512, 45.888, 994.6
220.685000000, 446.96, 31.0389, 401.032, 45.928, 993.04
226.105000000, 448.512, 31.1467, 402.592, 45.92, 991.488
232.270000000, 457.616, 31.7789, 411.688, 45.928, 982.384
237.625000000, 461.72, 32.0639, 415.328, 46.392, 978.28
242.655000000, 461.728, 32.0644, 415.336, 46.392, 978.272
248.895000000, 462.36, 32.1083, 415.976, 46.384, 977.64
255.060000000, 464.208, 32.2367, 417.808, 46.4, 975.792
258.435000000, 464.328, 32.245, 417.928, 46.4, 975.672
263.855000000, 464.832, 32.28, 418.432, 46.4, 975.168
267.245000000, 464.968, 32.2894, 418.568, 46.4, 975.032
273.475000000, 465, 32.2917, 418.592, 46.408, 975
276.915000000, 465.064, 32.2961, 418.688, 46.376, 974.936
280.355000000, 465.32, 32.3139, 418.96, 46.36, 974.68
286.585000000, 465.408, 32.32, 419, 46.408, 974.592
291.680000000, 482.152, 33.4828, 434.24, 47.912, 957.848
295.120000000, 498.984, 34.6517, 449.68, 49.304, 941.016
298.625000000, 513.128, 35.6339, 462.68, 50.448, 926.872
302.845000000, 527.864, 36.6572, 476.136, 51.728, 912.136
307.000000000, 531.096, 36.8817, 479.32, 51.776, 908.904
312.025000000, 533.016, 37.015, 481.24, 51.776, 906.984
316.245000000, 534.064, 37.0878, 482.296, 51.768, 905.936
322.475000000, 535.92, 37.2167, 484.064, 51.856, 904.08
326.695000000, 536.736, 37.2733, 484.872, 51.864, 903.264
330.460000000, 538.016, 37.3622, 486.184, 51.832, 901.984
335.450000000, 540.072, 37.505, 488.232, 51.84, 899.928
339.280000000, 540.312, 37.5217, 488.48, 51.832, 899.688
343.920000000, 540.312, 37.5217, 488.432, 51.88, 899.688
348.140000000, 540.72, 37.55, 488.792, 51.928, 899.28
353.170000000, 544.6, 37.8194, 492.304, 52.296, 895.4
357.000000000, 544.64, 37.8222, 492.32, 52.32, 895.36
362.485000000, 544.64, 37.8222, 492.344, 52.296, 895.36
367.860000000, 544.64, 37.8222, 492.352, 52.288, 895.36
372.890000000, 545.032, 37.8494, 492.728, 52.304, 894.968
377.350000000, 547.6, 38.0278, 495.208, 52.392, 892.4
382.705000000, 548.16, 38.0667, 495.728, 52.432, 891.84
388.125000000, 548.184, 38.0683, 495.744, 52.44, 891.816
