Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
1.009000000, 32.216, 3.72439, 26.208, 6.008, 832.784
7.893000000, 35.648, 4.12116, 28.344, 7.304, 829.352
14.242000000, 42.544, 4.91838, 33.36, 9.184, 822.456
16.991000000, 49.392, 5.71006, 39.184, 10.208, 815.608
21.542000000, 63.104, 7.29526, 49.8, 13.304, 801.896
25.087000000, 67.512, 7.80486, 52.536, 14.976, 797.488
29.234000000, 73.448, 8.4911, 56.384, 17.064, 791.552
33.715000000, 80.728, 9.33272, 62.272, 18.456, 784.272
40.730000000, 83.816, 9.68971, 63.096, 20.72, 781.184
47.145000000, 83.952, 9.70543, 62.184, 21.768, 781.048
53.960000000, 92.8, 10.7283, 69.32, 23.48, 772.2
57.974000000, 92.832, 10.732, 70.888, 21.944, 772.168
61.919000000, 92.912, 10.7413, 71.416, 21.496, 772.088
66.344000000, 106.496, 12.3117, 82.6, 23.896, 758.504
69.896000000, 108.904, 12.5901, 83.04, 25.864, 756.096
74.778000000, 123.96, 14.3306, 94.248, 29.712, 741.04
80.858000000, 125.976, 14.5637, 94.84, 31.136, 739.024
87.674000000, 132.248, 15.2888, 99.936, 32.312, 732.752
93.619000000, 135.848, 15.705, 103.128, 32.72, 729.152
98.432000000, 141.272, 16.332, 109.04, 32.232, 723.728
104.776000000, 141.712, 16.3829, 109.416, 32.296, 723.288
109.388000000, 141.728, 16.3847, 109.296, 32.432, 723.272
116.066000000, 141.736, 16.3857, 107.8, 33.936, 723.264
120.943000000, 144.672, 16.7251, 110.008, 34.664, 720.328
127.355000000, 147.704, 17.0756, 110.448, 37.256, 717.296
132.902000000, 147.704, 17.0756, 110.496, 37.208, 717.296
136.449000000, 147.704, 17.0756, 110.496, 37.208, 717.296
140.126000000, 147.704, 17.0756, 110.496, 37.208, 717.296
145.410000000, 174.768, 20.2044, 134.016, 40.752, 690.232
149.423000000, 183.712, 21.2384, 141.144, 42.568, 681.288
155.103000000, 187.432, 21.6684, 143.048, 44.384, 677.568
158.715000000, 192.064, 22.2039, 146.624, 45.44, 672.936
162.162000000, 192.96, 22.3075, 147.232, 45.728, 672.04
167.848000000, 193.064, 22.3195, 147.12, 45.944, 671.936
171.998000000, 193.064, 22.3195, 147.56, 45.504, 671.936
184.810000000, 201.08, 23.2462, 153.16, 47.92, 663.92
191.429000000, 206.096, 23.8261, 156.096, 50, 658.904
198.012000000, 206.112, 23.828, 156.984, 49.128, 658.888
201.497000000, 206.144, 23.8317, 154.992, 51.152, 658.856
211.513000000, 220.464, 25.4872, 167.68, 52.784, 644.536
215.659000000, 225.168, 26.031, 170.128, 55.04, 639.832
220.210000000, 228.792, 26.4499, 173.512, 55.28, 636.208
224.624000000, 230.8, 26.6821, 173.176, 57.624, 634.2
230.169000000, 235.056, 27.1741, 175.936, 59.12, 629.944
233.784000000, 245.128, 28.3385, 183.544, 61.584, 619.872
238.530000000, 253.12, 29.2624, 188.76, 64.36, 611.88
245.877000000, 264.512, 30.5794, 199.288, 65.224, 600.488
250.161000000, 272.432, 31.495, 206.84, 65.592, 592.568
255.442000000, 279.664, 32.3311, 209.672, 69.992, 585.336
258.922000000, 285.328, 32.9859, 214.616, 70.712, 579.672
263.338000000, 290.968, 33.6379, 218.936, 72.032, 574.032
268.216000000, 293.248, 33.9015, 221.08, 72.168, 571.752
272.296000000, 296.896, 34.3232, 224.44, 72.456, 568.104
277.548000000, 314.552, 36.3644, 237.944, 76.608, 550.448
279.255000000, 314.56, 36.3653, 237.952, 76.608, 550.44
282.867000000, 314.616, 36.3718, 237.88, 76.736, 550.384
289.815000000, 332.992, 38.4962, 251.136, 81.856, 532.008
295.696000000, 335.048, 38.7339, 250.352, 84.696, 529.952
300.044000000, 335.048, 38.7339, 249.464, 85.584, 529.952
303.590000000, 335.048, 38.7339, 249.464, 85.584, 529.952
310.201000000, 342.672, 39.6153, 254.944, 87.728, 522.328
312.645000000, 346.816, 40.0943, 256.968, 89.848, 518.184
317.128000000, 347.176, 40.136, 256.768, 90.408, 517.824
321.611000000, 347.176, 40.136, 257.528, 89.648, 517.824
326.841000000, 347.248, 40.1443, 257.848, 89.4, 517.752
331.717000000, 351.184, 40.5993, 261.856, 89.328, 513.816
338.465000000, 396.208, 45.8044, 297.2, 99.008, 468.792
342.678000000, 398.304, 46.0467, 298.992, 99.312, 466.696
348.890000000, 431.696, 49.9071, 325.528, 106.168, 433.304
353.305000000, 432.864, 50.0421, 323.464, 109.4, 432.136
358.584000000, 433.64, 50.1318, 324.76, 108.88, 431.36
364.664000000, 434.392, 50.2187, 325.464, 108.928, 430.608
371.080000000, 447.2, 51.6994, 332.416, 114.784, 417.8
376.893000000, 450.632, 52.0962, 334.16, 116.472, 414.368
383.441000000, 455.936, 52.7094, 338.72, 117.216, 409.064
388.388000000, 461.256, 53.3244, 342.672, 118.584, 403.744
391.998000000, 463.288, 53.5593, 344.088, 119.2, 401.712
397.478000000, 473.712, 54.7644, 352.152, 121.56, 391.288
401.889000000, 477.296, 55.1787, 354.656, 122.64, 387.704
407.500000000, 482.784, 55.8132, 358.4, 124.384, 382.216
414.446000000, 484.672, 56.0314, 358.736, 125.936, 380.328
418.060000000, 484.672, 56.0314, 358.128, 126.544, 380.328
424.606000000, 485.376, 56.1128, 358.616, 126.76, 379.624
429.488000000, 486.16, 56.2035, 359.568, 126.592, 378.84
434.901000000, 486.352, 56.2257, 360.656, 125.696, 378.648
440.882000000, 515.592, 59.606, 383.928, 131.664, 349.408
445.227000000, 518.56, 59.9491, 384.792, 133.768, 346.44
452.109000000, 519.56, 60.0647, 384.16, 135.4, 345.44
457.525000000, 521.824, 60.3265, 383.376, 138.448, 343.176
461.075000000, 522.976, 60.4597, 386.52, 136.456, 342.024
465.357000000, 524.264, 60.6086, 385.088, 139.176, 340.736
470.101000000, 524.272, 60.6095, 386.76, 137.512, 340.728
475.382000000, 524.944, 60.6872, 384.52, 140.424, 340.056
478.993000000, 525, 60.6936, 384.24, 140.76, 340
485.207000000, 526.488, 60.8657, 385.872, 140.616, 338.512
491.286000000, 526.496, 60.8666, 385.088, 141.408, 338.504
495.972000000, 526.728, 60.8934, 383.656, 143.072, 338.272
499.650000000, 526.816, 60.9036, 383.064, 143.752, 338.184
504.864000000, 526.824, 60.9045, 382.984, 143.84, 338.176
510.609000000, 528.32, 61.0775, 385.52, 142.8, 336.68
514.243000000, 528.584, 61.108, 385.96, 142.624, 336.416
519.656000000, 529.28, 61.1884, 385.752, 143.528, 335.72
522.868000000, 529.28, 61.1884, 385.232, 144.048, 335.72
527.547000000, 529.28, 61.1884, 385.112, 144.168, 335.72
532.827000000, 529.28, 61.1884, 385.576, 143.704, 335.72
534.469000000, 529.28, 61.1884, 385.504, 143.776, 335.72
540.480000000, 530.328, 61.3096, 384.96, 145.368, 334.672
546.164000000, 530.336, 61.3105, 385.208, 145.128, 334.664
550.791000000, 530.408, 61.3188, 386.472, 143.936, 334.592
556.202000000, 530.408, 61.3188, 386.56, 143.848, 334.592
560.347000000, 530.408, 61.3188, 386.312, 144.096, 334.592
564.025000000, 530.408, 61.3188, 386.328, 144.08, 334.592
568.104000000, 530.408, 61.3188, 386.296, 144.112, 334.592
572.048000000, 530.408, 61.3188, 386.088, 144.32, 334.592
576.859000000, 530.664, 61.3484, 388.44, 142.224, 334.336
582.675000000, 531.824, 61.4825, 389.184, 142.64, 333.176
587.487000000, 531.912, 61.4927, 388.744, 143.168, 333.088
593.830000000, 536.256, 61.9949, 391.408, 144.848, 328.744
600.311000000, 536.32, 62.0023, 391.552, 144.768, 328.68
605.929000000, 536.32, 62.0023, 390.616, 145.704, 328.68
610.744000000, 543.768, 62.8634, 396.712, 147.056, 321.232
616.830000000, 561.536, 64.9175, 408.528, 153.008, 303.464
623.111000000, 561.928, 64.9628, 406.904, 155.024, 303.072
628.935000000, 570.816, 65.9903, 413.936, 156.88, 294.184
634.624000000, 575.16, 66.4925, 414.904, 160.256, 289.84
640.177000000, 575.16, 66.4925, 415.12, 160.04, 289.84
646.327000000, 575.192, 66.4962, 415.504, 159.688, 289.808
652.814000000, 575.192, 66.4962, 415.984, 159.208, 289.808
659.229000000, 575.208, 66.498, 416.952, 158.256, 289.792
674.311000000, 576.768, 66.6784, 416.064, 160.704, 288.232
680.593000000, 582.208, 67.3073, 419.36, 162.848, 282.792
686.678000000, 583.296, 67.4331, 419.928, 163.368, 281.704
691.493000000, 590.024, 68.2109, 425.104, 164.92, 274.976
695.374000000, 599.136, 69.2643, 431.832, 167.304, 265.864
699.188000000, 603.304, 69.7461, 434.24, 169.064, 261.696
704.203000000, 608.688, 70.3686, 437.568, 171.12, 256.312
707.889000000, 609.336, 70.4435, 438.112, 171.224, 255.664
711.529000000, 611.912, 70.7413, 440.088, 171.824, 253.088
717.673000000, 619.008, 71.5616, 443.416, 175.592, 245.992
724.023000000, 620.32, 71.7133, 442.992, 177.328, 244.68
728.909000000, 620.32, 71.7133, 443.112, 177.208, 244.68
733.857000000, 623.544, 72.086, 446.056, 177.488, 241.456
739.806000000, 640.856, 74.0874, 459.72, 181.136, 224.144
745.020000000, 655.432, 75.7725, 472.736, 182.696, 209.568
750.031000000, 665.176, 76.899, 482.504, 182.672, 199.824
753.577000000, 685.464, 79.2444, 501.432, 184.032, 179.536
758.061000000, 692.976, 80.1128, 506.624, 186.352, 172.024
761.542000000, 701.352, 81.0812, 513.984, 187.368, 163.648
766.490000000, 709.864, 82.0652, 520.712, 189.152, 155.136
772.373000000, 717.104, 82.9022, 526.304, 190.8, 147.896
779.254000000, 724.68, 83.778, 530.88, 193.8, 140.32
783.936000000, 730.536, 84.455, 533.92, 196.616, 134.464
788.750000000, 734.448, 84.9073, 537.664, 196.784, 130.552
794.696000000, 744.224, 86.0375, 546.808, 197.416, 120.776
800.243000000, 750.208, 86.7292, 550.184, 200.024, 114.792
804.258000000, 756.248, 87.4275, 555.312, 200.936, 108.752
809.873000000, 763.4, 88.2543, 559.384, 204.016, 101.6
815.489000000, 763.592, 88.2765, 560.848, 202.744, 101.408
821.301000000, 764.408, 88.3709, 561.016, 203.392, 100.592
825.393000000, 776.648, 89.7859, 568.552, 208.096, 88.352
831.074000000, 777.264, 89.8571, 569.256, 208.008, 87.736
838.027000000, 786.408, 90.9142, 574.424, 211.984, 78.592
842.974000000, 789.912, 91.3193, 577.496, 212.416, 75.088
849.390000000, 791.048, 91.4506, 580.712, 210.336, 73.952
853.607000000, 791.072, 91.4534, 580.792, 210.28, 73.928
857.685000000, 791.072, 91.4534, 581.392, 209.68, 73.928
862.564000000, 791.072, 91.4534, 580.96, 210.112, 73.928
867.910000000, 791.072, 91.4534, 580.912, 210.16, 73.928
872.720000000, 791.072, 91.4534, 579.552, 211.52, 73.928
878.931000000, 791.888, 91.5477, 579.712, 212.176, 73.112
884.211000000, 791.888, 91.5477, 578.808, 213.08, 73.112
888.631000000, 791.888, 91.5477, 580.016, 211.872, 73.112
894.446000000, 791.92, 91.5514, 579.928, 211.992, 73.08
898.859000000, 792.816, 91.655, 581.08, 211.736, 72.184
904.409000000, 795.136, 91.9232, 583.64, 211.496, 69.864
908.559000000, 797.208, 92.1628, 585.336, 211.872, 67.792
914.513000000, 797.4, 92.185, 584.568, 212.832, 67.6
919.392000000, 797.68, 92.2173, 584.096, 213.584, 67.32
923.669000000, 798.288, 92.2876, 584.032, 214.256, 66.712
929.754000000, 798.536, 92.3163, 583.36, 215.176, 66.464
934.368000000, 799.256, 92.3995, 585.168, 214.088, 65.744
937.917000000, 799.28, 92.4023, 584.352, 214.928, 65.72
943.958000000, 799.312, 92.406, 585.024, 214.288, 65.688
947.639000000, 799.32, 92.4069, 584.736, 214.584, 65.68
954.357000000, 799.816, 92.4643, 584.368, 215.448, 65.184
960.921000000, 799.816, 92.4643, 583.936, 215.88, 65.184
966.867000000, 799.816, 92.4643, 583.96, 215.856, 65.184
973.278000000, 799.816, 92.4643, 583.696, 216.12, 65.184
980.090000000, 799.816, 92.4643, 583.976, 215.84, 65.184
984.033000000, 799.816, 92.4643, 584, 215.816, 65.184
986.343000000, 799.816, 92.4643, 584, 215.816, 65.184
989.973000000, 799.816, 92.4643, 584, 215.816, 65.184
995.722000000, 799.816, 92.4643, 584.64, 215.176, 65.184
1002.133000000, 799.84, 92.4671, 582.992, 216.848, 65.16
1007.144000000, 799.84, 92.4671, 583.184, 216.656, 65.16
1012.423000000, 799.84, 92.4671, 582.816, 217.024, 65.16
1017.187000000, 799.84, 92.4671, 583.288, 216.552, 65.16
1022.599000000, 799.84, 92.4671, 582.832, 217.008, 65.16
1029.044000000, 799.84, 92.4671, 582.928, 216.912, 65.16
1032.058000000, 799.84, 92.4671, 584.656, 215.184, 65.16
1038.013000000, 799.84, 92.4671, 583.168, 216.672, 65.16
1044.092000000, 799.84, 92.4671, 583.976, 215.864, 65.16
1049.104000000, 799.84, 92.4671, 584.736, 215.104, 65.16
1053.527000000, 799.84, 92.4671, 584.616, 215.224, 65.16
1058.011000000, 799.84, 92.4671, 584.616, 215.224, 65.16
1061.760000000, 799.84, 92.4671, 583.912, 215.928, 65.16
1068.117000000, 800.144, 92.5022, 584.088, 216.056, 64.856
1072.666000000, 800.144, 92.5022, 582.552, 217.592, 64.856
1077.947000000, 800.208, 92.5096, 583.104, 217.104, 64.792
1081.627000000, 800.424, 92.5346, 583.496, 216.928, 64.576
1086.706000000, 800.424, 92.5346, 583.376, 217.048, 64.576
1090.521000000, 800.424, 92.5346, 583.032, 217.392, 64.576
1094.069000000, 800.424, 92.5346, 582.216, 218.208, 64.576
1097.614000000, 800.44, 92.5364, 581.64, 218.8, 64.56
1102.727000000, 801.336, 92.64, 581.848, 219.488, 63.664
1109.037000000, 802.128, 92.7316, 580.84, 221.288, 62.872
1113.050000000, 802.128, 92.7316, 582.408, 219.72, 62.872
1118.904000000, 802.336, 92.7556, 582.008, 220.328, 62.664
1119.888000000, 802.352, 92.7575, 582.744, 219.608, 62.648
1124.901000000, 802.576, 92.7834, 581.976, 220.6, 62.424
1131.246000000, 802.576, 92.7834, 582.536, 220.04, 62.424
1136.591000000, 802.576, 92.7834, 581.224, 221.352, 62.424
1142.269000000, 802.576, 92.7834, 581.232, 221.344, 62.424
1147.886000000, 802.576, 92.7834, 581.84, 220.736, 62.424
1153.369000000, 802.648, 92.7917, 583.024, 219.624, 62.352
1158.115000000, 802.656, 92.7926, 581.952, 220.704, 62.344
1163.972000000, 802.672, 92.7945, 581.936, 220.736, 62.328
1170.923000000, 802.76, 92.8046, 581.88, 220.88, 62.24
1175.203000000, 802.76, 92.8046, 584.04, 218.72, 62.24
1181.222000000, 802.76, 92.8046, 583.608, 219.152, 62.24
1186.135000000, 802.76, 92.8046, 583.936, 218.824, 62.24
1189.749000000, 802.76, 92.8046, 583.928, 218.832, 62.24
