Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
1.008000000, 166.608, 15.1462, 150.696, 15.912, 933.392
8.228000000, 178.632, 16.2393, 161.216, 17.416, 921.368
12.707000000, 181, 16.4545, 162.68, 18.32, 919
18.530000000, 195.952, 17.8138, 176.504, 19.448, 904.048
24.143000000, 207.088, 18.8262, 186.744, 20.344, 892.912
29.756000000, 224.968, 20.4516, 203.2, 21.768, 875.032
35.902000000, 240.832, 21.8938, 218.464, 22.368, 859.168
40.316000000, 249.8, 22.7091, 227.256, 22.544, 850.2
46.459000000, 258.512, 23.5011, 235.072, 23.44, 841.488
52.271000000, 319.48, 29.0436, 290.208, 29.272, 780.52
55.883000000, 324.816, 29.5287, 293.336, 31.48, 775.184
60.827000000, 327.808, 29.8007, 296.432, 31.376, 772.192
64.837000000, 328.944, 29.904, 297.584, 31.36, 771.056
68.382000000, 329.408, 29.9462, 298.616, 30.792, 770.592
71.928000000, 330.4, 30.0364, 299.76, 30.64, 769.6
75.943000000, 331.16, 30.1055, 300.68, 30.48, 768.84
80.159000000, 332.376, 30.216, 302.272, 30.104, 767.624
86.304000000, 405.552, 36.8684, 371.888, 33.664, 694.448
91.047000000, 460.736, 41.8851, 423.816, 36.92, 639.264
95.861000000, 485.016, 44.0924, 440.136, 44.88, 614.984
101.608000000, 490.656, 44.6051, 444.096, 46.56, 609.344
107.358000000, 503.216, 45.7469, 453.672, 49.544, 596.784
112.901000000, 505.792, 45.9811, 455.384, 50.408, 594.208
116.647000000, 506.848, 46.0771, 456.36, 50.488, 593.152
123.259000000, 511.312, 46.4829, 459.896, 51.416, 588.688
127.402000000, 512.384, 46.5804, 460.304, 52.08, 587.616
133.747000000, 524.808, 47.7098, 469.624, 55.184, 575.192
140.424000000, 607.144, 55.1949, 545.192, 61.952, 492.856
144.500000000, 607.528, 55.2298, 545.56, 61.968, 492.472
148.049000000, 609.8, 55.4364, 547.704, 62.096, 490.2
153.126000000, 621.072, 56.4611, 557.376, 63.696, 478.928
159.562000000, 644.928, 58.6298, 576.152, 68.776, 455.072
165.044000000, 666.008, 60.5462, 594.944, 71.064, 433.992
169.391000000, 666.712, 60.6102, 595.6, 71.112, 433.288
174.937000000, 697.76, 63.4327, 620.944, 76.816, 402.24
178.420000000, 726.104, 66.0095, 648.64, 77.464, 373.896
184.766000000, 733.64, 66.6945, 653.784, 79.856, 366.36
190.298000000, 801.664, 72.8785, 719.112, 82.552, 298.336
194.174000000, 818.272, 74.3884, 734.648, 83.624, 281.728
200.811000000, 905.208, 82.2916, 815.384, 89.824, 194.792
206.494000000, 907.088, 82.4625, 815.32, 91.768, 192.912
212.313000000, 920.352, 83.6684, 827.392, 92.96, 179.648
218.657000000, 922.648, 83.8771, 828.664, 93.984, 177.352
222.333000000, 922.712, 83.8829, 828.648, 94.064, 177.288
228.145000000, 923.344, 83.9404, 828.424, 94.92, 176.656
231.759000000, 923.8, 83.9818, 828.568, 95.232, 176.2
235.376000000, 924.88, 84.08, 829.872, 95.008, 175.12
239.054000000, 926.44, 84.2218, 831.328, 95.112, 173.56
242.732000000, 927.432, 84.312, 832.552, 94.88, 172.568
248.924000000, 928.064, 84.3695, 832.36, 95.704, 171.936
252.473000000, 929.36, 84.4873, 833.368, 95.992, 170.64
256.496000000, 929.888, 84.5353, 833.656, 96.232, 170.112
261.442000000, 929.864, 84.5331, 833, 96.864, 170.136
268.339000000, 930.24, 84.5673, 833.144, 97.096, 169.76
273.150000000, 930.24, 84.5673, 833.336, 96.904, 169.76
279.100000000, 930.24, 84.5673, 833.336, 96.904, 169.76
284.310000000, 931.496, 84.6815, 834.832, 96.664, 168.504
289.592000000, 931.112, 84.6465, 834.896, 96.216, 168.888
295.945000000, 935.176, 85.016, 837.16, 98.016, 164.824
301.157000000, 939.384, 85.3985, 840.488, 98.896, 160.616
305.570000000, 939.552, 85.4138, 840.856, 98.696, 160.448
309.722000000, 941.544, 85.5949, 841.8, 99.744, 158.456
314.107000000, 950.888, 86.4444, 848.4, 102.488, 149.112
317.787000000, 956.448, 86.9498, 850.544, 105.904, 143.552
322.135000000, 970.864, 88.2604, 862.632, 108.232, 129.136
328.292000000, 982.256, 89.296, 871.68, 110.576, 117.744
333.504000000, 982.056, 89.2778, 871.632, 110.424, 117.944
339.287000000, 997.728, 90.7025, 885.952, 111.776, 102.272
345.438000000, 1001.2, 91.0182, 888.568, 112.632, 98.8
349.114000000, 1001.14, 91.0124, 888.552, 112.584, 98.864
353.462000000, 1001.12, 91.0109, 888.544, 112.576, 98.88
359.475000000, 1002.22, 91.1105, 888.328, 113.888, 97.784
363.220000000, 1003.01, 91.1825, 888.672, 114.336, 96.992
367.043000000, 1003.09, 91.1898, 888.632, 114.456, 96.912
370.524000000, 1003.09, 91.1898, 888.656, 114.432, 96.912
375.271000000, 1003.22, 91.2015, 888.464, 114.752, 96.784
380.083000000, 1003.75, 91.2502, 888.976, 114.776, 96.248
384.162000000, 1003.82, 91.256, 890.344, 113.472, 96.184
387.844000000, 1004.25, 91.2953, 891.232, 113.016, 95.752
393.351000000, 1003.48, 91.2255, 889.288, 114.192, 96.52
398.032000000, 1002.9, 91.1731, 888.736, 114.168, 97.096
404.514000000, 1004.12, 91.2836, 889.08, 115.04, 95.88
411.260000000, 1003.54, 91.2305, 888.488, 115.048, 96.464
416.471000000, 1003.58, 91.2342, 887.136, 116.44, 96.424
421.816000000, 1004.09, 91.2807, 886.728, 117.36, 95.912
426.630000000, 1004.09, 91.2807, 886.704, 117.384, 95.912
430.577000000, 1004.09, 91.2807, 887.104, 116.984, 95.912
437.057000000, 1004.03, 91.2756, 887.512, 116.52, 95.968
444.072000000, 1004.13, 91.2844, 887.384, 116.744, 95.872
449.416000000, 1004.2, 91.2909, 887.36, 116.84, 95.8
455.762000000, 1004.34, 91.3033, 887.768, 116.568, 95.664
460.109000000, 1004.31, 91.3011, 888.304, 116.008, 95.688
466.589000000, 1004.45, 91.3135, 887.408, 117.04, 95.552
470.536000000, 1004.61, 91.328, 887.608, 117, 95.392
476.154000000, 1005.15, 91.3775, 887.976, 117.176, 94.848
481.054000000, 1005.82, 91.4378, 888.808, 117.008, 94.184
484.775000000, 1005.66, 91.4233, 888.56, 117.096, 94.344
489.920000000, 1007.06, 91.5513, 889.824, 117.24, 92.936
496.871000000, 1009.18, 91.7433, 891.872, 117.304, 90.824
500.980000000, 1009.5, 91.7724, 890.808, 118.688, 90.504
504.593000000, 1010.75, 91.8865, 892.272, 118.48, 89.248
509.605000000, 1012.26, 92.0233, 893.784, 118.472, 87.744
514.565000000, 1012.54, 92.0495, 894.08, 118.464, 87.456
518.048000000, 1012.59, 92.0538, 894.344, 118.248, 87.408
524.929000000, 1012.56, 92.0509, 893.488, 119.072, 87.44
531.677000000, 1012.56, 92.0509, 893.368, 119.192, 87.44
535.159000000, 1012.56, 92.0509, 893.232, 119.328, 87.44
540.704000000, 1012.63, 92.0575, 892.84, 119.792, 87.368
546.254000000, 1012.63, 92.0575, 892.744, 119.888, 87.368
551.108000000, 1012.7, 92.0633, 892.96, 119.736, 87.304
