Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
5.365000000, 118.536, 7.28332, 100.6, 17.936, 1508.96
9.925000000, 124.904, 7.67459, 110.056, 14.848, 1502.6
13.710000000, 134.304, 8.25217, 114.528, 19.776, 1493.2
19.735000000, 141.224, 8.67736, 117.896, 23.328, 1486.28
26.435000000, 155.856, 9.57641, 132.752, 23.104, 1471.64
30.560000000, 158.92, 9.76467, 139.28, 19.64, 1468.58
35.555000000, 171.264, 10.5231, 148.84, 22.424, 1456.24
40.000000000, 174.552, 10.7252, 151.504, 23.048, 1452.95
45.055000000, 184.64, 11.345, 158.08, 26.56, 1442.86
49.435000000, 190.784, 11.7225, 162.184, 28.6, 1436.72
53.390000000, 194.264, 11.9363, 164.952, 29.312, 1433.24
58.625000000, 200.44, 12.3158, 170.544, 29.896, 1427.06
62.030000000, 203.752, 12.5193, 172.808, 30.944, 1423.75
65.710000000, 207.224, 12.7327, 174.496, 32.728, 1420.28
71.335000000, 210.56, 12.9376, 177, 33.56, 1416.94
76.945000000, 211.488, 12.9947, 177.56, 33.928, 1416.01
81.615000000, 215.608, 13.2478, 181.144, 34.464, 1411.89
86.155000000, 220.304, 13.5363, 184.2, 36.104, 1407.2
90.565000000, 225.536, 13.8578, 186.464, 39.072, 1401.96
96.370000000, 233.112, 14.3233, 192.952, 40.16, 1394.39
100.675000000, 261.632, 16.0757, 218.52, 43.112, 1365.87
105.250000000, 271.448, 16.6788, 223.824, 47.624, 1356.05
110.225000000, 280.168, 17.2146, 231.448, 48.72, 1347.33
114.770000000, 305.984, 18.8009, 256.656, 49.328, 1321.52
118.630000000, 316.328, 19.4364, 262.896, 53.432, 1311.17
124.670000000, 318.744, 19.5849, 261.104, 57.64, 1308.76
130.940000000, 343.392, 21.0994, 285.576, 57.816, 1284.11
134.765000000, 365.12, 22.4344, 304.552, 60.568, 1262.38
139.040000000, 380.568, 23.3836, 319.624, 60.944, 1246.93
142.695000000, 391.904, 24.0801, 328.384, 63.52, 1235.6
146.805000000, 395.952, 24.3288, 329.968, 65.984, 1231.55
153.215000000, 400.024, 24.579, 328.76, 71.264, 1227.48
