Goal x, Goal y, Goal z, Planner
12.1724, 11.0961, 0.473872, aep
12.2741, 11.9982, 0.893262, aep
11.3307, 12.2879, 1.05488, aep
11.2325, 13.0917, 0.468133, aep
10.8405, 13.9649, 0.757608, aep
10.7842, 14.53, 1.58073, aep
9.43066, 14.897, 1.92666, aep
9.24968, 14.9175, 0.943392, aep
8.38623, 14.7678, 0.46168, aep
7.70155, 14.0427, 0.535212, aep
7.32245, 13.145, 0.75988, aep
6.39283, 12.337, 1.55217, aep
5.78274, 11.8013, 0.968388, aep
5.24675, 10.9953, 0.717264, rrt
6.16861, 10.8525, 1.07754, rrt
5.30988, 10.6956, 1.56536, aep
5.5526, 9.90898, 2.13305, aep
4.91884, 9.16055, 2.32851, aep
4.91116, 8.16312, 2.25735, aep
4.31205, 6.97071, 1.83427, aep
4.55205, 6.0069, 1.9503, aep
4.788, 5.79645, 1.0016, aep
4.09532, 6.23181, 0.426571, aep
3.14838, 6.10269, 0.720907, aep
2.35351, 5.58693, 0.401271, aep
1.49836, 5.63297, 0.917609, aep
0.91953, 5.69426, 1.73075, aep
0.295381, 6.47211, 1.80408, aep
0.607464, 7.36215, 2.1364, aep
0.292688, 8.05561, 1.4883, aep
0.72323, 8.82618, 1.01834, aep
0.959698, 9.79545, 0.950517, aep
0.653245, 10.4999, 0.310328, aep
-0.107668, 11.106, 0.541826, aep
-0.733626, 11.6646, 0.757166, aep
-2.04128, 11.3379, 0.551894, aep
-2.92074, 11.7345, 0.815067, aep
-3.55822, 10.9787, 0.964864, aep
-4.21738, 9.6718, 1.08199, aep
-3.95707, 9.30247, 1.97408, aep
-3.11456, 8.76382, 1.98012, aep
-2.92846, 7.80976, 1.74534, aep
-3.26784, 6.87826, 1.61442, aep
-4.12547, 6.36749, 1.55449, aep
-5.1106, 6.37391, 1.38281, aep
-6.04824, 6.07813, 1.20018, aep
-6.43902, 6.9038, 0.793298, aep
-6.87264, 7.75463, 0.496521, aep
-7.46024, 8.42264, 0.953114, aep
-8.31297, 8.8385, 1.26919, aep
-9.09345, 8.41344, 1.72763, aep
-9.59829, 7.57116, 1.53866, aep
-10.3104, 8.18188, 1.19235, aep
-11.1213, 7.59676, 1.18852, aep
-11.2205, 6.63669, 1.45015, aep
-10.857, 5.7595, 1.76388, aep
-10.7834, 4.79449, 2.01556, aep
-10.3554, 4.15364, 1.37826, aep
-9.40397, 4.25312, 1.08692, aep
-8.85468, 3.70694, 1.71934, aep
-8.68259, 2.89246, 2.27343, aep
-8.37868, 1.93988, 2.25855, aep
-8.39241, 1.55595, 1.33529, aep
-7.95001, 0.659287, 1.31841, aep
-8.59882, 0.0567161, 0.853703, aep
-9.33186, -0.603101, 0.688521, aep
-9.75549, -0.703544, 1.58877, aep
-10.4886, -0.654795, 2.26716, aep
-10.7331, -1.62338, 2.2221, aep
-11.4298, -2.33822, 2.28246, aep
-11.4469, -3.26856, 1.91618, aep
-11.2859, -4.16749, 1.50877, aep
-11.8512, -4.44423, 0.731723, aep
-12.525, -5.66224, 0.500229, aep
-12.4908, -6.45264, 1.11187, aep
-12.3151, -7.17113, 1.78483, aep
-12.2607, -8.07087, 1.3518, aep
-11.2919, -8.25018, 1.18037, aep
-10.5778, -7.66708, 1.56768, aep
-9.60985, -7.48289, 1.39693, aep
-9.1182, -6.8186, 1.95995, aep
-8.73487, -5.96001, 2.30036, aep
-8.54119, -5.05276, 1.92702, aep
-8.77641, -4.16458, 2.32175, aep
-8.55107, -2.74316, 1.99646, aep
