Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
2.772000000, 138.328, 17.3343, 110.272, 28.056, 659.672
5.994000000, 150.8, 18.8972, 122.352, 28.448, 647.2
9.370000000, 156.992, 19.6732, 129.272, 27.72, 641.008
12.097000000, 164.264, 20.5845, 135.84, 28.424, 633.736
15.371000000, 173.24, 21.7093, 142.704, 30.536, 624.76
18.638000000, 190.592, 23.8837, 158.504, 32.088, 607.408
21.349000000, 208.408, 26.1163, 172.936, 35.472, 589.592
25.071000000, 231.424, 29.0005, 192.44, 38.984, 566.576
30.733000000, 262.752, 32.9263, 220.512, 42.24, 535.248
33.889000000, 268.936, 33.7013, 227.6, 41.336, 529.064
37.690000000, 269.368, 33.7554, 228.864, 40.504, 528.632
42.219000000, 294.52, 36.9073, 246.424, 48.096, 503.48
46.496000000, 305.632, 38.2997, 254.88, 50.752, 492.368
49.160000000, 314.144, 39.3664, 261.584, 52.56, 483.856
52.031000000, 323.904, 40.5895, 269.016, 54.888, 474.096
54.692000000, 337.656, 42.3128, 280.496, 57.16, 460.344
57.584000000, 352.288, 44.1464, 292.736, 59.552, 445.712
60.414000000, 371.928, 46.6075, 309.744, 62.184, 426.072
63.579000000, 386.944, 48.4892, 322.536, 64.408, 411.056
67.274000000, 394.736, 49.4657, 329.152, 65.584, 403.264
70.335000000, 407.776, 51.0997, 339.856, 67.92, 390.224
73.286000000, 422.488, 52.9434, 352.824, 69.664, 375.512
76.493000000, 440.728, 55.2291, 368.392, 72.336, 357.272
79.852000000, 459.8, 57.619, 384.768, 75.032, 338.2
83.709000000, 481.344, 60.3188, 401.584, 79.76, 316.656
86.871000000, 496.336, 62.1975, 414.632, 81.704, 301.664
90.653000000, 506.248, 63.4396, 423.416, 82.832, 291.752
94.397000000, 526.016, 65.9168, 438.976, 87.04, 271.984
98.934000000, 542.552, 67.989, 450.672, 91.88, 255.448
101.573000000, 549.752, 68.8912, 456.328, 93.424, 248.248
106.288000000, 554.88, 69.5338, 459.264, 95.616, 243.12
111.349000000, 557.12, 69.8145, 460.392, 96.728, 240.88
116.288000000, 561.92, 70.416, 461.528, 100.392, 236.08
119.369000000, 566.784, 71.0256, 465.776, 101.008, 231.216
123.142000000, 577.08, 72.3158, 474.672, 102.408, 220.92
127.898000000, 579.832, 72.6607, 477.016, 102.816, 218.168
133.317000000, 582.528, 72.9985, 479.04, 103.488, 215.472
137.294000000, 590.056, 73.9419, 485.096, 104.96, 207.944
140.822000000, 597.648, 74.8932, 491.632, 106.016, 200.352
143.937000000, 603.776, 75.6612, 496.544, 107.232, 194.224
148.073000000, 611.216, 76.5935, 502.552, 108.664, 186.784
152.110000000, 613.112, 76.8311, 503.888, 109.224, 184.888
156.978000000, 622.808, 78.0461, 510.776, 112.032, 175.192
162.476000000, 623.768, 78.1664, 511.64, 112.128, 174.232
167.939000000, 625.24, 78.3509, 513.944, 111.296, 172.76
168.379000000, 625.248, 78.3519, 514.296, 110.952, 172.752
168.765000000, 625.248, 78.3519, 514.696, 110.552, 172.752
169.138000000, 625.248, 78.3519, 514.696, 110.552, 172.752
215.596000000, 643.072, 80.5855, 520.256, 122.816, 154.928
215.596000000, 643.096, 80.5885, 520.224, 122.872, 154.904
