Goal x, Goal y, Goal z, Planner
11.9724, -5.4039, 1.87521, aep
12.0741, -4.50181, 2.2946, aep
11.1307, -4.21207, 2.45622, aep
11.0325, -3.40828, 1.86947, aep
10.6405, -2.53506, 2.15894, aep
9.80967, -1.99212, 2.28131, aep
8.91482, -1.0977, 1.54302, aep
8.03967, -0.201117, 1.98549, aep
8.68175, 0.487309, 2.32284, aep
8.94781, 1.421, 2.56251, aep
9.92585, 1.31549, 2.74226, aep
10.6666, 1.62513, 2.14614, aep
10.4222, 2.5111, 1.75203, aep
10.6348, 3.21907, 1.07855, aep
11.223, 3.93507, 1.4546, aep
10.4001, 3.65689, 1.9501, aep
9.9664, 2.76934, 2.10549, aep
9.82105, 1.79137, 2.25532, aep
8.90527, 1.54288, 1.93971, aep
8.08495, 0.989765, 2.08508, aep
7.25961, 1.27228, 2.57396, aep
6.48003, 0.672675, 2.75487, aep
5.90113, 0.681633, 1.93952, aep
5.26606, -0.370539, 2.482, aep
4.65639, -0.458272, 1.69421, aep
3.93191, 0.228573, 1.75231, aep
3.32373, 0.718192, 2.37712, aep
2.36856, -0.140429, 1.89024, aep
2.35231, -1.12741, 2.05026, aep
1.63039, -1.68251, 1.6371, aep
1.89622, -2.5268, 1.1718, aep
2.06743, -3.09266, 1.97833, aep
2.31277, -4.06187, 1.99942, aep
3.06008, -4.72327, 1.93551, aep
3.45364, -4.42804, 1.79395, rrt
3.90836, -3.53769, 1.81677, rrt
4.19245, -2.59151, 1.97175, rrt
4.01642, -1.67198, 1.62034, rrt
4.1316, -0.685046, 1.50769, rrt
3.47918, 0.065645, 1.40377, rrt
4.00012, 0.913524, 1.50236, rrt
4.08805, 1.90212, 1.38008, rrt
3.91286, 2.71362, 1.93754, rrt
2.9476, 2.94564, 2.05777, rrt
2.2741, 3.55788, 1.64357, rrt
3.2011, 3.19281, 1.5576, rrt
4.18761, 3.34217, 1.6247, rrt
4.96499, 2.71566, 1.56853, rrt
4.87709, 1.73263, 1.40754, rrt
5.63462, 1.08397, 1.33415, rrt
5.29688, 0.142895, 1.3518, rrt
5.51624, -0.832196, 1.31902, rrt
5.75804, -1.75986, 1.6036, rrt
6.68474, -1.44304, 1.40146, rrt
7.6733, -1.44354, 1.55225, rrt
8.46827, -1.95494, 1.87861, rrt
9.09568, -2.73156, 1.9353, rrt
9.45911, -3.61282, 1.63315, rrt
9.97441, -4.45701, 1.48547, rrt
10.957, -4.35867, 1.6431, rrt
11.897, -4.68127, 1.75431, rrt
12.1736, -5.5211, 2.22141, rrt
12.7963, -6.29135, 2.35903, rrt
13.7706, -6.43307, 2.18421, rrt
14.5425, -6.73826, 1.85584, rrt
15.1789, -7.43839, 1.53215, rrt
14.9349, -6.53324, 1.88024, aep
