Goal x, Goal y, Goal z, Planner
-2.17096, -5.85125, 1.54512, aep
-1.49087, -6.1871, 0.893443, aep
-0.69155, -6.45181, 1.43289, aep
-0.39624, -5.54241, 1.72579, aep
0.598397, -5.64177, 1.75455, aep
1.00201, -5.00989, 1.09287, aep
0.711336, -4.10114, 1.39234, aep
0.545574, -3.1507, 1.65535, aep
0.436315, -2.58003, 0.841469, aep
-0.56158, -2.58526, 0.776843, aep
-0.930006, -1.82965, 1.31844, aep
-1.91354, -1.64892, 1.31992, aep
-3.14765, -0.98098, 1.56282, aep
-3.38987, -0.627166, 2.46622, aep
-3.15359, 0.343623, 2.42453, aep
-3.0315, 1.16463, 1.86681, aep
-2.48213, 1.76741, 1.28814, aep
-1.80363, 2.1194, 0.643366, aep
-0.94452, 2.56874, 0.888345, aep
0.203184, 2.49342, 1.55418, aep
1.06597, 2.1413, 1.91696, aep
2.00816, 2.38198, 1.68383, aep
1.97294, 3.33872, 1.39505, aep
1.64261, 4.28243, 1.41221, rrt
1.28787, 5.20507, 1.26085, rrt
0.684746, 6.00237, 1.23743, rrt
0.131333, 5.6767, 2.00403, aep
0.819489, 6.36603, 2.23046, aep
0.251912, 7.16257, 2.43871, aep
-0.0673365, 8.10721, 2.36298, aep
0.190108, 9.04377, 2.12512, rrt
