Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
4.696000000, 88.528, 19.6729, 74.344, 14.184, 361.472
7.387000000, 98.264, 21.8364, 83.736, 14.528, 351.736
10.037000000, 109.688, 24.3751, 94.528, 15.16, 340.312
13.865000000, 126.824, 28.1831, 110.688, 16.136, 323.176
16.702000000, 139.544, 31.0098, 121.936, 17.608, 310.456
19.612000000, 149.296, 33.1769, 134.568, 14.728, 300.704
22.343000000, 158.44, 35.2089, 140.6, 17.84, 291.56
27.337000000, 165.464, 36.7698, 143.92, 21.544, 284.536
32.422000000, 186.912, 41.536, 163.352, 23.56, 263.088
35.910000000, 201.12, 44.6933, 178.464, 22.656, 248.88
39.198000000, 215.248, 47.8329, 189.44, 25.808, 234.752
42.260000000, 227.744, 50.6098, 201.216, 26.528, 222.256
45.250000000, 242.08, 53.7956, 214.904, 27.176, 207.92
48.360000000, 254.976, 56.6613, 227.208, 27.768, 195.024
51.728000000, 262.672, 58.3716, 234.672, 28, 187.328
56.245000000, 264.216, 58.7147, 237.488, 26.728, 185.784
60.782000000, 264.976, 58.8836, 236.752, 28.224, 185.024
63.923000000, 275.104, 61.1342, 244.696, 30.408, 174.896
67.005000000, 283.984, 63.1076, 252.296, 31.688, 166.016
72.229000000, 290.384, 64.5298, 257.136, 33.248, 159.616
77.157000000, 313, 69.5556, 275.168, 37.832, 137
80.981000000, 318.56, 70.7911, 280.608, 37.952, 131.44
83.628000000, 326.416, 72.5369, 289.392, 37.024, 123.584
88.061000000, 331.456, 73.6569, 291.584, 39.872, 118.544
91.577000000, 333.568, 74.1262, 293.936, 39.632, 116.432
94.304000000, 338.936, 75.3191, 300.504, 38.432, 111.064
97.128000000, 349.064, 77.5698, 309.856, 39.208, 100.936
101.150000000, 364.104, 80.912, 321.488, 42.616, 85.896
103.871000000, 369.92, 82.2044, 325.656, 44.264, 80.08
109.448000000, 373.176, 82.928, 325.024, 48.152, 76.824
112.171000000, 373.176, 82.928, 325.048, 48.128, 76.824
118.031000000, 374.896, 83.3102, 324.952, 49.944, 75.104
120.885000000, 381.784, 84.8409, 330.936, 50.848, 68.216
124.841000000, 389.936, 86.6524, 337.384, 52.552, 60.064
127.795000000, 395.336, 87.8524, 342.28, 53.056, 54.664
130.490000000, 396.192, 88.0427, 346.856, 49.336, 53.808
133.236000000, 400.912, 89.0916, 347, 53.912, 49.088
133.236000000, 400.88, 89.0844, 346.984, 53.896, 49.12
