Goal x, Goal y, Goal z, Planner
6.07238, -1.3039, 0.67332, aep
6.1741, -0.401815, 1.09271, aep
4.90832, -1.05762, 1.29888, aep
4.49186, -1.96672, 1.30828, aep
4.41601, -2.92776, 1.0425, aep
3.47591, -3.17201, 0.804684, aep
2.56229, -3.07726, 1.20004, aep
1.81585, -3.50654, 1.70852, aep
0.992506, -2.94828, 1.60623, aep
0.549906, -2.16522, 1.16929, aep
0.134267, -0.849271, 1.27394, aep
0.701185, -0.0263456, 1.23655, aep
1.17924, 0.837757, 1.39399, aep
1.09907, 1.83444, 1.38012, aep
2.17946, 2.66652, 0.897139, aep
1.98744, 3.55096, 0.471828, aep
1.00858, 3.35663, 0.407946, aep
0.773595, 2.74313, 1.16186, aep
0.670047, 1.86485, 0.695064, aep
-0.392515, 0.87758, 0.437591, aep
-0.807913, 0.236426, 1.08286, aep
-1.83937, -0.663764, 0.910941, aep
-2.8148, -0.736776, 1.11881, aep
-3.01568, -1.58183, 0.623294, aep
-3.09671, -2.41692, 1.1674, aep
-4.09396, -2.48786, 1.18899, aep
-4.82757, -2.38152, 0.51779, aep
-5.45799, -1.6214, 0.675195, aep
-5.73381, -1.13242, 1.50273, aep
-6.34567, -0.418917, 1.84411, aep
-6.7464, 0.470989, 1.62621, aep
-6.19671, 1.30181, 1.53921, aep
-5.53547, 1.91133, 1.1019, aep
-6.28104, 1.99516, 0.776485, rrt
