Goal x, Goal y, Goal z, Planner
0.572379, 0.696095, 0.674591, aep
0.674098, 1.59819, 1.09398, aep
-0.269261, 1.88793, 1.2556, aep
0.573656, 1.36254, 1.37159, aep
0.844797, 0.404634, 1.27726, aep
0.159443, -0.320112, 1.3482, aep
-0.482808, -1.08624, 1.37182, aep
-0.99867, -1.88692, 1.06719, aep
-1.98153, -1.89667, 0.883096, aep
-2.67573, -2.2948, 1.48276, aep
-3.46926, -1.69012, 1.41436, aep
-4.29274, -1.56329, 1.96734, aep
-4.88327, -0.801697, 1.70041, aep
-4.51537, 0.119078, 1.57071, aep
-4.02724, 0.974047, 1.74609, aep
-3.52652, 1.83572, 1.82858, aep
-3.71357, 2.53068, 1.13429, aep
-2.9642, 3.16376, 1.32832, aep
-1.97688, 3.30109, 1.40799, aep
-1.21753, 3.9135, 1.62784, aep
-0.23653, 3.7274, 1.57299, aep
1.01362, 3.28952, 0.912179, aep
2.41207, 3.49283, 0.961164, aep
3.31172, 3.13992, 0.704093, aep
3.64857, 2.80817, 1.58527, aep
4.36448, 2.11269, 1.64667, aep
4.35748, 1.21714, 1.20176, aep
5.25335, 0.880594, 0.911663, aep
5.14358, -0.1121, 0.861566, aep
4.31463, -0.597967, 0.584479, aep
3.47468, -0.783862, 1.0943, aep
3.45036, -2.23067, 0.956831, aep
4.39575, -2.5564, 0.96817, rrt
