Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
4.865000000, 162.744, 36.1653, 147.136, 15.608, 287.256
8.281000000, 177.856, 39.5236, 162.216, 15.64, 272.144
12.557000000, 197.256, 43.8347, 179.112, 18.144, 252.744
16.531000000, 211.64, 47.0311, 191.312, 20.328, 238.36
19.617000000, 225.168, 50.0373, 201.968, 23.2, 224.832
25.105000000, 242.032, 53.7849, 215.744, 26.288, 207.968
28.246000000, 253.712, 56.3804, 226.504, 27.208, 196.288
32.556000000, 262.392, 58.3093, 235.08, 27.312, 187.608
36.317000000, 269.592, 59.9093, 240.072, 29.52, 180.408
39.775000000, 282.072, 62.6827, 250.008, 32.064, 167.928
42.756000000, 290.488, 64.5529, 256.384, 34.104, 159.512
46.871000000, 297.56, 66.1244, 261.504, 36.056, 152.44
51.443000000, 298.992, 66.4427, 261.96, 37.032, 151.008
54.624000000, 303.2, 67.3778, 265.888, 37.312, 146.8
57.841000000, 308.696, 68.5991, 270.904, 37.792, 141.304
61.236000000, 311.84, 69.2978, 273.512, 38.328, 138.16
64.232000000, 318.032, 70.6738, 279.12, 38.912, 131.968
67.051000000, 326.32, 72.5156, 286.368, 39.952, 123.68
69.984000000, 330.848, 73.5218, 291.288, 39.56, 119.152
73.484000000, 341.472, 75.8827, 299.448, 42.024, 108.528
77.960000000, 348.952, 77.5449, 303.768, 45.184, 101.048
83.463000000, 350.192, 77.8204, 304.464, 45.728, 99.808
87.164000000, 351.016, 78.0036, 305.552, 45.464, 98.984
90.265000000, 353.104, 78.4676, 307.528, 45.576, 96.896
93.869000000, 358.68, 79.7067, 312.608, 46.072, 91.32
96.512000000, 360.712, 80.1582, 314.2, 46.512, 89.288
99.406000000, 364.84, 81.0756, 317.96, 46.88, 85.16
102.301000000, 370.656, 82.368, 324.088, 46.568, 79.344
106.020000000, 381.576, 84.7947, 334.424, 47.152, 68.424
110.104000000, 396.696, 88.1547, 347.4, 49.296, 53.304
119.943000000, 407.344, 90.5209, 353.704, 53.64, 42.656
123.296000000, 409.224, 90.9387, 355.424, 53.8, 40.776
126.319000000, 410.792, 91.2871, 356.808, 53.984, 39.208
131.618000000, 411.032, 91.3404, 357.064, 53.968, 38.968
135.799000000, 419.2, 93.1556, 363.72, 55.48, 30.8
135.799000000, 419.536, 93.2302, 364.08, 55.456, 30.464
