Goal x, Goal y, Goal z, Planner
10.5724, -10.3039, 0.473848, aep
10.6741, -9.40181, 0.893238, aep
9.73074, -9.11207, 1.05486, aep
9.63252, -8.30828, 0.468109, aep
9.24047, -7.43506, 0.757584, aep
8.39438, -6.96667, 1.01201, aep
8.35338, -7.79211, 0.449007, aep
7.55229, -8.3374, 0.695791, aep
7.19225, -9.2411, 0.464052, aep
6.12882, -9.96011, 1.13923, aep
5.19221, -9.70405, 0.900087, aep
4.52015, -9.61235, 1.63489, aep
3.79912, -8.9405, 1.46541, aep
3.67211, -8.00314, 1.14102, aep
3.76862, -7.07674, 0.777054, aep
3.00366, -6.46911, 0.990646, aep
2.1144, -6.8883, 1.17367, aep
1.1933, -7.26536, 1.27065, aep
0.377301, -6.71942, 1.46064, aep
0.0727696, -5.8107, 1.17519, aep
-0.641717, -5.11781, 1.27226, aep
-1.43385, -4.75513, 0.78137, aep
-2.11112, -5.40334, 1.12941, aep
-2.81023, -5.68675, 1.78586, aep
-3.73541, -5.30727, 1.79185, aep
-4.23853, -6.15816, 1.64065, aep
-5.25438, -7.17685, 1.55046, aep
-5.49471, -8.14734, 1.5702, aep
-6.48002, -7.99895, 1.48571, aep
-7.42804, -8.11693, 1.78124, aep
-7.74175, -7.2235, 2.10276, aep
-8.35336, -6.64243, 1.56584, aep
-8.53807, -6.2549, 0.662673, aep
-9.06824, -5.48062, 0.317102, aep
-8.89875, -4.54233, 0.618566, aep
-8.15577, -3.99199, 0.999482, aep
-7.69419, -3.15898, 1.3045, aep
-7.82806, -2.28962, 0.828785, aep
-6.99954, -2.01437, 0.341135, aep
-6.27284, -1.63108, 0.911217, aep
-6.15656, -0.644558, 1.02637, aep
-6.36184, 0.329875, 0.935048, aep
-6.90972, 1.1601, 0.832342, aep
-7.78549, 1.00639, 0.374743, aep
-8.46975, 1.72886, 0.473919, aep
-8.32283, 2.50302, 1.08963, aep
-8.65807, 3.4386, 0.978774, aep
-8.33946, 4.38478, 1.03573, aep
-8.01021, 5.22372, 0.602412, aep
-7.11171, 5.618, 0.795367, aep
-6.58975, 6.85177, 0.315054, aep
-6.10036, 7.69661, 0.531237, aep
-5.63807, 8.46425, 0.97511, aep
-4.78911, 8.71741, 0.511234, aep
-3.92669, 8.30106, 0.799108, aep
-3.53862, 7.45544, 0.432599, aep
-3.36984, 6.47304, 0.512617, aep
-2.71181, 5.75529, 0.740306, aep
-2.33858, 4.84091, 0.897132, aep
-2.82618, 4.11987, 0.404838, aep
-2.5453, 3.22962, 0.763387, aep
-1.88382, 2.52651, 0.50245, aep
-0.897015, 2.62714, 0.375612, aep
-0.263081, 2.64729, 1.14874, aep
0.976602, 1.82245, 1.29434, aep
1.80089, 2.38852, 1.30458, aep
2.09886, 3.30033, 1.02208, aep
1.95871, 4.13279, 0.485999, aep
2.16684, 5.05887, 0.800726, aep
2.42246, 6.43063, 0.931923, aep
3.3963, 6.35948, 1.14776, aep
4.20434, 5.88862, 1.50183, aep
5.12546, 5.51766, 1.38383, aep
5.54602, 4.85349, 0.765762, aep
6.20415, 4.17164, 1.08505, aep
5.97976, 3.23659, 1.35951, aep
5.59488, 2.32068, 1.24561, aep
5.05808, 1.56576, 1.62235, aep
4.23417, 1.29109, 1.12663, aep
3.43829, 0.849159, 1.54048, aep
2.7171, 0.547959, 0.91666, aep
3.21388, -0.0607449, 0.298044, aep
3.59922, -0.816441, 0.827609, aep
4.01018, -1.61408, 0.386154, aep
3.29736, -2.2968, 0.546731, aep
2.39736, -2.67845, 0.757312, aep
1.71541, -3.87104, 1.12424, aep
0.728352, -3.84539, 1.28254, aep
-0.524326, -3.39605, 1.55913, aep
-1.45522, -3.11795, 1.32228, aep
-1.86277, -2.28976, 0.937566, aep
-1.93591, -1.51504, 1.56562, aep
-1.70612, -0.546109, 1.47413, aep
-1.83963, 0.114741, 0.735579, aep
-2.39365, 0.93492, 0.87828, aep
-2.65493, 1.89892, 0.82896, aep
-2.50666, 2.85424, 0.573263, aep
-1.57926, 3.04296, 0.896256, aep
-1.54873, 4.02829, 0.728359, aep
-2.36022, 4.60952, 0.788938, aep
-3.34172, 4.79941, 0.76459, aep
-4.18054, 5.34254, 0.727183, aep
-5.05302, 4.92493, 0.980927, aep
-6.36893, 4.26653, 0.814988, aep
-5.86834, 3.41994, 0.634188, aep
-5.41029, 2.62411, 1.03022, aep
-4.50596, 2.82275, 0.652418, aep
-3.92, 3.55477, 0.999971, aep
-2.65592, 4.36027, 1.04057, aep
-1.88688, 4.4335, 1.67556, aep
-0.908628, 4.2539, 1.77931, aep
-0.327717, 3.54847, 1.37321, aep
-0.076741, 2.70868, 1.85461, aep
-0.00960369, 1.86488, 1.32216, aep
0.199002, 1.0472, 0.785619, aep
0.390122, 2.02576, 0.708795, aep
0.739559, 2.88809, 0.342349, aep
1.38466, 3.58062, 0.665216, aep
1.15605, 4.54828, 0.771797, aep
0.256211, 4.97847, 0.699468, aep
0.957861, 5.55553, 1.11742, aep
2.25627, 5.8881, 0.586919, aep
2.61959, 6.20954, 1.46138, aep
3.60293, 6.36279, 1.55914, aep
4.82675, 5.7973, 1.13275, aep
5.64468, 6.34154, 1.31928, aep
6.64118, 6.39443, 1.38397, aep
7.28561, 5.63289, 1.31489, aep
8.18367, 5.31252, 1.6163, aep
8.68592, 6.15938, 1.79114, aep
9.04522, 6.61571, 0.977101, aep
9.54905, 7.44362, 0.730697, aep
10.4742, 7.64366, 1.0533, aep
10.3656, 8.6079, 1.29507, aep
9.80974, 9.25085, 1.82203, aep
9.25002, 10.0336, 1.55, aep
8.3035, 10.0355, 1.87262, aep
7.54949, 10.1263, 1.22206, aep
6.69787, 9.96513, 1.72083, aep
5.73497, 10.2236, 1.6431, aep
5.38613, 9.42544, 1.15187, aep
5.62554, 8.46349, 1.28353, aep
6.09282, 7.20262, 0.82807, aep
5.36638, 6.63858, 1.22068, aep
4.45638, 6.57199, 0.811436, aep
3.61632, 6.4815, 1.34632, aep
4.38818, 6.02189, 0.907015, aep
5.03697, 5.98911, 1.66727, aep
5.81808, 5.37063, 1.75307, aep
6.4192, 5.45473, 0.470601, aep
6.98935, 6.21389, 0.78461, aep
7.20725, 7.17674, 0.625076, aep
6.82264, 6.74241, 1.43959, aep
6.01344, 6.15779, 1.3811, aep
6.41554, 5.27935, 1.63927, aep
6.94576, 4.48684, 1.33796, aep
7.23149, 3.86197, 0.611395, aep
8.09776, 3.52605, 0.981192, aep
7.9308, 2.67873, 1.48535, aep
7.68785, 1.70901, 1.51017, aep
7.36196, 0.771016, 1.39199, aep
7.29262, -0.104654, 1.86989, aep
7.97092, -0.835398, 1.79295, aep
7.47928, -1.69577, 1.92733, aep
6.76919, -1.70297, 1.22326, aep
6.24098, -2.5458, 1.32637, aep
6.74193, -3.33892, 1.6728, aep
7.16922, -4.76857, 1.67499, aep
7.81565, -6.04306, 1.41761, aep
7.33011, -6.75119, 0.904965, aep
6.75669, -7.53927, 0.681073, aep
6.09586, -8.25808, 0.896941, aep
4.82282, -7.57507, 0.837591, aep
3.92283, -7.20732, 0.603579, aep
3.60802, -6.72913, 1.42348, aep
3.62947, -5.72936, 1.42324, aep
3.78347, -4.79431, 1.1039, aep
3.69948, -4.09358, 1.81236, aep
4.06401, -3.30682, 1.31424, aep
3.27094, -2.91383, 0.848843, aep
2.31132, -3.15007, 1.00158, aep
1.38234, -3.40312, 0.731477, aep
0.780399, -4.13387, 1.05345, aep
0.0702264, -5.39681, 0.710395, aep
-0.367921, -6.29484, 0.750033, aep
0.0672725, -7.08623, 1.17935, aep
0.48311, -7.99458, 1.22375, aep
1.41866, -8.32134, 1.08967, aep
2.27124, -7.29916, 1.43489, aep
2.53282, -6.37567, 1.15428, aep
2.94375, -5.53842, 0.793523, aep
2.49678, -4.69731, 0.488957, aep
2.60186, -3.70809, 0.386973, aep
2.0252, -3.04459, 0.863663, aep
1.30368, -2.56948, 1.36733, aep
0.642195, -1.83579, 1.52268, aep
0.691273, -0.427797, 1.48563, aep
1.16231, 0.861437, 1.19791, aep
0.335939, 1.24571, 0.786277, aep
-0.334837, 2.45302, 0.803846, aep
-1.69624, 2.10504, 1.19185, aep
-2.38027, 2.69494, 0.76275, aep
-3.35494, 2.59758, 0.964128, aep
-3.89849, 1.78314, 1.1672, aep
-4.5005, 1.05857, 0.831677, aep
-4.9155, 0.177957, 1.06037, aep
-5.86874, 0.247892, 1.3544, aep
-6.69295, 0.418936, 0.814563, aep
-7.23719, 1.0392, 1.37943, aep
-7.85761, 1.7935, 1.16472, aep
-8.12943, 2.75416, 1.1077, aep
-8.19157, 3.69866, 0.785132, aep
-8.16535, 4.57659, 0.30706, aep
-8.06911, 5.31301, 0.976712, aep
-8.86935, 5.50097, 1.54617, aep
-9.63564, 6.1225, 1.38334, aep
-9.74363, 7.114, 1.31084, aep
-10.5023, 7.50026, 1.83549, aep
-11.1297, 8.04663, 1.28071, aep
-11.1497, 8.92167, 0.797073, aep
-10.4886, 9.50531, 1.26849, aep
-9.88459, 9.91598, 1.53754, aep
-8.90239, 9.73994, 1.44008, aep
-7.96992, 9.67258, 1.79499, aep
-6.99606, 9.44866, 1.75675, aep
-6.47621, 8.64579, 1.46495, aep
-5.57069, 8.2252, 1.52086, aep
-5.72173, 7.29978, 1.86841, aep
-6.50102, 6.68347, 1.75506, aep
-7.18727, 5.57616, 1.06749, aep
-7.91481, 5.22935, 1.65944, aep
-8.24095, 4.30034, 1.48456, aep
-7.73659, 3.45098, 1.64015, aep
-6.85775, 2.99463, 1.50094, aep
-6.03197, 2.43413, 1.56367, aep
-5.71957, 1.64943, 1.02826, aep
-5.53603, 0.745694, 1.41501, aep
-5.83127, -0.117292, 1.00502, aep
-5.45209, -0.957411, 0.617182, aep
-4.55192, -1.22423, 0.961425, aep
