Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
4.435000000, 135.448, 9.40611, 119.648, 15.8, 1304.55
8.530000000, 145.944, 10.135, 128.832, 17.112, 1294.06
12.820000000, 155.328, 10.7867, 141.496, 13.832, 1284.67
17.510000000, 174.52, 12.1194, 155.392, 19.128, 1265.48
22.095000000, 181.648, 12.6144, 161.256, 20.392, 1258.35
26.385000000, 192.36, 13.3583, 176.384, 15.976, 1247.64
30.990000000, 203.4, 14.125, 181.12, 22.28, 1236.6
35.410000000, 216.624, 15.0433, 193.168, 23.456, 1223.38
39.945000000, 225.592, 15.6661, 200.792, 24.8, 1214.41
45.360000000, 245.104, 17.0211, 217.816, 27.288, 1194.9
51.190000000, 254.208, 17.6533, 230.688, 23.52, 1185.79
56.905000000, 268.136, 18.6206, 240.168, 27.968, 1171.86
62.745000000, 291.632, 20.2522, 261.16, 30.472, 1148.37
67.500000000, 302.624, 21.0156, 270.584, 32.04, 1137.38
71.580000000, 313.4, 21.7639, 280.632, 32.768, 1126.6
75.215000000, 327.432, 22.7383, 293.312, 34.12, 1112.57
80.055000000, 344.328, 23.9117, 308.6, 35.728, 1095.67
84.245000000, 359.752, 24.9828, 324.616, 35.136, 1080.25
89.105000000, 381.56, 26.4972, 344.624, 36.936, 1058.44
93.230000000, 393.632, 27.3356, 355.512, 38.12, 1046.37
97.190000000, 403.144, 27.9961, 363.824, 39.32, 1036.86
101.020000000, 413.472, 28.7133, 373.648, 39.824, 1026.53
105.415000000, 425.52, 29.55, 382.584, 42.936, 1014.48
109.650000000, 437.144, 30.3572, 398.208, 38.936, 1002.86
114.540000000, 455.32, 31.6194, 410.92, 44.4, 984.68
119.215000000, 463.768, 32.2061, 418.312, 45.456, 976.232
123.820000000, 470.592, 32.68, 425.04, 45.552, 969.408
127.405000000, 476.584, 33.0961, 433, 43.584, 963.416
131.570000000, 483.384, 33.5683, 437.8, 45.584, 956.616
136.640000000, 496.056, 34.4483, 449.352, 46.704, 943.944
140.645000000, 510.936, 35.4817, 463.288, 47.648, 929.064
144.515000000, 527.488, 36.6311, 478.992, 48.496, 912.512
149.535000000, 538.512, 37.3967, 489.528, 48.984, 901.488
155.880000000, 551.536, 38.3011, 499.616, 51.92, 888.464
162.040000000, 559.32, 38.8417, 505.568, 53.752, 880.68
167.975000000, 569.808, 39.57, 514.976, 54.832, 870.192
172.420000000, 574.176, 39.8733, 518.088, 56.088, 865.824
176.645000000, 577.416, 40.0983, 520.856, 56.56, 862.584
182.145000000, 577.744, 40.1211, 520.952, 56.792, 862.256
186.205000000, 578.496, 40.1733, 523.328, 55.168, 861.504
190.105000000, 578.728, 40.1894, 522.456, 56.272, 861.272
194.115000000, 579.056, 40.2122, 527.728, 51.328, 860.944
200.085000000, 588.776, 40.8872, 529.688, 59.088, 851.224
206.295000000, 588.976, 40.9011, 529.92, 59.056, 851.024
210.700000000, 589.352, 40.9272, 530.76, 58.592, 850.648
214.540000000, 589.4, 40.9306, 530.992, 58.408, 850.6
218.535000000, 589.568, 40.9422, 531.072, 58.496, 850.432
222.850000000, 589.632, 40.9467, 530.856, 58.776, 850.368
227.295000000, 592.192, 41.1244, 533.6, 58.592, 847.808
231.310000000, 592.264, 41.1294, 533.64, 58.624, 847.736
237.090000000, 597.216, 41.4733, 542.936, 54.28, 842.784
