Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
5.481000000, 64.36, 7.44046, 50.624, 13.736, 800.64
8.602000000, 67.472, 7.80023, 54.304, 13.168, 797.528
12.735000000, 71.704, 8.28948, 53.36, 18.344, 793.296
16.889000000, 77.68, 8.98035, 63.088, 14.592, 787.32
19.574000000, 82.184, 9.50104, 65.848, 16.336, 782.816
23.182000000, 87.552, 10.1216, 68.44, 19.112, 777.448
27.589000000, 90.376, 10.4481, 69.88, 20.496, 774.624
31.328000000, 101.232, 11.7031, 77.68, 23.552, 763.768
36.067000000, 115.096, 13.3059, 90.072, 25.024, 749.904
39.082000000, 123.704, 14.301, 98.808, 24.896, 741.296
44.603000000, 124.8, 14.4277, 98.152, 26.648, 740.2
49.068000000, 125.92, 14.5572, 96.424, 29.496, 739.08
53.640000000, 131.208, 15.1686, 100.824, 30.384, 733.792
57.262000000, 140.768, 16.2738, 110.344, 30.424, 724.232
60.897000000, 148.312, 17.1459, 116.12, 32.192, 716.688
64.195000000, 160.712, 18.5794, 129.168, 31.544, 704.288
67.387000000, 169.568, 19.6032, 134.744, 34.824, 695.432
70.230000000, 174.488, 20.172, 137.704, 36.784, 690.512
73.377000000, 179.28, 20.726, 140.72, 38.56, 685.72
78.195000000, 197.696, 22.855, 155.616, 42.08, 667.304
78.790000000, 197.888, 22.8772, 155.872, 42.016, 667.112
81.712000000, 201.984, 23.3508, 160.104, 41.88, 663.016
84.833000000, 210.648, 24.3524, 167.848, 42.8, 654.352
88.877000000, 216.304, 25.0062, 172.464, 43.84, 648.696
91.604000000, 226.784, 26.2178, 179.528, 47.256, 638.216
95.030000000, 240.024, 27.7484, 191.088, 48.936, 624.976
99.023000000, 254.32, 29.4012, 202.728, 51.592, 610.68
102.121000000, 266.488, 30.8079, 213.992, 52.496, 598.512
105.016000000, 279.96, 32.3653, 223.656, 56.304, 585.04
109.956000000, 295.512, 34.1632, 234.328, 61.184, 569.488
115.044000000, 298.096, 34.462, 233.632, 64.464, 566.904
117.939000000, 299.728, 34.6506, 233.832, 65.896, 565.272
121.282000000, 300.16, 34.7006, 234.696, 65.464, 564.84
124.273000000, 300.4, 34.7283, 234.472, 65.928, 564.6
129.033000000, 303.712, 35.1112, 238.624, 65.088, 561.288
134.393000000, 303.992, 35.1436, 236.088, 67.904, 561.008
139.288000000, 304.072, 35.1528, 233.792, 70.28, 560.928
163.919000000, 321.408, 37.157, 250.24, 71.168, 543.592
166.578000000, 326.184, 37.7091, 254.296, 71.888, 538.816
169.938000000, 335.448, 38.7801, 260.152, 75.296, 529.552
173.302000000, 337.88, 39.0613, 261.744, 76.136, 527.12
176.926000000, 348.784, 40.3218, 268.768, 80.016, 516.216
180.361000000, 352.448, 40.7454, 271.152, 81.296, 512.552
