Goal x, Goal y, Goal z, Planner
4.57238, 0.696095, 0.674056, aep
4.6741, 1.59819, 1.09345, aep
3.73074, 1.88793, 1.25507, aep
3.63252, 2.69172, 0.668317, aep
3.24047, 3.56494, 0.957791, aep
2.40967, 4.10788, 1.08016, aep
1.53636, 4.03599, 0.598312, aep
1.01816, 3.29507, 1.02552, aep
0.563559, 2.48286, 0.659926, aep
0.758997, 1.59201, 1.07003, aep
-0.199564, 0.458328, 1.17549, aep
-0.671208, 0.126026, 0.358713, aep
-1.60148, -0.0309003, 0.690322, aep
-2.56029, -0.301543, 0.776611, aep
-2.37815, -1.20945, 1.15413, aep
-1.89872, -2.08632, 1.18945, aep
-0.593908, -2.60004, 1.08836, aep
0.40386, -2.58358, 1.02365, aep
1.20663, -2.84686, 1.55867, aep
2.02354, -2.85807, 0.982011, aep
2.08682, -3.82704, 0.743064, aep
2.37006, -4.76881, 0.561798, aep
1.84457, -6.02659, 0.934409, aep
1.19424, -6.782, 1.01452, aep
0.216727, -6.61096, 0.891163, aep
-0.35611, -7.06095, 1.57626, aep
-1.34651, -7.05184, 1.71421, aep
-2.15236, -6.48215, 1.55279, aep
-3.08512, -6.83702, 1.48929, aep
-3.41325, -5.9921, 0.387546, aep
-3.88813, -5.23555, 0.837133, aep
-4.72026, -4.81953, 1.20386, aep
-5.65981, -5.00046, 1.49454, aep
-6.62484, -5.20538, 1.65803, aep
-7.3987, -4.58255, 1.77308, aep
-7.73959, -3.68237, 1.50202, aep
-8.10744, -2.99841, 0.872038, aep
-7.36284, -2.48096, 0.450365, aep
-7.16753, -1.04126, 0.290052, aep
-7.22864, -0.242999, 0.88926, aep
-7.38663, 0.735215, 1.02394, aep
-6.86718, 0.948557, 1.85138, aep
-5.98772, 1.41127, 1.73982, aep
-5.80234, 1.70126, 0.800918, aep
-5.57173, 2.57272, 0.36806, aep
-6.0661, 3.44025, 0.313321, aep
-5.12575, 3.39088, 0.64992, aep
-4.60134, 3.9565, 1.28636, aep
-4.5507, 4.83975, 0.820194, aep
-4.49718, 5.55138, 1.52071, aep
-4.69005, 6.91099, 1.17684, aep
-3.84529, 7.00623, 0.650231, aep
-2.55142, 7.57814, 0.716246, aep
-1.60654, 7.67, 1.0305, aep
-0.242373, 7.47939, 0.81964, aep
0.0415509, 6.52057, 0.812498, aep
0.976665, 6.56917, 1.1635, aep
1.80828, 7.03297, 1.46897, aep
2.68561, 7.48992, 1.32239, aep
3.97141, 7.59091, 0.870375, aep
4.76043, 6.97756, 0.905888, aep
5.64707, 6.68219, 1.26172, aep
5.76794, 5.78383, 1.68404, aep
5.15722, 4.99323, 1.63964, rrt
4.30411, 4.47164, 1.62734, rrt
4.67921, 3.54658, 1.56753, rrt
4.32273, 2.61294, 1.53247, rrt
3.98543, 1.67583, 1.62219, rrt
3.89867, 0.679991, 1.65021, rrt
4.09593, -0.300292, 1.63869, rrt
3.98466, -1.29288, 1.68754, rrt
3.17214, -1.86314, 1.56659, rrt
3.7043, -2.7075, 1.50444, rrt
4.59139, -2.67626, 1.04389, rrt
4.70044, -3.66523, 0.943614, rrt
5.27741, -3.91222, 1.72214, aep
6.20628, -4.04733, 1.37727, aep
6.09699, -4.98464, 1.04634, aep
6.20337, -5.9689, 0.905223, rrt
5.59675, -6.71253, 1.18633, rrt
4.90438, -7.43319, 1.15043, rrt
4.11104, -8.03877, 1.21272, rrt
