Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
4.311000000, 139.512, 17.439, 117.688, 21.824, 660.488
7.532000000, 151.504, 18.938, 130.68, 20.824, 648.496
10.753000000, 158.296, 19.787, 135.568, 22.728, 641.704
13.907000000, 169.088, 21.136, 144.168, 24.92, 630.912
17.277000000, 178.712, 22.339, 153.456, 25.256, 621.288
21.247000000, 194.816, 24.352, 167.816, 27, 605.184
24.690000000, 207.648, 25.956, 179.752, 27.896, 592.352
27.670000000, 215.76, 26.97, 186.752, 29.008, 584.24
30.745000000, 226.352, 28.294, 197.768, 28.584, 573.648
33.887000000, 240.408, 30.051, 212.96, 27.448, 559.592
37.010000000, 251.16, 31.395, 220.608, 30.552, 548.84
40.083000000, 265.632, 33.204, 233.968, 31.664, 534.368
43.644000000, 281.32, 35.165, 248.52, 32.8, 518.68
49.004000000, 290.096, 36.262, 254.92, 35.176, 509.904
54.371000000, 299.216, 37.402, 262.264, 36.952, 500.784
59.711000000, 299.848, 37.481, 262.128, 37.72, 500.152
64.373000000, 306.312, 38.289, 266.104, 40.208, 493.688
68.528000000, 313.064, 39.133, 271.224, 41.84, 486.936
71.784000000, 315.32, 39.415, 277.008, 38.312, 484.68
75.486000000, 322.568, 40.321, 281.208, 41.36, 477.432
79.103000000, 332.424, 41.553, 289.544, 42.88, 467.576
82.372000000, 342.984, 42.873, 299.032, 43.952, 457.016
86.207000000, 361.096, 45.137, 314.096, 47, 438.904
90.028000000, 372.24, 46.53, 323.672, 48.568, 427.76
93.192000000, 375.704, 46.963, 325.736, 49.968, 424.296
96.326000000, 376.576, 47.072, 326.024, 50.552, 423.424
100.932000000, 381.936, 47.742, 332.384, 49.552, 418.064
105.242000000, 383.096, 47.887, 332.856, 50.24, 416.904
110.298000000, 384.424, 48.053, 334.632, 49.792, 415.576
113.454000000, 389.64, 48.705, 341.92, 47.72, 410.36
116.425000000, 393.616, 49.202, 344.824, 48.792, 406.384
120.368000000, 401.184, 50.148, 350.44, 50.744, 398.816
123.940000000, 408.08, 51.01, 356.6, 51.48, 391.92
127.212000000, 420.256, 52.532, 367.992, 52.264, 379.744
130.326000000, 433.968, 54.246, 380.672, 53.296, 366.032
133.876000000, 448.944, 56.118, 394.832, 54.112, 351.056
137.396000000, 461.608, 57.701, 406.336, 55.272, 338.392
140.258000000, 469.384, 58.673, 413.432, 55.952, 330.616
143.210000000, 481.544, 60.193, 424.976, 56.568, 318.456
146.481000000, 490.896, 61.362, 433.208, 57.688, 309.104
149.970000000, 496.784, 62.098, 438.456, 58.328, 303.216
153.318000000, 501.368, 62.671, 443.064, 58.304, 298.632
156.795000000, 510.576, 63.822, 451.408, 59.168, 289.424
161.448000000, 512.104, 64.013, 452.232, 59.872, 287.896
164.568000000, 512.104, 64.013, 454.416, 57.688, 287.896
169.846000000, 520.4, 65.05, 465.56, 54.84, 279.6
173.437000000, 536.808, 67.101, 476.56, 60.248, 263.192
176.676000000, 552.72, 69.09, 491.104, 61.616, 247.28
179.923000000, 567.104, 70.888, 503.192, 63.912, 232.896
184.035000000, 575.32, 71.915, 509.776, 65.544, 224.68
187.523000000, 587.504, 73.438, 519.728, 67.776, 212.496
191.118000000, 599.544, 74.943, 530.272, 69.272, 200.456
194.224000000, 609.288, 76.161, 539.264, 70.024, 190.712
197.606000000, 621.104, 77.638, 550.272, 70.832, 178.896
202.806000000, 622.176, 77.772, 550.4, 71.776, 177.824
206.025000000, 622.176, 77.772, 550.096, 72.08, 177.824
209.341000000, 622.352, 77.794, 551.656, 70.696, 177.648
212.844000000, 626.728, 78.341, 555.52, 71.208, 173.272
218.134000000, 632.504, 79.063, 559.296, 73.208, 167.496
223.608000000, 633.888, 79.236, 558.808, 75.08, 166.112
228.172000000, 634.224, 79.278, 558.976, 75.248, 165.776
233.568000000, 641.056, 80.132, 564.544, 76.512, 158.944
238.720000000, 641.016, 80.127, 564.616, 76.4, 158.984
244.274000000, 644.824, 80.603, 565.352, 79.472, 155.176
251.070000000, 646.952, 80.869, 567.968, 78.984, 153.048
255.932000000, 651.072, 81.384, 571.536, 79.536, 148.928
260.189000000, 654.776, 81.847, 572.896, 81.88, 145.224
263.507000000, 655.904, 81.988, 572.904, 83, 144.096
310.581000000, 659.872, 82.484, 575.728, 84.144, 140.128
314.936000000, 664.184, 83.023, 581.408, 82.776, 135.816
320.803000000, 666.488, 83.311, 582.584, 83.904, 133.512
325.800000000, 668.912, 83.614, 584.128, 84.784, 131.088
330.340000000, 669.768, 83.721, 584.104, 85.664, 130.232
333.726000000, 673.344, 84.168, 587.504, 85.84, 126.656
337.033000000, 683.216, 85.402, 596.4, 86.816, 116.784
340.231000000, 697.8, 87.225, 609.888, 87.912, 102.2
343.310000000, 708.264, 88.533, 617.936, 90.328, 91.736
346.508000000, 716.768, 89.596, 624.904, 91.864, 83.232
350.809000000, 731.936, 91.492, 638.096, 93.84, 68.064
354.072000000, 743.368, 92.921, 648.112, 95.256, 56.632
357.304000000, 746.32, 93.29, 649.16, 97.16, 53.68
360.584000000, 747.84, 93.48, 647.816, 100.024, 52.16
398.176000000, 760.896, 95.112, 656.192, 104.704, 39.104
398.176000000, 760.896, 95.112, 656.336, 104.56, 39.104
