Goal x, Goal y, Goal z, Planner
-2.65234, 18.3679, 1.67412, aep
-1.80501, 18.6974, 2.09059, aep
-1.14667, 18.7726, 2.83954, aep
-0.452414, 18.0675, 2.69495, aep
0.0505472, 16.8536, 2.33685, aep
0.0416448, 15.9916, 2.84378, aep
0.00683932, 15.0717, 2.45319, aep
-0.0264528, 14.0723, 2.46118, aep
0.0954068, 13.3607, 3.15313, aep
-0.83269, 13.1557, 3.46395, aep
-1.16415, 12.8498, 4.35645, aep
-1.71702, 12.0372, 4.17189, aep
-0.849246, 10.9988, 4.35923, aep
-0.628322, 10.2749, 3.70563, aep
-0.596459, 9.60939, 2.95997, aep
0.279178, 9.8608, 2.54759, aep
1.11233, 9.37096, 2.80431, aep
1.54959, 8.49144, 2.99204, aep
2.44727, 8.05392, 2.93959, aep
2.18162, 7.08985, 2.93967, aep
1.8322, 6.94639, 2.01375, aep
1.16767, 6.34362, 1.57209, aep
1.25968, 5.47573, 2.06026, aep
0.602778, 5.47559, 2.81423, aep
1.20784, 4.98891, 2.18412, aep
1.91329, 4.62592, 2.79287, aep
1.13101, 4.07512, 3.08381, aep
0.470547, 3.69645, 4.2723, aep
-0.44942, 3.8573, 4.62977, aep
-1.12124, 4.5979, 4.64331, aep
-2.06095, 4.35641, 4.40119, aep
-2.58015, 3.99512, 3.62666, aep
-2.29423, 4.493, 2.80791, aep
-1.45155, 4.67192, 2.30009, aep
-0.642463, 5.1999, 2.04199, rrt
-0.549296, 6.19481, 2.00358, rrt
-0.533024, 7.1939, 1.96407, rrt
0.0890944, 7.96672, 2.08939, rrt
0.389448, 8.91654, 2.00196, rrt
-0.282269, 9.6223, 2.2271, rrt
-0.280803, 10.6104, 2.07355, rrt
-0.114958, 11.5622, 2.33181, rrt
0.671798, 12.1118, 2.05079, rrt
1.56584, 12.5575, 2.00626, rrt
1.80308, 13.4672, 2.34706, rrt
2.61091, 13.8801, 2.76772, rrt
2.52022, 14.8473, 2.53047, rrt
2.48901, 15.7506, 2.95827, rrt
1.95561, 16.5887, 2.84355, rrt
2.16758, 17.2813, 3.533, aep
