Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
4.792000000, 267.208, 24.2916, 241.856, 25.352, 832.792
7.998000000, 298.272, 27.1156, 271.504, 26.768, 801.728
12.083000000, 337.68, 30.6982, 308.52, 29.16, 762.32
15.774000000, 363.224, 33.0204, 330.688, 32.536, 736.776
21.389000000, 379.84, 34.5309, 345.016, 34.824, 720.16
24.906000000, 388.72, 35.3382, 354.248, 34.472, 711.28
28.860000000, 408.792, 37.1629, 371.208, 37.584, 691.208
31.955000000, 432.088, 39.2807, 390.536, 41.552, 667.912
35.056000000, 451.552, 41.0502, 407.824, 43.728, 648.448
38.015000000, 472.864, 42.9876, 426.184, 46.68, 627.136
42.109000000, 514.552, 46.7775, 464.568, 49.984, 585.448
45.064000000, 536.632, 48.7847, 486.04, 50.592, 563.368
50.502000000, 565.968, 51.4516, 513.72, 52.248, 534.032
55.187000000, 586, 53.2727, 530.52, 55.48, 514
59.518000000, 592.312, 53.8465, 535.328, 56.984, 507.688
64.907000000, 599.352, 54.4865, 541.344, 58.008, 500.648
67.893000000, 603.912, 54.9011, 545.424, 58.488, 496.088
70.815000000, 615.12, 55.92, 554.672, 60.448, 484.88
73.800000000, 629.696, 57.2451, 567.44, 62.256, 470.304
76.722000000, 644.432, 58.5847, 580.808, 63.624, 455.568
79.900000000, 660.584, 60.0531, 595.24, 65.344, 439.416
82.884000000, 681.288, 61.9353, 614.008, 67.28, 418.712
86.574000000, 718, 65.2727, 648.344, 69.656, 382
89.355000000, 727.584, 66.144, 657.28, 70.304, 372.416
92.361000000, 734.872, 66.8065, 663.928, 70.944, 365.128
95.494000000, 752.512, 68.4102, 680.84, 71.672, 347.488
98.280000000, 774.736, 70.4305, 702.712, 72.024, 325.264
102.426000000, 793.904, 72.1731, 720.672, 73.232, 306.096
105.360000000, 800.336, 72.7578, 726.128, 74.208, 299.664
108.081000000, 801.808, 72.8916, 727.736, 74.072, 298.192
110.837000000, 804.76, 73.16, 729.984, 74.776, 295.24
114.674000000, 814.832, 74.0756, 737.064, 77.768, 285.168
119.400000000, 816.808, 74.2553, 739.024, 77.784, 283.192
122.323000000, 818.496, 74.4087, 741.48, 77.016, 281.504
126.254000000, 825.568, 75.0516, 748.384, 77.184, 274.432
129.627000000, 827.688, 75.2444, 750.456, 77.232, 272.312
133.241000000, 830.848, 75.5316, 753.656, 77.192, 269.152
137.065000000, 832.944, 75.7222, 755.872, 77.072, 267.056
140.037000000, 834.824, 75.8931, 757.752, 77.072, 265.176
180.212000000, 845.88, 76.8982, 764.872, 81.008, 254.12
183.610000000, 851.52, 77.4109, 769.512, 82.008, 248.48
186.316000000, 855.648, 77.7862, 773.488, 82.16, 244.352
189.096000000, 866.44, 78.7673, 783.296, 83.144, 233.56
193.445000000, 878.424, 79.8567, 794.408, 84.016, 221.576
196.359000000, 888.656, 80.7869, 803.88, 84.776, 211.344
200.210000000, 921.736, 83.7942, 834.896, 86.84, 178.264
204.329000000, 944.08, 85.8255, 856.44, 87.64, 155.92
207.960000000, 952.824, 86.6204, 864.872, 87.952, 147.176
210.873000000, 965.896, 87.8087, 877.352, 88.544, 134.104
213.693000000, 980.464, 89.1331, 889.216, 91.248, 119.536
216.412000000, 990.296, 90.0269, 896.52, 93.776, 109.704
221.437000000, 992.768, 90.2516, 896.736, 96.032, 107.232
221.437000000, 992.768, 90.2516, 896.688, 96.08, 107.232
